id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_24_11_1,d_main_24_11,Narration,Narration,Locale_MainScenario:d_main_24_11_1,False,Office,5,1,2.0,bgm_enemyclose,,,,,,,,,,,
d_main_24_11_2,d_main_24_11,Speech,dorothy,Locale_MainScenario:d_main_24_11_2,True,,1,1,1.0,,dorothy,burningum,2,idle,dorothy,12,think,,,,
d_main_24_11_3,d_main_24_11,Speech,burningum,Locale_MainScenario:d_main_24_11_3,True,,1,1,1.0,,burningum,,2,idle,,12,think,,,,
d_main_24_11_4,d_main_24_11,Speech,dorothy,Locale_MainScenario:d_main_24_11_4,True,,1,1,1.0,,dorothy,,2,idle,,12,think,,,,
d_main_24_11_5,d_main_24_11,Speech,burningum,Locale_MainScenario:d_main_24_11_5,True,,1,1,1.0,,burningum,,2,idle,,12,think,,,,
d_main_24_11_6,d_main_24_11,Speech,dorothy,Locale_MainScenario:d_main_24_11_6,True,,1,1,1.0,,dorothy,,2,idle,,12,think,,,,
d_main_24_11_7,d_main_24_11,Speech,dorothy,Locale_MainScenario:d_main_24_11_7,True,,1,1,1.0,,dorothy,,2,idle,,12,idle,,,,
d_main_24_11_8,d_main_24_11,Speech,dorothy,Locale_MainScenario:d_main_24_11_8,True,,1,1,1.0,,dorothy,,2,idle,,12,idle,,,,
d_main_24_11_9,d_main_24_11,Speech,burningum,Locale_MainScenario:d_main_24_11_9,True,,1,1,1.0,,burningum,,2,think,,12,idle,,,,
d_main_24_11_10,d_main_24_11,Speech,burningum,Locale_MainScenario:d_main_24_11_10,True,,1,1,1.0,,burningum,,2,think,,12,idle,,,,
