id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake
d_main_34_07_e_1,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_1,True,leviathan,3,smile,cinderella,1,idle,grave_p,13,idle,BlackSea,2,2,1.0,bgm_chapter31_field_beast_a,,,,,
d_main_34_07_e_2,d_main_34_07_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_07_e_2,True,,3,smile,,1,idle,,13,idle,,2,2,1.0,,,,,,
d_main_34_07_e_3,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_3,True,,3,smile,,1,idle,,13,idle,,2,2,1.0,,,,,,
d_main_34_07_e_4,d_main_34_07_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_07_e_4,True,,3,smile,,1,idle,,13,idle,,2,2,1.0,,,,,,
d_main_34_07_e_5,d_main_34_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_34_07_e_5,True,,3,smile,,1,idle,,13,idle,,2,12,2.0,,,,,,
d_main_34_07_e_6,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_6,True,,3,smile,,1,idle,,13,idle,,12,12,1.0,,,,,,
d_main_34_07_e_7,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_7,True,,3,smile,,1,idle,,13,idle,,12,12,1.0,,,,,,
d_main_34_07_e_8,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_8,True,,3,smile,,1,idle,,13,idle,,12,12,1.0,,,,,,
d_main_34_07_e_9,d_main_34_07_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_07_e_9,True,,3,smile,,1,idle,,13,idle,,12,2,2.0,,,,,,
d_main_34_07_e_10,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_10,True,,3,smile,,1,idle,,13,idle,,2,2,1.0,,,,,,
d_main_34_07_e_11,d_main_34_07_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_07_e_11,True,,3,smile,,1,idle,,13,idle,,2,S_30,1.0,,,,,,
d_main_34_07_e_12,d_main_34_07_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_07_e_12,True,,3,idle,,1,idle,,13,idle,,S_30,S_30,1.0,,,,,,
d_main_34_07_e_13,d_main_34_07_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_07_e_13,True,,3,idle,,1,idle,,13,idle,,S_30,S_30,1.0,,,,,,
d_main_34_07_e_14,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_14,True,,3,idle,,1,idle,,13,idle,,S_30,S_10,1.0,,,,,,
d_main_34_07_e_15,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_15,True,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,
d_main_34_07_e_16,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_16,True,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,
d_main_34_07_e_17,d_main_34_07_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_07_e_17,True,,3,surprise,,1,idle,,13,idle,,S_10,2,1.0,,,,,,
d_main_34_07_e_18,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_18,True,,3,surprise,,1,idle,,13,idle,,2,2,1.0,,,,,,
d_main_34_07_e_19,d_main_34_07_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_07_e_19,True,,3,surprise,,1,idle,,13,idle,,2,2,1.0,,,,,,
d_main_34_07_e_20,d_main_34_07_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_07_e_20,False,,3,smile,,1,idle,,13,idle,,2,2,1.0,,,,,,
