id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_18af_05_1,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_1,True,CommanderRoom,S_10,S_10,1.0,bgm_inark,,neon,1,surprise,anis,13,idle,rapi,15,idle
d_main_18af_05_2,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_2,True,,S_10,S_10,1.0,,,,1,surprise,,13,idle,,15,idle
d_main_18af_05_3,d_main_18af_05,Monologue,,,Locale_MainScenario:d_main_18af_05_3,False,,S_10,S_10,1.0,,,,1,surprise,,13,idle,,15,idle
d_main_18af_05_4,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_4,True,,S_10,S_10,1.0,,,,1,delight,,13,idle,,15,idle
d_main_18af_05_5,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_5,True,,S_10,113,1.0,,,,1,delight,,13,idle,,15,idle
d_main_18af_05_6,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_6,True,,113,113,1.0,,,,1,delight,,13,sad,,15,idle
d_main_18af_05_7,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_7,False,,113,113,1.0,,,,1,surprise,,13,no,,15,idle
d_main_18af_05_8,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_8,False,,113,113,1.0,,,,1,surprise,,13,no,,15,idle
d_main_18af_05_9,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_9,True,,113,15,1.0,,,,1,surprise,,13,no,,15,idle
d_main_18af_05_10,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_10,True,,15,15,1.0,,,,1,surprise,,13,idle,,15,idle
d_main_18af_05_11,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_11,True,,15,113,1.0,,,,1,surprise,,13,delight,,15,idle
d_main_18af_05_12,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_12,True,,113,113,1.0,,,,1,no,,13,delight,,15,idle
d_main_18af_05_13,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_13,True,,113,113,1.0,,,,1,no,,13,angry,,15,idle
d_main_18af_05_14,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_14,True,,113,113,1.0,,,,1,delight,,13,angry,,15,idle
d_main_18af_05_15,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_15,True,,113,113,1.0,,,,1,delight,,13,angry,,15,idle
d_main_18af_05_16,d_main_18af_05,Self,,,Locale_MainScenario:d_main_18af_05_16,False,,113,113,1.0,,,,1,delight,,13,angry,,15,idle
d_main_18af_05_17,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_17,True,,113,15,1.0,,,,1,delight,,13,angry,,15,idle
d_main_18af_05_18,d_main_18af_05,Self,,,Locale_MainScenario:d_main_18af_05_18,False,,15,15,1.0,,,,1,delight,,13,angry,,15,idle
d_main_18af_05_19,d_main_18af_05,Monologue,,,Locale_MainScenario:d_main_18af_05_19,False,,black,black,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_20,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_20,True,,150,150,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_21,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_21,True,,150,150,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_22,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_22,True,,150,150,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_23,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_23,False,,S_10,S_10,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_24,d_main_18af_05,Self,,,Locale_MainScenario:d_main_18af_05_24,False,,S_10,S_10,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_25,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_25,True,,S_10,130,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_26,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_26,True,,130,130,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_27,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_27,True,,130,130,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_28,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_28,True,,130,130,1.0,,,,1,idle,,13,idle,,15,idle
d_main_18af_05_29,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_29,True,,130,113,1.0,,,,1,surprise,,13,idle,,15,idle
d_main_18af_05_30,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_30,True,,113,113,1.0,,,,1,surprise,,13,worry,,15,idle
