id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,highlight,speaker,jump_target
d_main_07af_04_1,d_main_07af_04,Monologue,Locale_MainScenario:d_main_07af_04_1,False,CommanderRoom_n,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,
d_main_07af_04_2,d_main_07af_04,Monologue,Locale_MainScenario:d_main_07af_04_2,False,,1,1,1.0,,,,,,,,,,,,,,
d_main_07af_04_3,d_main_07af_04,Monologue,Locale_MainScenario:d_main_07af_04_3,False,,1,1,1.0,,,,,,,,,,,,,,
d_main_07af_04_4,d_main_07af_04,Monologue,Locale_MainScenario:d_main_07af_04_4,False,,1,1,1.0,,,,,,,,,,,,,,
d_main_07af_04_5,d_main_07af_04,Monologue,Locale_MainScenario:d_main_07af_04_5,False,,black,black,1.0,,,,,,,,,,,,,,
d_main_07af_04_6,d_main_07af_04,Monologue,Locale_MainScenario:d_main_07af_04_6,False,,black,black,1.0,,,,,,,,,,,,,,
d_main_07af_04_7,d_main_07af_04,Narration,Locale_MainScenario:d_main_07af_04_7,False,CommanderRoom,4,12,2.0,none,anis,3,idle,rapi,1,idle,neon,13,surprise,black,,,
d_main_07af_04_8,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_8,True,,12,S_130,1.0,,,3,idle,,1,idle,,13,surprise,,neon,neon,
d_main_07af_04_9,d_main_07af_04,Choice,Locale_MainScenario:d_main_07af_04_9,False,,S_130,S_130,1.0,,,3,idle,,1,idle,,13,surprise,,neon,,d_main_07af_04_11
d_main_07af_04_10,d_main_07af_04,Choice,Locale_MainScenario:d_main_07af_04_10,False,,S_130,S_130,1.0,,,3,idle,,1,idle,,13,surprise,,neon,,d_main_07af_04_12
d_main_07af_04_11,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_11,True,,30,30,1.0,,,3,delight,,1,idle,,13,idle,,anis,anis,d_main_07af_04_13
d_main_07af_04_12,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_12,True,,30,30,1.0,,,3,delight,,1,idle,,13,idle,,anis,anis,
d_main_07af_04_13,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_13,True,,30,30,1.0,bgm_inark,,3,sad,,1,idle,,13,idle,,anis,anis,
d_main_07af_04_14,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_14,True,,30,30,1.0,,,3,sad,,1,idle,,13,idle,,anis,anis,
d_main_07af_04_15,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_15,True,,S_130,S_130,1.0,,,3,void,,1,think,,13,idle,,neon,neon,
d_main_07af_04_16,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_16,True,,S_130,S_130,1.0,,,3,void,,1,think,,13,idle,,neon,neon,
d_main_07af_04_17,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_17,True,,S_130,12,2.0,,,3,void,,1,think,,13,worry,,neon,neon,
d_main_07af_04_18,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_18,True,,12,12,1.0,,,3,void,,1,think,,13,idle,,neon,neon,
d_main_07af_04_19,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_19,True,,12,12,1.0,,,3,void,,1,think,,13,idle,,neon,neon,
d_main_07af_04_20,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_20,True,,12,2,1.0,,,3,void,,1,think,,13,idle,,anis,anis,
d_main_07af_04_21,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_21,True,,2,30,1.0,,,3,void,,1,think,,13,idle,,anis,anis,
d_main_07af_04_22,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_22,True,,30,30,1.0,,,3,void,,1,think,,13,idle,,anis,anis,
d_main_07af_04_23,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_23,True,,30,30,1.0,,,3,void,,1,think,,13,idle,,anis,anis,
d_main_07af_04_24,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_24,True,,30,30,1.0,,,3,sad,,1,think,,13,idle,,anis,anis,
d_main_07af_04_25,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_25,True,,30,10,2.0,,,3,void,,1,idle,,13,idle,,rapi,rapi,
d_main_07af_04_26,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_26,True,,10,10,1.0,,,3,void,,1,idle,,13,idle,,rapi,rapi,
d_main_07af_04_27,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_27,True,,10,10,1.0,,,3,void,,1,idle,,13,idle,,rapi,rapi,
d_main_07af_04_28,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_28,True,,10,2,1.0,,,3,angry,,1,idle,,13,idle,,anis,anis,
d_main_07af_04_29,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_29,True,,2,2,1.0,,,3,angry,,1,idle,,13,idle,,rapi,rapi,
d_main_07af_04_30,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_30,True,,2,2,1.0,,,3,angry,,1,idle,,13,idle,,anis,anis,
d_main_07af_04_31,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_31,True,,2,2,1.0,,,3,angry,,1,idle,,13,idle,,anis,anis,
d_main_07af_04_32,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_32,True,,2,12,1.0,,,3,angry,,1,idle,,13,idle,,neon,neon,
d_main_07af_04_33,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_33,True,,12,S_130,1.0,,,3,void,,1,idle,,13,idle,,neon,neon,
d_main_07af_04_34,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_34,True,,30,30,1.0,,,3,void,,1,idle,,13,idle,,anis,anis,
d_main_07af_04_35,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_35,True,,S_130,S_1300,0.5,,,3,void,,1,idle,,13,no,,neon,neon,
d_main_07af_04_36,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_36,True,,30,30,1.0,,,3,no,,1,idle,,13,no,,anis,anis,
d_main_07af_04_37,d_main_07af_04,Self,Locale_MainScenario:d_main_07af_04_37,True,,30,30,1.0,,,3,no,,1,idle,,13,idle,,anis,,
d_main_07af_04_38,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_38,True,,30,30,1.0,,,3,idle,,1,idle,,13,idle,,anis,anis,
d_main_07af_04_39,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_39,True,,S_1300,S_130,0.5,,,3,idle,,1,idle,,13,surprise,,neon,neon,
d_main_07af_04_40,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_40,True,,S_130,S_130,1.0,,,3,idle,,1,idle,,13,surprise,,neon,neon,
d_main_07af_04_41,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_41,True,,S_130,S_130,1.0,,,3,idle,,1,idle,,13,surprise,,neon,neon,
d_main_07af_04_42,d_main_07af_04,Speech,Locale_MainScenario:d_main_07af_04_42,True,,30,300,1.0,,,3,idle,,1,idle,,13,surprise,,anis,anis,
