id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_main_21_04_e_1,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_1,True,Desert_02,1,1,1.0,bgm_story_cecil,,cecil_op_c,OP_center,idle,
d_main_21_04_e_2,d_main_21_04_e,Self,Self,Self,Locale_MainScenario:d_main_21_04_e_2,False,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_3,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_3,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_4,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_4,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_5,d_main_21_04_e,Self,Self,Self,Locale_MainScenario:d_main_21_04_e_5,False,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_6,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_6,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_7,d_main_21_04_e,Self,Self,Self,Locale_MainScenario:d_main_21_04_e_7,False,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_8,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_8,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_9,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_9,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_10,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_10,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_11,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_11,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_12,d_main_21_04_e,Self,Self,Self,Locale_MainScenario:d_main_21_04_e_12,False,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_13,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_13,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_14,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_14,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_15,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_15,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_16,d_main_21_04_e,Self,Self,Self,Locale_MainScenario:d_main_21_04_e_16,False,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_17,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_17,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_18,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_18,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_19,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_19,True,,1,1,1.0,,,,OP_center,idle,
d_main_21_04_e_20,d_main_21_04_e,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_21_04_e_20,True,,1,1,1.0,,,,OP_center,idle,
