id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,characters/0/hide_char_id
d_ex_wingofvictory_05_1,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_1,True,guillotine,1,idle,WingOfVictory_n,1,1,1.0,bgm_story_darklord,,,,,,,,,,,,,,,,,,
d_ex_wingofvictory_05_2,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_2,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_ex_wingofvictory_05_3,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_3,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_ex_wingofvictory_05_4,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_4,True,,1,idle,,1,XS_10,1.0,,,,,,,,,,,,,,,,,,,
d_ex_wingofvictory_05_5,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_5,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,,,,,
d_ex_wingofvictory_05_6,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_6,True,,1,idle,,XS_10,31,1.0,,,,,,,,,,,,,,,,,,,
d_ex_wingofvictory_05_7,d_ex_wingofvictory_05,Choice,Choice,,Locale_SuddenStory:d_ex_wingofvictory_05_7,False,,1,idle,,31,31,1.0,,d_ex_wingofvictory_05_9,,,,,,,,,,,,,,,,,
d_ex_wingofvictory_05_8,d_ex_wingofvictory_05,Choice,Choice,,Locale_SuddenStory:d_ex_wingofvictory_05_8,False,,1,idle,,31,31,1.0,,d_ex_wingofvictory_05_9,,,,,,,,,,,,,,,,,
d_ex_wingofvictory_05_9,d_ex_wingofvictory_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_wingofvictory_05_9,True,,1,idle,,31,3,1.0,,,sakura,3,idle,,,,,,,,,,,,,,
d_ex_wingofvictory_05_10,d_ex_wingofvictory_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_wingofvictory_05_10,True,,1,idle,,3,3,1.0,,,,3,idle,,,,,,,,,,,,,,
d_ex_wingofvictory_05_11,d_ex_wingofvictory_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_wingofvictory_05_11,True,,1,idle,,3,3,1.0,,,,3,idle,,,,,,,,,,,,,,
d_ex_wingofvictory_05_12,d_ex_wingofvictory_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_wingofvictory_05_12,True,,1,idle,,3,30,1.0,,,,3,idle,,,,,,,,,,,,,,
d_ex_wingofvictory_05_13,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_13,False,,1,angry,,1,XS_10,0.2,,,,3,idle,,,,,,,,,,,,,,
d_ex_wingofvictory_05_14,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_14,True,,1,idle,,XS_10,XS_10,1.0,,,,3,idle,,,,,,,,,,,,,,
d_ex_wingofvictory_05_15,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_15,True,,1,idle,,XS_10,XS_10,1.0,,,,3,idle,,,,,,,,,,,,,,
d_ex_wingofvictory_05_16,d_ex_wingofvictory_05,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_wingofvictory_05_16,True,,1,idle,,XS_10,XS_10,1.0,,,,3,idle,,,,,,,,,,,,,,
