id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,fade
d_main_40_09_1,d_main_40_09,Self,Locale_MainScenario:d_main_40_09_1,False,liberalio,1,idle,WhaleyBack,S_10,S_10,1.0,bgm_chapter40_field_turningpoint_b,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_2,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_2,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_3,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_3,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_4,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_4,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_5,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_5,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_6,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_6,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_7,d_main_40_09,Self,Locale_MainScenario:d_main_40_09_7,False,,1,idle,,S_10,S_10,1.0,,liberalio,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_8,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_8,True,,1,idle,,S_10,S_100,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_9,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_9,True,,1,idle,,S_100,S_100,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_10,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_10,False,,1,idle,,S_100,S_100,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_11,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_11,True,,1,idle,,S_100,S_100,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_12,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_12,True,,1,idle,,S_100,S_100,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_13,d_main_40_09,Self,Locale_MainScenario:d_main_40_09_13,False,,1,idle,,S_100,S_100,1.0,,liberalio,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_14,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_14,True,,1,idle,,S_100,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_15,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_15,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_16,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_16,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_17,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_17,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_18,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_18,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_19,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_19,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_20,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_20,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_21,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_21,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_22,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_22,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_23,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_23,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_24,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_24,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_25,d_main_40_09,Self,Locale_MainScenario:d_main_40_09_25,False,,1,idle,,S_10,S_10,1.0,,liberalio,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_26,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_26,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_27,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_27,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_28,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_28,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_29,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_29,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_30,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_30,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_31,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_31,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_32,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_32,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_33,d_main_40_09,Self,Locale_MainScenario:d_main_40_09_33,False,,1,idle,,S_10,S_10,1.0,,liberalio,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_34,d_main_40_09,Self,Locale_MainScenario:d_main_40_09_34,False,,1,idle,,S_10,S_10,1.0,,liberalio,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_35,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_35,True,,1,idle,,S_10,S_10,1.0,,liberalio,liberalio,,,,,,,,,,,,,,,,,,,,,,,,
d_main_40_09_36,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_36,True,,1,idle,,S_10,113,1.0,,maxwell_p,maxwell_p,maxwell_p,13,rage,rapi_red,3,idle,laplace_p,15,idle,drake_p,17,idle,,,,,,,,,,,,
d_main_40_09_37,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_37,True,,1,idle,,113,113,1.0,,liberalio,liberalio,,13,rage,,3,idle,,15,idle,,17,idle,,,,,,,,,,,,
d_main_40_09_38,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_38,True,,1,idle,,113,113,1.0,,maxwell_p,maxwell_p,,13,rage,,3,idle,,15,idle,,17,idle,,,,,,,,,,,,
d_main_40_09_39,d_main_40_09,Speech,Locale_MainScenario:d_main_40_09_39,True,,1,idle,,113,113,1.0,,maxwell_p,maxwell_p,,13,rage,,3,idle,,15,idle,,17,idle,,,,,,,,,,,,
