id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,conversation_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,set_filter_01
d_main_24_03_1,d_main_24_03,Narration,Narration,Locale_MainScenario:d_main_24_03_1,False,Destroyedcity,5,1,2.0,bgm_manifest_a,,,,,,,,,,,,,,,,
d_main_24_03_2,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_2,True,,1,1,1.0,,diesel_op,diesel_op,OP_leftup,shy,rapi,2,idle,anis,12,void,,,,,,
d_main_24_03_3,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_3,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_4,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_4,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_5,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_5,False,,1,1,1.0,,,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_6,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_6,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_7,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_7,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_8,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_8,False,,1,1,1.0,,,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_9,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_9,False,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_10,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_10,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_11,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_11,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_12,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_12,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_13,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_13,False,,1,1,1.0,,,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_14,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_14,False,,1,1,1.0,,,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_15,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_15,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_16,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_16,False,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_17,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_17,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_18,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_18,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_19,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_19,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_20,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_20,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_21,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_21,False,,1,1,1.0,,,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_22,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_22,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_23,d_main_24_03,Speech,diesel_op,Locale_MainScenario:d_main_24_03_23,True,,1,1,1.0,,diesel_op,,OP_leftup,shy,,2,idle,,12,void,,,,,,
d_main_24_03_24,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_24,False,,1,1,1.0,,,,OP_leftup,shy,,2,idle,,12,void,diesel_op,,,,,
d_main_24_03_25,d_main_24_03,Speech,anis,Locale_MainScenario:d_main_24_03_25,True,,1,120,2.0,,anis,,,,,2,idle,,12,worry,,,,,,
d_main_24_03_26,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_26,False,,120,120,1.0,,,,,,,2,idle,,12,worry,,,,,,
d_main_24_03_27,d_main_24_03,Speech,anis,Locale_MainScenario:d_main_24_03_27,True,,120,120,1.0,,anis,,,,,2,idle,,12,angry,,,,,,
d_main_24_03_28,d_main_24_03,Speech,anis,Locale_MainScenario:d_main_24_03_28,True,,120,120,1.0,,anis,,,,,2,idle,,12,angry,,,,,,
d_main_24_03_29,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_29,False,,120,120,1.0,,,,,,,2,idle,,12,angry,,,,,,
d_main_24_03_30,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_30,False,,120,120,1.0,,,,,,,2,idle,,12,angry,,,,,,
d_main_24_03_31,d_main_24_03,Speech,rapi,Locale_MainScenario:d_main_24_03_31,True,,120,1,1.0,,rapi,,,,,2,idle,,12,idle,,m_main_24_03,,,,
d_main_24_03_32,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_32,False,,1,1,1.0,,,,,,,2,idle,,12,idle,,,,,,
d_main_24_03_33,d_main_24_03,Speech,anis,Locale_MainScenario:d_main_24_03_33,True,,1,1,1.0,,anis,,,,,2,idle,,12,no,,,,,,
d_main_24_03_34,d_main_24_03,Speech,rapi,Locale_MainScenario:d_main_24_03_34,True,,1,1,1.0,,rapi,,,,,2,idle,,12,no,,,,,,
d_main_24_03_35,d_main_24_03,Self,Self,Locale_MainScenario:d_main_24_03_35,False,,1,1,1.0,,,,,,,2,idle,,12,idle,,,,,,
d_main_24_03_36,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_36,False,DestroyedStreet,1,1,1.0,,,,,,,2,idle,,12,idle,,,rapi,anis,black,
d_main_24_03_37,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_37,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_main_24_03_38,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_38,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_main_24_03_39,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_39,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_main_24_03_40,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_40,False,BurningCity,black,black,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_41,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_41,False,,14,140,2.0,,,crow,14,idle,,,,,,,,,,,,Grey
d_main_24_03_42,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_42,False,,140,140,1.0,,,,14,idle,,,,,,,,,,,,Grey
d_main_24_03_43,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_43,False,,140,140,1.0,,,,14,idle,,,,,,,,,,,,Grey
d_main_24_03_44,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_44,False,,black,black,1.0,,,,14,idle,,,,,,,crow,,,,,Grey
d_main_24_03_45,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_45,False,,black,black,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_46,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_46,False,Drain,black,black,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_47,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_47,False,,120,120,1.0,,,viper,12,idle,crow,14,idle,,,,,,,,,Grey
d_main_24_03_48,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_48,False,,120,13,2.0,,,,12,idle,,14,idle,,,,,,,,,Grey
d_main_24_03_49,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_49,False,,13,13,1.0,,,,12,idle,,14,idle,,,,,,,,,Grey
d_main_24_03_50,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_50,False,Station,black,black,1.0,,,,12,idle,,14,idle,,,,viper,,crow,,,Grey
d_main_24_03_51,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_51,False,,1,1,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_52,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_52,False,,1,1,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_53,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_53,False,,1,1,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_54,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_54,False,,1,1,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_55,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_55,False,LivingRoom,1,1,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_56,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_56,False,,1,1,1.0,,,,,,,,,,,,,,,,,Grey
d_main_24_03_57,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_57,False,Office,1,1,1.0,,,syuen,1,idle,,,,,,,,,,,,Grey
d_main_24_03_58,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_58,False,,1,1,1.0,,,,1,idle,,,,,,,,,,,,Grey
d_main_24_03_59,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_59,False,,1,1,1.0,,,,1,idle,,,,,,,,,,,,Grey
d_main_24_03_60,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_60,False,,1,1,1.0,,,,1,idle,,,,,,,,,,,,Grey
d_main_24_03_61,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_61,False,,1,1,1.0,,,,1,idle,,,,,,,,,,,,Grey
d_main_24_03_62,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_62,False,MissilisOffice,1,1,1.0,,,,1,idle,,,,,,,,,,,,Grey
d_main_24_03_63,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_63,False,,1,1,1.0,,,,1,idle,,,,,,,,,,,,Grey
d_main_24_03_64,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_64,False,,1,1,1.0,,,,1,idle,,,,,,,,,,,,Grey
d_main_24_03_65,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_65,False,,1,1,1.0,,,,1,idle,,,,,,,,,,,,Grey
d_main_24_03_66,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_66,False,,1,13,1.5,,,,1,idle,yuni,12,idle,crow,14,idle,,,,,,Grey
d_main_24_03_67,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_67,False,,13,140,2.0,,,,1,idle,,12,idle,,14,idle,,,,,,Grey
d_main_24_03_68,d_main_24_03,Monologue,Monologue,Locale_MainScenario:d_main_24_03_68,False,,S_10,S_10,1.0,,,,1,idle,,12,idle,,14,idle,,,,,,Grey
