id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_18_07_s_1,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_1,False,WasteLand_01,5,1,2.0,none,,,,,laplace,1,angry,,,
d_main_18_07_s_2,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_2,True,,1,1,1.0,,laplace,laplace,,,,1,angry,,,
d_main_18_07_s_3,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_3,True,,1,S_10,1.0,bgm_mystery,laplace,laplace,,,,1,angry,,,
d_main_18_07_s_4,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_4,False,,black,black,1.0,,laplace,,,,,1,angry,,,
d_main_18_07_s_5,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_5,False,,black,black,1.0,,laplace,,,,,1,angry,,,
d_main_18_07_s_6,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_6,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_7,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_7,False,,S_10,S_10,1.0,,laplace,,sfx_scn_2rapturestep,Low_2,,1,shy,,,
d_main_18_07_s_8,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_8,True,,S_10,S_100,2.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_9,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_9,False,,S_100,S_100,1.0,,laplace,,,,,1,shy,,,
d_main_18_07_s_10,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_10,False,,S_100,S_100,1.0,,laplace,,,,,1,shy,,,
d_main_18_07_s_11,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_11,True,,S_100,S_10,1.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_12,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_12,False,,S_10,S_10,1.0,,laplace,,sfx_scn_3rapturestep,Low_2,,1,shy,,,
d_main_18_07_s_13,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_13,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_14,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_14,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,delight,,,
d_main_18_07_s_15,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_15,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_16,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_16,False,,S_10,S_100,1.0,,laplace,,sfx_scn_electric,,,1,shy,,,
d_main_18_07_s_17,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_17,False,,S_100,S_100,1.0,,laplace,,,,,1,shy,,,
d_main_18_07_s_18,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_18,True,,S_100,S_100,1.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_19,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_19,False,,black,black,1.0,,laplace,,sfx_scn_electricfail,,,1,shy,,,
d_main_18_07_s_20,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_20,False,,black,black,1.0,none,laplace,,,,,1,shy,,,
d_main_18_07_s_21,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_21,True,,S_100,S_10,1.0,bgm_story_callingsignal,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_22,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_22,False,,S_10,S_10,1.0,,laplace,,sfx_scn_5rapturestep,Low_2,,1,shy,,,
d_main_18_07_s_23,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_23,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_24,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_24,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_25,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_25,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,shy,,,
d_main_18_07_s_26,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_26,False,,S_10,S_10,1.0,,laplace,,,,,1,shy,,,
d_main_18_07_s_27,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_27,True,,S_10,S_100,1.0,,laplace,laplace,,,,1,pain,,,
d_main_18_07_s_28,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_28,True,,S_100,S_100,1.0,,laplace,laplace,,,,1,pain,,,
d_main_18_07_s_29,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_29,True,,S_100,S_100,1.0,,laplace,laplace,,,,1,pain,,,
d_main_18_07_s_30,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_30,True,,S_100,S_100,1.0,,laplace,laplace,,,,1,pain,,,
d_main_18_07_s_31,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_31,True,,S_100,S_100,1.0,,laplace,laplace,,,,1,pain,,,
d_main_18_07_s_32,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_32,False,,S_100,S_100,1.0,,laplace,,sfx_scn_5rapturestep,Low_2_Loop,,1,pain,,,
d_main_18_07_s_33,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_33,True,,S_100,S_10,1.0,,laplace,laplace,,,,1,pain,,,
d_main_18_07_s_34,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_34,False,,black,black,1.0,,laplace,,,,,1,pain,,,
d_main_18_07_s_35,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_35,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,pain,,,
d_main_18_07_s_36,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_36,False,,black,black,1.0,,laplace,,,,,1,pain,,,
d_main_18_07_s_37,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_37,False,,black,black,1.0,,laplace,,,,,1,pain,,,
d_main_18_07_s_38,d_main_18_07_s,Speech,Locale_MainScenario:d_main_18_07_s_38,True,,S_10,S_10,1.0,,laplace,laplace,,,,1,pain,,,
d_main_18_07_s_39,d_main_18_07_s,Narration,Locale_MainScenario:d_main_18_07_s_39,False,,S_10,S_10,1.0,,laplace,,sfx_scn_7rapturestep,,,1,pain,,,
d_main_18_07_s_40,d_main_18_07_s,Monologue,Locale_MainScenario:d_main_18_07_s_40,False,,black,black,1.0,,laplace,,,,,1,pain,,,
