id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_subquest_1193_s_1,d_subquest_1193_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_s_1,True,WasteLand_01,1,1,1.0,bgm_story_whosdumber,,,,neon,8,idle,anis,6,idle,rapi,4,idle,voltjr,2,idle,liter,12,idle,centi,14,idle
d_subquest_1193_s_2,d_subquest_1193_s,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_s_2,True,,1,6018,0.5,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_3,d_subquest_1193_s,Speech,volt,volt,Locale_SubScenario:d_subquest_1193_s_3,True,,6018,6019,0.3,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_4,d_subquest_1193_s,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_s_4,True,,6019,6018,0.5,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_5,d_subquest_1193_s,Speech,volt,volt,Locale_SubScenario:d_subquest_1193_s_5,True,,6018,6019,0.5,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_6,d_subquest_1193_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_s_6,True,,6019,XS_120,0.3,,,Low_2,,,8,idle,,6,idle,,4,idle,,2,idle,,12,angry,,14,idle
d_subquest_1193_s_7,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_7,True,,XS_120,L_140,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,angry,,14,idle
d_subquest_1193_s_8,d_subquest_1193_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_s_8,True,,7,7,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_9,d_subquest_1193_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1193_s_9,True,,7,7,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_10,d_subquest_1193_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_s_10,True,,7,7,1.0,,,,,,8,idle,,6,delight,,4,idle,,2,idle,,12,idle,,14,idle
