id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_ex_mysteryclub_06_1,d_ex_mysteryclub_06,Narration,Locale_SuddenStory:d_ex_mysteryclub_06_1,False,Bar,1,1,1.0,sfx_scn_chimebell02,none,,,,,,,,,,,,
d_ex_mysteryclub_06_2,d_ex_mysteryclub_06,Speech,Locale_SuddenStory:d_ex_mysteryclub_06_2,True,,1,1,1.0,,,elegg,elegg,elegg,1,think,,,,,,,
d_ex_mysteryclub_06_3,d_ex_mysteryclub_06,Speech,Locale_SuddenStory:d_ex_mysteryclub_06_3,True,,1,1,1.0,,,elegg,elegg,,1,think,,,,,,,
d_ex_mysteryclub_06_4,d_ex_mysteryclub_06,Self,Locale_SuddenStory:d_ex_mysteryclub_06_4,False,,1,1,1.0,,,elegg,,,1,think,,,,,,,
d_ex_mysteryclub_06_5,d_ex_mysteryclub_06,Speech,Locale_SuddenStory:d_ex_mysteryclub_06_5,True,,1,S_100,1.0,,bgm_story_fairytalesend_if,elegg,elegg,,1,worry,,,,,,,
d_ex_mysteryclub_06_6,d_ex_mysteryclub_06,Speech,Locale_SuddenStory:d_ex_mysteryclub_06_6,True,,S_100,S_10,1.0,,,elegg,elegg,,1,worry,,,,,,,
d_ex_mysteryclub_06_7,d_ex_mysteryclub_06,Speech,Locale_SuddenStory:d_ex_mysteryclub_06_7,True,,S_10,S_10,1.0,,,elegg,elegg,,1,idle,,,,,,,
d_ex_mysteryclub_06_8,d_ex_mysteryclub_06,Speech,Locale_SuddenStory:d_ex_mysteryclub_06_8,True,,S_10,S_10,1.0,,,elegg,elegg,,1,idle,,,,,,,
d_ex_mysteryclub_06_9,d_ex_mysteryclub_06,Speech,Locale_SuddenStory:d_ex_mysteryclub_06_9,True,,S_10,S_10,1.0,,,elegg,elegg,,1,delight,,,,,,,
d_ex_mysteryclub_06_10,d_ex_mysteryclub_06,Speech,Locale_SuddenStory:d_ex_mysteryclub_06_10,True,,S_10,S_10,1.0,,,elegg,elegg,,1,delight,,,,,,,
d_ex_mysteryclub_06_11,d_ex_mysteryclub_06,Narration,Locale_SuddenStory:d_ex_mysteryclub_06_11,False,,S_10,1,1.0,sfx_scn_woodbridge,,elegg,,,1,delight,,,,,,,
