id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_main_18af_06_1,d_main_18af_06,Narration,Locale_MainScenario:d_main_18af_06_1,False,Office,black,black,1.0,none,,,,papillon,1,delight,,burningum,3,idle,
d_main_18af_06_2,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_2,True,,S_10,S_10,1.0,,papillon,papillon,,,1,delight,,,3,idle,
d_main_18af_06_3,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_3,True,,S_10,S_10,1.0,,papillon,papillon,,,1,delight,,,3,idle,
d_main_18af_06_4,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_4,True,,30,30,1.0,,burningum,burningum,,,1,delight,,,3,think,
d_main_18af_06_5,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_5,True,,30,30,1.0,,burningum,burningum,,,1,delight,,,3,think,
d_main_18af_06_6,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_6,True,,30,30,1.0,,burningum,burningum,,,1,delight,,,3,think,
d_main_18af_06_7,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_7,True,,30,30,1.0,,burningum,burningum,,,1,delight,,,3,think,
d_main_18af_06_8,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_8,True,,S_10,S_10,1.0,,papillon,papillon,,,1,idle,,,3,think,
d_main_18af_06_9,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_9,True,,S_10,30,1.0,bgm_story_crawlinganxiety,burningum,burningum,,,1,idle,,,3,idle,
d_main_18af_06_10,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_10,True,,30,30,1.0,,burningum,burningum,,,1,idle,,,3,idle,
d_main_18af_06_11,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_11,True,,30,30,1.0,,burningum,burningum,,,1,idle,,,3,think,
d_main_18af_06_12,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_12,True,,30,30,1.0,,burningum,burningum,,,1,idle,,,3,think,
d_main_18af_06_13,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_13,True,,30,300,1.0,,burningum,burningum,,,1,idle,,,3,think,
