id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/hide_char_id,fade
d_ex_shopping_07_1,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_1,True,marciana,2,idle,naga,12,idle,ShoppingMall,1,1,1.0,bgm_story_leisuretime,,,
d_ex_shopping_07_2,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_2,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_3,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_3,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_4,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_4,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_5,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_5,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_6,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_6,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_7,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_7,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_8,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_8,True,,2,surprise,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_9,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_9,True,,2,idle,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_10,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_10,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_11,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_11,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_12,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_12,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_13,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_13,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_14,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_14,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_15,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_15,True,,2,idle,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_16,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_16,False,,2,idle,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_17,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_17,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_18,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_18,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_19,d_ex_shopping_07,Monologue,,Monologue,Locale_SuddenStory:d_ex_shopping_07_19,False,,2,idle,,12,idle,,black,black,1.0,,,,
d_ex_shopping_07_20,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_20,True,,2,idle,,12,idle,,12,120,1.0,bgm_story_shopperholic,,,
