id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_redash_06_2_1,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_1,False,rapunzel_o,13,pain_01,Office,black,black,1.0,none,,,,,,,
d_ex_redash_06_2_2,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_2,True,,13,pain_01,,13,13,1.0,bgm_story_kneeldownfools,rapunzel_o,,,,,,
d_ex_redash_06_2_3,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_3,True,,13,pain_01,,13,13,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_4,d_ex_redash_06_2,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_2_4,False,,1,pain_01,,13,1,0.7,,,,,,,,
d_ex_redash_06_2_5,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_5,False,,1,pain_01,,1,1,1.0,,,sfx_scn_rustle,,,,,
d_ex_redash_06_2_6,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_6,True,,1,pain_01,,1,1,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_7,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_7,False,,1,pain_01,,1,1,1.0,,,,,,,,
d_ex_redash_06_2_8,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_8,False,,1,surprise,,1,L_10,0.7,,rapunzel_o,,,,,,
d_ex_redash_06_2_9,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_9,True,,1,pain_02,,L_10,L_10,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_10,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_10,True,,1,pain_02,,L_10,L_10,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_11,d_ex_redash_06_2,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_2_11,False,,1,pain_02,,L_10,L_10,1.0,,,,,,,,
d_ex_redash_06_2_12,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_12,False,,1,pain_01,,L_10,L_10,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_13,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_13,True,,1,angry,,L_10,1,0.7,,rapunzel_o,,,,,,
d_ex_redash_06_2_14,d_ex_redash_06_2,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_2_14,False,,1,angry,,1,1,1.0,,,,,,,,
d_ex_redash_06_2_15,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_15,True,,1,angry,,1,1,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_16,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_16,False,,1,think,,1,1,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_17,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_17,False,,3,think,,1,3,0.7,,,,,,,,
d_ex_redash_06_2_18,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_18,True,,3,think,,3,3,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_19,d_ex_redash_06_2,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_2_19,False,,3,think,,3,3,1.0,,,,,,,,
d_ex_redash_06_2_20,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_20,False,,3,think,,black,black,1.0,,,sfx_scn_remotesignal,,,,,
d_ex_redash_06_2_21,d_ex_redash_06_2,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_2_21,False,,3,think,,black,black,1.0,,,,,,,,
d_ex_redash_06_2_22,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_22,True,,3,pain_01,,3,3,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_23,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_23,True,,3,pain_01,,3,3,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_24,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_24,False,,3,pain_01,,3,3,1.0,,,,,,,,
d_ex_redash_06_2_25,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_25,False,,3,pain_01,,17,170,0.3,,,,Low_2,Blur_High,,,
d_ex_redash_06_2_26,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_26,False,,3,pain_01,,3,3,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_27,d_ex_redash_06_2,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_2_27,False,,3,pain_01,,3,L_30,1.0,,,,,,,,
d_ex_redash_06_2_28,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_28,False,,3,surprise,,L_30,L_30,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_29,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_29,True,,3,surprise,,L_30,3,0.7,,rapunzel_o,,,,,,
d_ex_redash_06_2_30,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_30,True,,3,surprise,,3,3,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_31,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_31,True,,3,angry,,3,3,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_32,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_32,False,,3,angry,,17,170,0.3,,,,Low_2,Blur_High,,,
d_ex_redash_06_2_33,d_ex_redash_06_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_2_33,True,,3,pain_01,,3,3,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_2_34,d_ex_redash_06_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_2_34,False,,3,pain_01,,17,170,0.3,,,,Low_2,Blur_High,,,
