id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_04af_04_1,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_1,True,andersen,1,idle,Office,L_10,L_10,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_2,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_2,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_3,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_3,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_4,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_4,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_5,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_5,True,,1,idle,,L_10,L_100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_6,d_main_04af_04,Choice,andersen,,Locale_MainScenario:d_main_04af_04_6,True,,1,idle,,L_100,L_100,1.0,,d_main_04af_04_8,,,,,,,,,,,,,,,,,,,
d_main_04af_04_7,d_main_04af_04,Choice,andersen,,Locale_MainScenario:d_main_04af_04_7,True,,1,idle,,L_100,L_100,1.0,,d_main_04af_04_8,,,,,,,,,,,,,,,,,,,
d_main_04af_04_8,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_8,True,,1,idle,,L_100,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_9,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_9,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_10,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_10,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_11,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_11,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_12,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_12,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_13,d_main_04af_04,Self,andersen,Self,Locale_MainScenario:d_main_04af_04_13,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_14,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_14,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_15,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_15,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_16,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_16,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_17,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_17,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_18,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_18,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_19,d_main_04af_04,Self,andersen,Self,Locale_MainScenario:d_main_04af_04_19,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_20,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_20,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_21,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_21,True,,1,idle,,L_10,L_100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_22,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_22,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_23,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_23,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_24,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_24,True,,1,idle,,L_100,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_25,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_25,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_26,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_26,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_27,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_27,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_28,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_28,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_29,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_29,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_30,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_30,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_31,d_main_04af_04,Self,andersen,Self,Locale_MainScenario:d_main_04af_04_31,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_32,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_32,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_33,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_33,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_34,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_34,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_35,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_35,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_36,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_36,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_37,d_main_04af_04,Self,andersen,Self,Locale_MainScenario:d_main_04af_04_37,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_38,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_38,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_39,d_main_04af_04,Self,andersen,Self,Locale_MainScenario:d_main_04af_04_39,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_40,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_40,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_41,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_41,True,,1,idle,,L_10,L_100,3.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_42,d_main_04af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_04_42,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_04af_04_43,d_main_04af_04,Narration,andersen,Narration,Locale_MainScenario:d_main_04af_04_43,True,,1,idle,,black,black,1.0,none,,andersen,black,,,,,,,,,,,,,,,,,
d_main_04af_04_44,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_44,True,,,,ElevatorOut,97,97,1.0,bgm_mystery,,,,mihara,9,idle,yuni,7,idle,,,,,,,,,,,
d_main_04af_04_45,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_45,True,,,,,97,97,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_46,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_46,True,,,,,97,97,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_47,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_47,True,,,,,97,97,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_48,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_48,True,,,,,97,97,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_49,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_49,True,,,,,97,97,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_50,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_50,True,,,,,97,97,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_51,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_51,True,,,,,97,97,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_52,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_52,True,,,,,S_70,S_70,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_53,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_53,True,,,,,90,90,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_54,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_54,True,,,,,S_70,S_70,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_55,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_55,True,,,,,S_70,S_700,3.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_56,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_56,True,,,,,S_700,S_700,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_57,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_57,False,,,,,90,90,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_58,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_58,True,,,,,7,7,1.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_59,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_59,True,,,,,7,S_70,3.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_60,d_main_04af_04,Speech,yuni,yuni,Locale_MainScenario:d_main_04af_04_60,True,,,,,S_70,S_700,3.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_61,d_main_04af_04,Speech,mihara,mihara,Locale_MainScenario:d_main_04af_04_61,True,,,,,90,900,3.0,,,,,,9,idle,,7,idle,,,,,,,,,,,
d_main_04af_04_62,d_main_04af_04,Speech,anis,anis,Locale_MainScenario:d_main_04af_04_62,False,,,,NikkeRoom,15,150,3.0,,,,black,,9,idle,,7,idle,mihara,yuni,anis,15,void,neon,17,idle,,,
d_main_04af_04_63,d_main_04af_04,Speech,neon,neon,Locale_MainScenario:d_main_04af_04_63,True,,,,,17,S_170,1.0,none,,,,,,,,,,,,,15,void,,17,idle,,,
d_main_04af_04_64,d_main_04af_04,Speech,anis,anis,Locale_MainScenario:d_main_04af_04_64,True,,,,,150,150,1.0,,,,,,,,,,,,,,15,void,,17,idle,,,
d_main_04af_04_65,d_main_04af_04,Speech,neon,neon,Locale_MainScenario:d_main_04af_04_65,True,,,,,S_170,S_170,1.0,,,,,,,,,,,,,,15,void,,17,idle,,,
d_main_04af_04_66,d_main_04af_04,Speech,anis,anis,Locale_MainScenario:d_main_04af_04_66,False,,,,,150,15,1.0,,,,,,,,,,,,,,15,void,,17,idle,,,
d_main_04af_04_67,d_main_04af_04,Speech,anis,anis,Locale_MainScenario:d_main_04af_04_67,True,,,,,15,15,1.0,,,,,,,,,,,,,,15,idle,,17,idle,,,
d_main_04af_04_68,d_main_04af_04,Speech,neon,neon,Locale_MainScenario:d_main_04af_04_68,True,,,,,15,1517,1.0,bgm_story_leisuretime,,,,,,,,,,,,,15,idle,,17,delight,,,
d_main_04af_04_69,d_main_04af_04,Speech,anis,anis,Locale_MainScenario:d_main_04af_04_69,True,,,,,1517,1517,1.0,,,,,,,,,,,,,,15,delight,,17,delight,,,
d_main_04af_04_70,d_main_04af_04,Narration,anis,Narration,Locale_MainScenario:d_main_04af_04_70,True,,,,,1517,19,1.0,,,,,,,,,,,,,,15,delight,,17,delight,rapi,19,idle
d_main_04af_04_71,d_main_04af_04,Speech,anis,anis,Locale_MainScenario:d_main_04af_04_71,False,,,,,150,150,1.0,,,,,,,,,,,,,,15,void,,17,idle,,19,idle
d_main_04af_04_72,d_main_04af_04,Speech,neon,neon,Locale_MainScenario:d_main_04af_04_72,False,,,,,S_170,S_170,1.0,,,,,,,,,,,,,,15,void,,17,idle,,19,idle
d_main_04af_04_73,d_main_04af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_04_73,False,,,,,190,190,1.0,,,,,,,,,,,,,,15,void,,17,idle,,19,idle
d_main_04af_04_74,d_main_04af_04,Speech,anis,anis,Locale_MainScenario:d_main_04af_04_74,True,,,,,150,1500,1.0,,,,,,,,,,,,,,15,angry,,17,idle,,19,idle
d_main_04af_04_75,d_main_04af_04,Speech,neon,neon,Locale_MainScenario:d_main_04af_04_75,True,,,,,S_170,S_1700,1.0,,,,,,,,,,,,,,15,angry,,17,no,,19,idle
d_main_04af_04_76,d_main_04af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_04_76,False,,,,,19,19,1.0,,,,,,,,,,,,,,15,angry,,17,no,,19,idle
d_main_04af_04_77,d_main_04af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_04_77,True,,,,,19,190,1.0,,,,,,,,,,,,,,15,angry,,17,no,,19,idle
d_main_04af_04_78,d_main_04af_04,Self,rapi,Self,Locale_MainScenario:d_main_04af_04_78,False,,,,,190,190,1.0,,,,,,,,,,,,,,15,angry,,17,no,,19,idle
d_main_04af_04_79,d_main_04af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_04_79,True,,,,,190,190,1.0,none,,,,,,,,,,,,,15,angry,,17,no,,19,idle
