id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,characters/2/hide_char_id,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,characters/3/hide_char_id,characters/0/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_20_02_1,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_1,True,harran,6,idle,isabel,4,idle,johan,2,idle,noah,12,idle,anis,15,idle,neon,17,idle,rapi,19,idle,Desert_01,2,1,0.3,bgm_volcanicnest_a,,,,,,,,,,,,,,
d_main_20_02_2,d_main_20_02,Speech,noah,noah,Locale_MainScenario:d_main_20_02_2,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,1,1,1.0,,,,,,,,,,,,,,,
d_main_20_02_3,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_3,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,1,3,0.3,,noah,,,,,,,,,,,,,
d_main_20_02_4,d_main_20_02,Speech,isabel,isabel,Locale_MainScenario:d_main_20_02_4,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,3,3,1.0,,,,,,,,,,,,,,,
d_main_20_02_5,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_5,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,3,6,1.0,,,isabel,,,,,,,,,,,,
d_main_20_02_6,d_main_20_02,Speech,harran,harran,Locale_MainScenario:d_main_20_02_6,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,6,6,1.0,,,,,,,,,,,,,,,
d_main_20_02_7,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_7,False,,6,idle,,4,idle,,2,think,,12,idle,,15,idle,,17,idle,,19,idle,,2,2,1.0,,,,harran,,,,,,,,,,,
d_main_20_02_8,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_8,True,,6,idle,,4,idle,,2,angry,,12,idle,,15,idle,,17,idle,,19,idle,,2,80,0.3,,,,,dorothy,8,think_02,,,,,,,,
d_main_20_02_9,d_main_20_02,Narration,,Narration,Locale_MainScenario:d_main_20_02_9,False,,6,idle,,4,idle,,2,angry,,12,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,,,,,8,think_02,sfx_scn_snowwhiterifle,Low_2,,,,,,
d_main_20_02_10,d_main_20_02,Monologue,,Monologue,Locale_MainScenario:d_main_20_02_10,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,,,,,8,think_02,,,johan,,,,,
d_main_20_02_11,d_main_20_02,Monologue,,Monologue,Locale_MainScenario:d_main_20_02_11,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_12,d_main_20_02,Monologue,,Monologue,Locale_MainScenario:d_main_20_02_12,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_13,d_main_20_02,Narration,,Narration,Locale_MainScenario:d_main_20_02_13,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,1,1,1.0,,,,,,8,think_02,sfx_scn_rapturehowl,Low_2,,dorothy,,,,
d_main_20_02_14,d_main_20_02,Monologue,,Monologue,Locale_MainScenario:d_main_20_02_14,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,1,1,1.0,,,,,,,,,Low_2,,,,,,
d_main_20_02_15,d_main_20_02,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_02_15,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,1,1,1.0,,,,,,,,,,,,cecil_op_c,OP_center,special,
d_main_20_02_16,d_main_20_02,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_02_16,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,1,1,1.0,,,,,,,,,,,,,OP_center,special,
d_main_20_02_17,d_main_20_02,Speech,anis,anis,Locale_MainScenario:d_main_20_02_17,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,1,16,2.0,,,,,,,,,,,,,OP_center,special,cecil_op_c
d_main_20_02_18,d_main_20_02,Speech,anis,anis,Locale_MainScenario:d_main_20_02_18,True,harran,6,idle,isabel,4,idle,johan,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,16,16,1.0,,,,,dorothy,8,idle_alt,,,,,,,,
d_main_20_02_19,d_main_20_02,Speech,neon,neon,Locale_MainScenario:d_main_20_02_19,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,no,,19,idle,,16,16,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_20,d_main_20_02,Speech,noah,noah,Locale_MainScenario:d_main_20_02_20,True,,6,idle,,4,idle,,2,idle,noah,12,surprise,,15,idle,,17,no,,19,idle,,12,12,1.0,,,,,,8,idle_alt,,,,,,,,
