id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_17af_02_1,d_main_17af_02,Narration,Locale_MainScenario:d_main_17af_02_1,False,NikkeRoom,1,1,1.0,sfx_scn_autodooropen,none,,,,,,,,,,,,,,,
d_main_17af_02_2,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_2,True,,1,XS_100,0.2,,bgm_story_destinedtofight,syuen,syuen,neon,9,idle,anis,7,void,rapi,5,idle,syuen,1,angry,
d_main_17af_02_3,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_3,True,,XS_100,XS_100,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_4,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_4,True,,XS_100,XS_100,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_5,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_5,True,,7,7,1.0,,,anis,anis,,9,idle,,7,angry,,5,idle,,1,angry,
d_main_17af_02_6,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_6,True,,7,7,1.0,,,anis,anis,,9,idle,,7,angry,,5,idle,,1,angry,
d_main_17af_02_7,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_7,True,,7,7,1.0,,,anis,anis,,9,idle,,7,angry,,5,idle,,1,angry,
d_main_17af_02_8,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_8,True,,7,7,1.0,,,syuen,syuen,,9,idle,,7,angry,,5,idle,,1,angry,
d_main_17af_02_9,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_9,True,,7,70,1.0,,,anis,anis,,9,idle,,7,angry,,5,idle,,1,angry,
d_main_17af_02_10,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_10,True,,1,1,1.0,,,syuen,syuen,,9,idle,,7,angry,,5,idle,,1,angry,
d_main_17af_02_11,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_11,True,,1,1,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_12,d_main_17af_02,Self,Locale_MainScenario:d_main_17af_02_12,False,,1,1,1.0,,,syuen,,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_13,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_13,True,,1,1,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_14,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_14,True,,1,XS_10,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_15,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_15,True,,XS_10,XS_10,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_16,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_16,True,,XS_10,XS_10,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_17,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_17,True,,XS_10,XS_10,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_18,d_main_17af_02,Self,Locale_MainScenario:d_main_17af_02_18,False,,XS_10,XS_10,1.0,,,syuen,,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_19,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_19,True,,XS_10,XS_10,1.0,,,syuen,syuen,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_20,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_20,True,,XS_10,XS_10,1.0,,,rapi,rapi,,9,idle,,7,void,,5,idle,,1,angry,
d_main_17af_02_21,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_21,True,,XS_10,XS_100,1.0,,none,syuen,syuen,,9,idle,,7,void,,5,idle,,1,delight,
d_main_17af_02_22,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_22,False,,XS_100,XS_100,1.0,,bgm_story_trauma,rapi,rapi,,9,idle,,7,void,,5,angry,,1,delight,
d_main_17af_02_23,d_main_17af_02,Self,Locale_MainScenario:d_main_17af_02_23,False,,XS_100,XS_100,1.0,,,rapi,,,9,idle,,7,void,,5,angry,,1,delight,
d_main_17af_02_24,d_main_17af_02,Speech,Locale_MainScenario:d_main_17af_02_24,True,,XS_100,1,2.0,,,syuen,syuen,,9,idle,,7,void,,5,angry,,1,delight,
