id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_25_08_e_1,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_1,True,redhood,1,no,chime,13,angry_02,crown,15,idle,CityForest_03,13,XXS_130,0.5,bgm_story_boing,,,,,,,,,
d_main_25_08_e_2,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_2,True,,1,no,,13,angry_02,,15,idle,,XXS_130,XXS_130,1.0,,,,,,,,,,
d_main_25_08_e_3,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_3,True,,1,no,,13,angry_02,,15,idle,,XXS_130,XXS_130,1.0,,,,,,,,,,
d_main_25_08_e_4,d_main_25_08_e,Speech,crown,crown,Locale_MainScenario:d_main_25_08_e_4,True,,1,no,,13,angry_02,,15,shy,,XXS_130,14,1.0,,,,,,,,,,
d_main_25_08_e_5,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_5,True,,1,no,,13,void,,15,shy,,14,14,1.0,,,,,,,,,,
d_main_25_08_e_6,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_6,True,,1,no,,13,void,,15,shy,,14,14,1.0,,,,,,,,,,
d_main_25_08_e_7,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_7,True,,1,no,,13,angry_02,,15,shy,,14,14,1.0,,,,,,,,,,
d_main_25_08_e_8,d_main_25_08_e,Speech,redhood,redhood,Locale_MainScenario:d_main_25_08_e_8,True,,1,worry,,13,angry_02,,15,shy,,14,12,2.0,,,,,,,,,,
d_main_25_08_e_9,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_9,True,,1,worry,,13,angry,,15,shy,,12,12,1.0,,,,,,,,,,
d_main_25_08_e_10,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_10,True,,1,worry,,13,angry,,15,shy,,12,12,1.0,,,,,,,,,,
d_main_25_08_e_11,d_main_25_08_e,Speech,redhood,redhood,Locale_MainScenario:d_main_25_08_e_11,True,,1,go,,13,angry,,15,shy,,12,10,1.0,,,,,,,,,,
d_main_25_08_e_12,d_main_25_08_e,Speech,redhood,redhood,Locale_MainScenario:d_main_25_08_e_12,True,,1,go,,13,angry,,15,shy,,10,10,1.0,,,,,,,,,,
d_main_25_08_e_13,d_main_25_08_e,Speech,crown,crown,Locale_MainScenario:d_main_25_08_e_13,False,,1,go,,13,void,,15,shy,,14,14,1.0,,,,,,,,,,
d_main_25_08_e_14,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_14,False,,1,go,,13,void,,15,shy,,14,14,1.0,,,,,,,,,,
d_main_25_08_e_15,d_main_25_08_e,Speech,redhood,redhood,Locale_MainScenario:d_main_25_08_e_15,True,,1,go,,13,void,,15,shy,,10,10,1.0,,,,,,,,,,
d_main_25_08_e_16,d_main_25_08_e,Speech,chime,chime,Locale_MainScenario:d_main_25_08_e_16,True,,1,angry,,13,angry,,15,shy,,XXS_130,XXS_130,1.0,,,,,,,,,,
