id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,fade
d_ex_command_05_1,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_1,True,CommanderRoom,1,1,1.0,bgm_story_leisuretime,,,,,,,
d_ex_command_05_2,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_2,True,,1,1,1.0,,,,,,,,
d_ex_command_05_3,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_3,False,,1,1,1.0,,,,,,,,
d_ex_command_05_4,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_4,False,,1,1,1.0,,sfx_scn_autodooropen,,,,,,
d_ex_command_05_5,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_5,True,,1,1,1.0,,,cocoa,1,idle,,,
d_ex_command_05_6,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_6,True,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_7,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_7,True,,1,XS_10,1.5,,,,1,idle,,,
d_ex_command_05_8,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_8,True,,XS_10,XS_10,1.0,,,,1,idle,,,
d_ex_command_05_9,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_9,False,,XS_10,XS_10,3.0,,,,1,"expression_0,idle",,,
d_ex_command_05_10,d_ex_command_05,Choice,,,Locale_SuddenStory:d_ex_command_05_10,False,,XS_10,XS_10,1.0,,,,1,idle,d_ex_command_05_12,,
d_ex_command_05_11,d_ex_command_05,Choice,,,Locale_SuddenStory:d_ex_command_05_11,False,,XS_10,XS_10,1.0,,,,1,idle,d_ex_command_05_15,,
d_ex_command_05_12,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_12,True,,XS_10,XS_10,1.0,,,,1,idle,,,
d_ex_command_05_13,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_13,True,,XS_10,XS_10,1.0,,,,1,idle,,,
d_ex_command_05_14,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_14,False,,XS_10,XS_10,1.0,,,,1,idle,,,
d_ex_command_05_15,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_15,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_16,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_16,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_17,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_17,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_18,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_18,False,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_19,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_19,True,,XS_10,XS_10,1.0,,,,1,delight,,,
d_ex_command_05_20,d_ex_command_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_command_05_20,False,,black,black,1.0,none,,,1,delight,,cocoa,black
d_ex_command_05_21,d_ex_command_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_command_05_21,False,,1,1,1.0,,,,,,,,
d_ex_command_05_22,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_22,False,,1,1,1.0,,sfx_scn_autodooropen,,,,,,
