id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_18_09_1,d_main_18_09,Monologue,Locale_MainScenario:d_main_18_09_1,False,NikkeCorridor,5,1,2.0,none,,,laplace,1,sad,,,,,,,
d_main_18_09_2,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_2,False,,1,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_3,d_main_18_09,Monologue,Locale_MainScenario:d_main_18_09_3,False,,S_10,S_10,1.0,bgm_story_hero_arrange,laplace,,,1,sad,,,,,,,
d_main_18_09_4,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_4,False,,S_10,S_10,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_5,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_5,False,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_6,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_6,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_7,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_7,True,,S_10,S_100,2.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_8,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_8,True,,S_100,S_100,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_9,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_9,False,,S_100,S_100,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_10,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_10,True,,S_100,S_100,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_11,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_11,False,,S_100,S_100,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_12,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_12,False,,S_100,S_100,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_13,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_13,True,,S_100,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_14,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_14,False,,S_10,S_10,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_15,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_15,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
