id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_subquest_1151_s_1,d_subquest_1151_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1151_s_1,True,neon,3,worry,anis,1,worry,rapi,13,idle,Desert_01,1,10,2.0,bgm_story_fairytalesend_if,,
d_subquest_1151_s_2,d_subquest_1151_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1151_s_2,True,,3,worry,,1,worry,,13,idle,,10,10,1.0,,,
d_subquest_1151_s_3,d_subquest_1151_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1151_s_3,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,
d_subquest_1151_s_4,d_subquest_1151_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1151_s_4,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,
d_subquest_1151_s_5,d_subquest_1151_s,Self,anis,Self,Locale_SubScenario:d_subquest_1151_s_5,False,,3,idle,,1,void,,13,idle,,10,10,1.0,,,
d_subquest_1151_s_6,d_subquest_1151_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1151_s_6,True,,3,idle,,1,void,,13,idle,,10,2,1.0,,,
d_subquest_1151_s_7,d_subquest_1151_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1151_s_7,True,,3,idle,,1,void,,13,think,,2,13,2.0,,,
d_subquest_1151_s_8,d_subquest_1151_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1151_s_8,True,,3,idle,,1,void,,13,think,,13,13,1.0,,,
d_subquest_1151_s_9,d_subquest_1151_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1151_s_9,True,,3,idle,,1,void,,13,think,,3,3,1.0,,,
d_subquest_1151_s_10,d_subquest_1151_s,Narration,,Narration,Locale_SubScenario:d_subquest_1151_s_10,False,,3,idle,,1,void,,13,idle,,3,7,0.3,,sfx_scn_rapturehowl,Low_2
d_subquest_1151_s_11,d_subquest_1151_s,Self,,Self,Locale_SubScenario:d_subquest_1151_s_11,False,,3,idle,,1,void,,13,idle,,7,7,1.0,,,
d_subquest_1151_s_12,d_subquest_1151_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1151_s_12,True,,3,surprise,,1,void,,13,idle,,7,3,0.5,,,
d_subquest_1151_s_13,d_subquest_1151_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1151_s_13,True,,3,surprise,,1,void,,13,idle,,3,3,1.0,,,
d_subquest_1151_s_14,d_subquest_1151_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1151_s_14,True,,3,surprise,,1,worry,,13,idle,,3,2,1.0,,,
d_subquest_1151_s_15,d_subquest_1151_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1151_s_15,True,,3,surprise,,1,no,,13,idle,,2,2,1.0,,,
d_subquest_1151_s_16,d_subquest_1151_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1151_s_16,True,,3,angry,,1,no,,13,idle,,2,2,1.0,,,
d_subquest_1151_s_17,d_subquest_1151_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1151_s_17,True,,3,angry,,1,no,,13,angry,,2,13,1.0,,,
