id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_24_12_1,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_1,True,Destroyedcity,3,3,1.0,bgm_inark,,,,,miranda,4,delight,,poli,2,idle,,dorothy,12,idle
d_main_24_12_2,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_2,True,,3,3,1.0,,,,,,,4,delight,,,2,idle,,,12,idle
d_main_24_12_3,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_3,True,,3,1,1.0,,,,,,,4,delight,,,2,idle,,,12,idle
d_main_24_12_4,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_4,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,idle
d_main_24_12_5,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_5,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,worry
d_main_24_12_6,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_6,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,worry
d_main_24_12_7,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_7,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,worry
d_main_24_12_8,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_8,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,worry
d_main_24_12_9,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_9,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,idle
d_main_24_12_10,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_10,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_11,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_11,True,,1,3,0.6,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_12,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_12,True,,3,3,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_13,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_13,True,,3,3,1.0,,,,,,,4,idle,,,2,idle,,,12,think
