id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/0/hide_char_id
d_ex_modernbar_09_01,d_ex_modernbar_09,Narration,Locale_SuddenStory:d_ex_modernbar_09_01,False,Bar,17,17,1.0,sfx_scn_toyshopbell,none,,,,,,,,,,
d_ex_modernbar_09_02,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_02,True,,17,170,0.5,,bgm_story_tuffguys,unknown,unknown,,,,,,,,
d_ex_modernbar_09_03,d_ex_modernbar_09,Self,Locale_SuddenStory:d_ex_modernbar_09_03,False,,170,170,1.0,,,,,,,,,,,,
d_ex_modernbar_09_04,d_ex_modernbar_09,Monologue,Locale_SuddenStory:d_ex_modernbar_09_04,False,,170,17,1.0,,,,,moran,3,angry,rouge,1,think,,
d_ex_modernbar_09_05,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_05,True,,17,2,1.5,,,moran,moran,,3,angry,,1,think,,
d_ex_modernbar_09_06,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_06,True,,2,2,1.0,,,rouge,rouge,,3,angry,,1,think,,
d_ex_modernbar_09_07,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_07,True,,2,2,1.0,,,moran,moran,,3,angry,,1,think,,
d_ex_modernbar_09_08,d_ex_modernbar_09,Monologue,Locale_SuddenStory:d_ex_modernbar_09_08,False,,2,2,1.0,,,moran,,,3,angry,,1,think,,
d_ex_modernbar_09_09,d_ex_modernbar_09,Self,Locale_SuddenStory:d_ex_modernbar_09_09,False,,2,2,1.0,,,moran,,,3,angry,,1,think,,
d_ex_modernbar_09_10,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_10,True,,2,2,1.0,,,moran,moran,,3,delight,,1,think,,
d_ex_modernbar_09_11,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_11,True,,2,2,1.0,,,moran,moran,,3,delight,,1,think,,
d_ex_modernbar_09_12,d_ex_modernbar_09,Self,Locale_SuddenStory:d_ex_modernbar_09_12,False,,2,2,1.0,,,moran,,,3,delight,,1,think,,
d_ex_modernbar_09_13,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_13,True,,2,2,1.0,,,rouge,rouge,,3,idle,,1,sad,,
d_ex_modernbar_09_14,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_14,True,,2,2,1.0,,,rouge,rouge,,3,idle,,1,sad,,
d_ex_modernbar_09_15,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_15,True,,2,30,0.7,,,moran,moran,,3,angry,,1,sad,,
d_ex_modernbar_09_16,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_16,True,,30,30,1.0,,,moran,moran,,3,angry,,1,sad,,
d_ex_modernbar_09_17,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_17,True,,30,30,1.0,,,moran,moran,,3,angry,,1,sad,,
d_ex_modernbar_09_18,d_ex_modernbar_09,Self,Locale_SuddenStory:d_ex_modernbar_09_18,False,,30,30,1.0,,,moran,,,3,angry,,1,sad,,
d_ex_modernbar_09_19,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_19,True,,30,30,1.0,,,moran,moran,,3,angry,,1,sad,,
d_ex_modernbar_09_20,d_ex_modernbar_09,Self,Locale_SuddenStory:d_ex_modernbar_09_20,False,,30,30,1.0,,,moran,,,3,angry,,1,sad,,
d_ex_modernbar_09_21,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_21,True,,10,10,1.0,,,rouge,rouge,,3,angry,,1,think,,
d_ex_modernbar_09_22,d_ex_modernbar_09,Monologue,Locale_SuddenStory:d_ex_modernbar_09_22,False,,10,10,1.0,sfx_scn_card_2,,rouge,,,3,idle,,1,think,,
d_ex_modernbar_09_23,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_23,True,,10,10,1.0,,,rouge,rouge,,3,idle,,1,idle,,
d_ex_modernbar_09_24,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_24,True,,10,10,1.0,,,rouge,rouge,,3,idle,,1,idle,,
d_ex_modernbar_09_25,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_25,True,,10,10,1.0,,,rouge,rouge,,3,idle,,1,idle,,
d_ex_modernbar_09_26,d_ex_modernbar_09,Speech,Locale_SuddenStory:d_ex_modernbar_09_26,True,,10,10,1.0,,,rouge,rouge,,3,idle,,1,idle,,
