id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,conversation_id
d_main_04af_06_1,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_1,True,syuen,3,idle,rapi,13,idle,anis,15,void,neon,17,idle,NikkeRoom,3,XS_30,1.0,bgm_story_kneeldownfools,,,,,,,,
d_main_04af_06_2,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_2,True,,3,idle,,13,idle,,15,void,,17,idle,,XS_30,XS_30,1.0,,,,,,,,,
d_main_04af_06_3,d_main_04af_06,Self,syuen,Self,Locale_MainScenario:d_main_04af_06_3,True,,3,idle,,13,idle,,15,void,,17,idle,,XS_30,XS_30,1.0,,,,,,,,,
d_main_04af_06_4,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_4,True,,3,idle,,13,idle,,15,void,,17,idle,,XS_30,XS_30,1.0,,,,,,,,,
d_main_04af_06_5,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_5,True,,3,idle,,13,idle,,15,void,,17,idle,,XS_30,XS_300,3.0,,,,,,,,,
d_main_04af_06_6,d_main_04af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_06_6,False,,3,idle,,13,idle,,15,void,,17,idle,,130,1300,3.0,,,,,,,,,
d_main_04af_06_7,d_main_04af_06,Monologue,rapi,,Locale_MainScenario:d_main_04af_06_7,True,,3,idle,,13,idle,,15,void,,17,idle,,1300,13,1.0,,,,,,,,,
d_main_04af_06_8,d_main_04af_06,Monologue,rapi,,Locale_MainScenario:d_main_04af_06_8,True,,3,idle,,1,idle,,15,void,,17,idle,,13,31,0.5,,,,,,,,,
d_main_04af_06_9,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_9,True,,3,idle,,1,idle,,15,void,,17,idle,,31,XS_30,1.0,,,,,,,,,
d_main_04af_06_10,d_main_04af_06,Narration,syuen,Narration,Locale_MainScenario:d_main_04af_06_10,True,,3,idle,,1,idle,,15,void,,17,idle,,XS_30,XS_300,0.5,none,sfx_scn_hit,Low_1,,,,,,
