id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_12_04_1,d_main_12_04,Speech,rapi,rapi,Locale_MainScenario:d_main_12_04_1,True,Factory,113,113,1.0,bgm_groundfall,rapi,1,idle,,eunhwa,13,idle,,anis,15,idle,,,,,,neon,17,idle,
d_main_12_04_2,d_main_12_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_04_2,True,,113,113,1.0,,,1,idle,,,13,angry,,,15,idle,,,,,,,17,idle,
d_main_12_04_3,d_main_12_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_04_3,True,,113,1315,1.0,none,,1,idle,,,13,idle,,,15,idle,,,,,,,17,idle,
d_main_12_04_4,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_4,True,,1315,1315,1.0,,,1,idle,,,13,idle,,,15,angry,,,,,,,17,idle,
d_main_12_04_5,d_main_12_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_04_5,True,,1315,1315,1.0,,,1,idle,,,13,angry,,,15,angry,,,,,,,17,idle,
d_main_12_04_6,d_main_12_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_04_6,True,,1315,1315,1.0,bgm_mystery,,1,idle,,,13,angry,,,15,angry,,,,,,,17,idle,
d_main_12_04_7,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_7,True,,1315,1315,1.0,,,1,idle,,,13,idle,,,15,worry,,,,,,,17,idle,
d_main_12_04_8,d_main_12_04,Speech,rapi,rapi,Locale_MainScenario:d_main_12_04_8,True,,1315,10,1.0,,,1,idle,,,13,idle,,,15,worry,,,,,,,17,idle,
d_main_12_04_9,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_9,True,,150,150,1.0,,,1,idle,,,13,idle,,,15,void,,,,,,,17,idle,
d_main_12_04_10,d_main_12_04,Speech,neon,neon,Locale_MainScenario:d_main_12_04_10,True,,150,1517,1.0,,,1,idle,,,13,idle,,,15,void,,,,,,,17,idle,
d_main_12_04_11,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_11,True,,1517,1517,1.0,,,1,idle,,,13,idle,eunhwa,,15,void,,,,,,,17,idle,
d_main_12_04_12,d_main_12_04,Speech,shifty,shifty,Locale_MainScenario:d_main_12_04_12,True,,1517,1517,1.0,,,1,idle,,maxwell,3,idle,,,15,void,,shifty,OP_leftup,think,,,17,idle,
d_main_12_04_13,d_main_12_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_04_13,True,,30,30,1.0,,,1,idle,,,3,idle,,,15,void,anis,,OP_leftup,think,shifty,,1,idle,neon
d_main_12_04_14,d_main_12_04,Speech,rapi,rapi,Locale_MainScenario:d_main_12_04_14,True,,30,31,1.0,,,1,idle,,,3,idle,,,,,,,,,,,,,
d_main_12_04_15,d_main_12_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_04_15,True,,31,31,1.0,,,1,idle,,,3,idle,,,,,,,,,,,,,
d_main_12_04_16,d_main_12_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_04_16,True,,31,31,1.0,,,1,idle,,,3,sad,,anis,13,void,,,,,,,,,
d_main_12_04_17,d_main_12_04,Speech,rapi,rapi,Locale_MainScenario:d_main_12_04_17,True,,31,31,1.0,,,1,idle,,,3,sad,,,13,void,,,,,,,,,
d_main_12_04_18,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_18,True,,31,113,1.0,,,1,idle,,,3,idle,,,13,void,,,,,,,,,
d_main_12_04_19,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_19,True,,113,113,1.0,,,1,idle,,,3,idle,,,13,void,,,,,,,,,
d_main_12_04_20,d_main_12_04,Speech,rapi,rapi,Locale_MainScenario:d_main_12_04_20,True,,113,113,1.0,,,1,idle,,,3,idle,,,13,void,,,,,,,,,
d_main_12_04_21,d_main_12_04,Speech,rapi,rapi,Locale_MainScenario:d_main_12_04_21,True,,113,113,1.0,,,1,idle,,,3,idle,,,13,void,,,,,,,,,
d_main_12_04_22,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_22,True,,113,113,1.0,,,1,idle,,,3,idle,,,13,angry,,,,,,,,,
d_main_12_04_23,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_23,True,,113,113,1.0,,,1,idle,,,3,idle,,,13,worry,,,,,,,,,
d_main_12_04_24,d_main_12_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_04_24,True,,113,30,1.0,,,1,idle,,,3,idle,,,13,worry,,,,,,,,,
d_main_12_04_25,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_25,True,,130,130,1.0,,,1,idle,,,3,sad,,,13,void,,,,idle,,,,,
d_main_12_04_26,d_main_12_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_04_26,True,,30,30,1.0,,,1,idle,,,3,sad,,,13,void,,laplace,15,idle,,,,,
d_main_12_04_27,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_27,True,,130,130,1.0,,,1,idle,,,3,sad,,,13,sad,,,15,idle,,,,,
d_main_12_04_28,d_main_12_04,Speech,laplace,laplace,Locale_MainScenario:d_main_12_04_28,True,,130,XS_150,1.0,,,1,idle,,,3,idle,,,13,sad,,,15,idle,,,,,
d_main_12_04_29,d_main_12_04,Speech,laplace,laplace,Locale_MainScenario:d_main_12_04_29,True,,XS_150,XS_150,1.0,,,1,idle,,,3,idle,,,13,sad,,,15,idle,,,,,
d_main_12_04_30,d_main_12_04,Speech,laplace,laplace,Locale_MainScenario:d_main_12_04_30,True,,XS_150,XS_150,1.0,,,1,idle,,,3,idle,,,13,sad,,,15,idle,,,,,
d_main_12_04_31,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_31,True,,XS_150,1315,1.0,,,1,idle,,,3,idle,,,13,worry,,,15,idle,,,,,
d_main_12_04_32,d_main_12_04,Speech,anis,anis,Locale_MainScenario:d_main_12_04_32,True,,1315,1315,1.0,,,1,idle,,,3,idle,,,13,worry,,,15,idle,,vesti,17,idle,
d_main_12_04_33,d_main_12_04,Speech,laplace,laplace,Locale_MainScenario:d_main_12_04_33,True,,1315,1315,1.0,,,1,idle,,,3,idle,,,13,worry,,,15,idle,,,17,idle,
d_main_12_04_34,d_main_12_04,Speech,vesti,vesti,Locale_MainScenario:d_main_12_04_34,True,,1315,XS_170,1.0,,,1,idle,rapi,,3,idle,maxwell,,13,worry,,,15,idle,,,17,idle,
d_main_12_04_35,d_main_12_04,Speech,vesti,vesti,Locale_MainScenario:d_main_12_04_35,True,,XS_170,XS_170,1.0,,neon,1,no,,,,,,,13,worry,,,15,idle,,,17,idle,
