id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_contents_simulationroom_01_1,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_1,False,SimulationRoom,1,1,1.0,bgm_story_cosmos,einkk,1,think
d_contents_simulationroom_01_2,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_2,True,,1,1,1.0,,,1,idle
d_contents_simulationroom_01_3,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_3,True,,1,1,1.0,,,1,idle
d_contents_simulationroom_01_4,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_4,True,,1,10,1.0,,,1,idle
d_contents_simulationroom_01_5,d_contents_simulationroom_01,Self,einkk,,Locale_SubScenario:d_contents_simulationroom_01_5,False,,10,10,1.0,,,1,idle
d_contents_simulationroom_01_6,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_6,True,,10,1,1.0,,,1,idle
d_contents_simulationroom_01_7,d_contents_simulationroom_01,Self,einkk,,Locale_SubScenario:d_contents_simulationroom_01_7,False,,1,1,1.0,,,1,idle
d_contents_simulationroom_01_8,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_8,True,,1,1,1.0,,,1,idle
d_contents_simulationroom_01_9,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_9,True,,1,1,1.0,,,1,idle
d_contents_simulationroom_01_10,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_10,True,,1,10,1.0,,,1,idle
d_contents_simulationroom_01_11,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_11,True,,10,10,1.0,,,1,special
d_contents_simulationroom_01_12,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_12,True,,10,10,1.0,,,1,idle
d_contents_simulationroom_01_13,d_contents_simulationroom_01,Self,einkk,,Locale_SubScenario:d_contents_simulationroom_01_13,False,,10,10,1.0,,,1,idle
d_contents_simulationroom_01_14,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_14,True,,10,10,1.0,,,1,special
d_contents_simulationroom_01_15,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_15,True,,10,10,1.0,,,1,special
d_contents_simulationroom_01_16,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_16,True,,10,10,1.0,,,1,special
d_contents_simulationroom_01_17,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_17,True,,10,10,1.0,,,1,delight
d_contents_simulationroom_01_18,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_18,True,,10,10,1.0,,,1,delight
d_contents_simulationroom_01_19,d_contents_simulationroom_01,Self,einkk,,Locale_SubScenario:d_contents_simulationroom_01_19,False,,10,10,1.0,,,1,delight
d_contents_simulationroom_01_20,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_20,True,,10,10,1.0,,,1,delight
d_contents_simulationroom_01_21,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_21,True,,10,10,1.0,,,1,idle
d_contents_simulationroom_01_22,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_22,True,,10,10,1.0,,,1,idle
d_contents_simulationroom_01_23,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_23,True,,10,10,1.0,,,1,idle
d_contents_simulationroom_01_24,d_contents_simulationroom_01,Self,einkk,,Locale_SubScenario:d_contents_simulationroom_01_24,False,,10,10,1.0,,,1,idle
d_contents_simulationroom_01_25,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_25,True,,10,100,1.0,,,1,angry
d_contents_simulationroom_01_26,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_26,True,,100,100,1.0,,,1,angry
d_contents_simulationroom_01_27,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_27,True,,100,1,1.0,,,1,idle
d_contents_simulationroom_01_28,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_28,True,,1,1,1.0,,,1,idle
d_contents_simulationroom_01_29,d_contents_simulationroom_01,Speech,einkk,einkk,Locale_SubScenario:d_contents_simulationroom_01_29,True,,1,100,2.0,,,1,idle
