id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
d_main_12_07_e_1,d_main_12_07_e,Speech,shifty,shifty,Locale_MainScenario:d_main_12_07_e_1,True,Factory,30,30,1.0,bgm_enemyclose,,,,,vesti,9,idle,,emma,7,worry,,eunhwa,5,idle,,rapi,3,idle,,anis,1,void,,neon,13,idle,,,,,,,,,,,,,,shifty,OP_leftup,idle,
d_main_12_07_e_2,d_main_12_07_e,Speech,shifty,shifty,Locale_MainScenario:d_main_12_07_e_2,True,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,OP_leftup,idle,
d_main_12_07_e_3,d_main_12_07_e,Speech,shifty,shifty,Locale_MainScenario:d_main_12_07_e_3,True,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,OP_leftup,idle,
d_main_12_07_e_4,d_main_12_07_e,Speech,shifty,shifty,Locale_MainScenario:d_main_12_07_e_4,True,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,OP_leftup,idle,
d_main_12_07_e_5,d_main_12_07_e,Speech,rapi,rapi,Locale_MainScenario:d_main_12_07_e_5,True,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,OP_leftup,idle,shifty
d_main_12_07_e_6,d_main_12_07_e,Self,rapi,,Locale_MainScenario:d_main_12_07_e_6,False,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,
d_main_12_07_e_7,d_main_12_07_e,Speech,rapi,rapi,Locale_MainScenario:d_main_12_07_e_7,True,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,
d_main_12_07_e_8,d_main_12_07_e,Self,rapi,,Locale_MainScenario:d_main_12_07_e_8,False,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,
d_main_12_07_e_9,d_main_12_07_e,Speech,rapi,rapi,Locale_MainScenario:d_main_12_07_e_9,False,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,
d_main_12_07_e_10,d_main_12_07_e,Self,rapi,,Locale_MainScenario:d_main_12_07_e_10,False,,30,30,1.0,,,,,,,9,idle,,,7,worry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,
