id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_27_04_e_1,d_main_27_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_04_e_1,True,CrystalDesert_d,1,100,1.0,bgm_spot_dwn_a,,hammering,7,angry,,elegg,5,idle,,liveryn,3,idle,,rapi,1,angry,,anis,13,idle,,neon,15,idle,,,,,
d_main_27_04_e_2,d_main_27_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_e_2,True,,5,S_500,1.0,,,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_3,d_main_27_04_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_e_3,True,,S_500,700,1.0,,,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_4,d_main_27_04_e,Monologue,,,Locale_MainScenario:d_main_27_04_e_4,False,,700,700,1.0,,,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_5,d_main_27_04_e,Monologue,,,Locale_MainScenario:d_main_27_04_e_5,False,,700,900,1.0,,,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_6,d_main_27_04_e,Narration,,,Locale_MainScenario:d_main_27_04_e_6,False,,900,90,1.0,,sfx_scn_hammerwhoosh,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_7,d_main_27_04_e,Narration,,,Locale_MainScenario:d_main_27_04_e_7,False,,90,90,1.0,,sfx_scn_metalcrystalbreak,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_8,d_main_27_04_e,Monologue,,,Locale_MainScenario:d_main_27_04_e_8,False,,90,9,1.0,,,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_9,d_main_27_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_e_9,True,,9,53,1.0,,,,7,angry,,,5,special,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_10,d_main_27_04_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_e_10,True,,53,53,1.0,,,,7,angry,,,5,special,,,3,special,,,1,angry,,,13,angry,,,15,idle,,,,,
d_main_27_04_e_11,d_main_27_04_e,Speech,neon,neon,Locale_MainScenario:d_main_27_04_e_11,True,,1315,1315,1.0,,,,7,angry,,,5,special,,,3,special,,,1,angry,,,13,angry,,,15,no,,,,,
d_main_27_04_e_12,d_main_27_04_e,Speech,anis,anis,Locale_MainScenario:d_main_27_04_e_12,True,,1315,1315,1.0,,,,7,angry,,,5,special,,,3,special,,,1,angry,,,13,angry,,,15,no,,,,,
d_main_27_04_e_13,d_main_27_04_e,Self,,,Locale_MainScenario:d_main_27_04_e_13,False,,1315,1315,1.0,,,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,angry,,,15,no,,,,,
d_main_27_04_e_14,d_main_27_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_04_e_14,True,,1315,1,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,angry,,,13,angry,,,15,idle,,,,,
d_main_27_04_e_15,d_main_27_04_e,Speech,shifty,shifty,Locale_MainScenario:d_main_27_04_e_15,True,,1,100,1.0,none,,,7,idle,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,shifty,OP_leftup,angry,
d_main_27_04_e_16,d_main_27_04_e,Speech,shifty,shifty,Locale_MainScenario:d_main_27_04_e_16,False,,100,100,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,OP_leftup,surprise,
d_main_27_04_e_17,d_main_27_04_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_e_17,False,,700,700,1.0,,,,7,surprise,,,5,special,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,OP_leftup,surprise,shifty
d_main_27_04_e_18,d_main_27_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_e_18,False,,700,S_500,1.0,,,,7,surprise,,,5,special,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_19,d_main_27_04_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_e_19,False,,S_500,300,1.0,,,,7,idle,,,5,special,,,3,surprise,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_20,d_main_27_04_e,Self,,,Locale_MainScenario:d_main_27_04_e_20,False,,300,100,1.0,,,,7,idle,,,5,idle,,,3,surprise,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_21,d_main_27_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_04_e_21,True,,100,100,1.0,bgm_aztec,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_22,d_main_27_04_e,Speech,anis,anis,Locale_MainScenario:d_main_27_04_e_22,True,,100,1300,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,worry,,,15,idle,,,,,
d_main_27_04_e_23,d_main_27_04_e,Speech,neon,neon,Locale_MainScenario:d_main_27_04_e_23,True,,1300,S_1500,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,worry,,,15,no,,,,,
d_main_27_04_e_24,d_main_27_04_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_e_24,True,,700,700,1.0,,,,7,sad2,,,5,idle,,,3,idle,,,1,idle,,,13,worry,,,15,no,,,,,
d_main_27_04_e_25,d_main_27_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_e_25,True,,700,S_500,1.0,,,,7,sad2,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,no,,,,,
d_main_27_04_e_26,d_main_27_04_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_e_26,True,,S_500,300,1.0,,,,7,sad2,,,5,idle,,,3,sad,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_27,d_main_27_04_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_04_e_27,True,,700,700,1.0,,,,7,idle,,,5,idle,,,3,sad,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_28,d_main_27_04_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_04_e_28,True,,300,300,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_29,d_main_27_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_e_29,True,,300,S_500,1.0,,,,7,idle,,,5,special,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_30,d_main_27_04_e,Narration,,,Locale_MainScenario:d_main_27_04_e_30,False,,S_500,S_500,1.0,,sfx_scn_tinymachineengage,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_31,d_main_27_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_e_31,True,,S_500,S_50,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_32,d_main_27_04_e,Speech,neon,neon,Locale_MainScenario:d_main_27_04_e_32,True,,S_150,S_150,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_33,d_main_27_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_e_33,True,,S_50,S_50,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_27_04_e_34,d_main_27_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_04_e_34,True,,S_50,S_50,1.0,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
