id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_29_06_e_1,d_main_29_06_e,Monologue,fragile,Locale_MainScenario:d_main_29_06_e_1,False,CrystalCity,13,13,1.0,bgm_chapter29_field_drifting,,,,,,,,,,,fragile,13,idle
d_main_29_06_e_2,d_main_29_06_e,Monologue,fragile,Locale_MainScenario:d_main_29_06_e_2,False,,13,13,1.0,,,,,,,,,,,,,13,idle
d_main_29_06_e_3,d_main_29_06_e,Monologue,fragile,Locale_MainScenario:d_main_29_06_e_3,False,,13,13,1.0,,,,,,,,,,,,,13,idle
d_main_29_06_e_4,d_main_29_06_e,Monologue,fragile,Locale_MainScenario:d_main_29_06_e_4,False,,13,13,1.0,,,,,,,,,,,,,13,idle
d_main_29_06_e_5,d_main_29_06_e,Monologue,fragile,Locale_MainScenario:d_main_29_06_e_5,False,,13,13,1.0,,,,,,,,,,,,,13,idle
d_main_29_06_e_6,d_main_29_06_e,Monologue,fragile,Locale_MainScenario:d_main_29_06_e_6,False,,13,S_130,1.0,,,,,,,,,,,,,13,idle
d_main_29_06_e_7,d_main_29_06_e,Monologue,fragile,Locale_MainScenario:d_main_29_06_e_7,False,,S_130,S_130,1.0,,,,,,,,,,,,,13,idle
d_main_29_06_e_8,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_8,True,,S_130,10,0.6,,rapi,,,,,,,rapi,1,idle,,13,idle
d_main_29_06_e_9,d_main_29_06_e,Monologue,rapi,Locale_MainScenario:d_main_29_06_e_9,False,,10,10,1.0,,,,,,,,,,1,idle,,13,idle
d_main_29_06_e_10,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_10,True,,10,10,1.0,,rapi,,,,,,,,1,idle,,13,idle
d_main_29_06_e_11,d_main_29_06_e,Self,rapi,Locale_MainScenario:d_main_29_06_e_11,False,,10,10,1.0,,,,,,,,,,1,idle,,13,idle
d_main_29_06_e_12,d_main_29_06_e,Self,rapi,Locale_MainScenario:d_main_29_06_e_12,False,,10,10,1.0,,,,,,,,,,1,idle,,13,idle
d_main_29_06_e_13,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_13,False,,10,10,1.0,,rapi,,,,,,,,1,think,,13,idle
d_main_29_06_e_14,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_14,True,,10,10,1.0,,rapi,,,,,,,,1,idle,,13,idle
d_main_29_06_e_15,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_15,True,,10,10,1.0,,rapi,,,,,,,,1,idle,,13,idle
d_main_29_06_e_16,d_main_29_06_e,Self,rapi,Locale_MainScenario:d_main_29_06_e_16,False,,10,10,1.0,,,,,,,,,,1,idle,,13,idle
d_main_29_06_e_17,d_main_29_06_e,Self,rapi,Locale_MainScenario:d_main_29_06_e_17,False,,10,10,1.0,,,,,,,,,,1,idle,,13,idle
d_main_29_06_e_18,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_18,False,,10,10,1.0,,rapi,,,,,,,,1,think,,13,idle
d_main_29_06_e_19,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_19,True,,10,10,1.0,,rapi,,,,,,,,1,idle,,13,idle
d_main_29_06_e_20,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_20,True,,10,10,1.0,,rapi,,,,,,,,1,idle,,13,idle
d_main_29_06_e_21,d_main_29_06_e,Self,rapi,Locale_MainScenario:d_main_29_06_e_21,False,,10,10,1.0,,,,,,,,,,1,idle,,13,idle
d_main_29_06_e_22,d_main_29_06_e,Self,rapi,Locale_MainScenario:d_main_29_06_e_22,False,,10,10,1.0,,,,,,,,,,1,idle,,13,idle
d_main_29_06_e_23,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_23,True,,10,10,1.0,,rapi,,,,,,,,1,worry,,13,idle
d_main_29_06_e_24,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_24,True,,10,4,1.0,,anis,neon,5,idle,anis,3,idle,,1,worry,,13,idle
d_main_29_06_e_25,d_main_29_06_e,Speech,neon,Locale_MainScenario:d_main_29_06_e_25,True,,4,4,1.0,,neon,,5,idle,,3,idle,,1,worry,,13,idle
d_main_29_06_e_26,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_26,True,,10,10,1.0,,rapi,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_e_27,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_27,False,,4,4,1.0,,anis,,5,no,,3,no,,1,idle,,13,idle
