id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_ex_toyshop_05_1,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_1,True,ToyShop,1,XS_10,2.0,bgm_story_inwonderland,,,,,cocoa,1,delight,belorta,13,idle,,mica,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_2,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_2,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_3,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_3,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_4,d_ex_toyshop_05,Choice,,,Locale_SuddenStory:d_ex_toyshop_05_4,False,,XS_10,XS_10,1.0,,d_ex_toyshop_05_6,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_5,d_ex_toyshop_05,Choice,,,Locale_SuddenStory:d_ex_toyshop_05_5,False,,XS_10,XS_10,1.0,,d_ex_toyshop_05_8,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_6,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_6,True,,14,14,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_7,d_ex_toyshop_05,Speech,mica,mica,Locale_SuddenStory:d_ex_toyshop_05_7,True,,14,14,1.0,,d_ex_toyshop_05_11,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_8,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_8,True,,14,14,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_9,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_9,True,,14,14,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_10,d_ex_toyshop_05,Speech,mica,mica,Locale_SuddenStory:d_ex_toyshop_05_10,True,,14,14,1.0,,,,,,,1,idle,,13,idle,,,15,worry,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_11,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_11,True,,14,14,0.3,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_12,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_12,True,,14,14,1.0,,,,,,,1,idle,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_13,d_ex_toyshop_05,Speech,mica,mica,Locale_SuddenStory:d_ex_toyshop_05_13,True,,14,14,1.0,,,,,,,1,idle,,13,delight,,,15,delight,,,,,,,,,,,,,,,,,
