id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/hide_char_id
d_ex_hospital_04_1,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_1,True,jackal,3,no,mary,1,idle,pepper,13,surprise,Hospital,XS_10,XS_10,1.0,bgm_story_whosdumber,,
d_ex_hospital_04_2,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_2,True,,3,no,,1,idle,,13,surprise,,XS_10,XS_100,2.0,,,
d_ex_hospital_04_3,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_3,False,,3,no,,1,idle,,13,surprise,,XS_100,S_30,2.0,,,
d_ex_hospital_04_4,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_4,True,,3,no,,1,idle,,13,surprise,,S_30,2,1.0,,,
d_ex_hospital_04_5,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_5,False,,3,no,,1,idle,,13,surprise,,2,2,1.0,,,
d_ex_hospital_04_6,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_6,True,,3,no,,1,idle,,13,surprise,,2,2,1.0,,,
d_ex_hospital_04_7,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_7,False,,3,no,,1,idle,,13,surprise,,2,2,1.0,,,
d_ex_hospital_04_8,d_ex_hospital_04,Self,jackal,,Locale_SuddenStory:d_ex_hospital_04_8,False,,3,no,,1,idle,,13,surprise,,2,2,1.0,,,
d_ex_hospital_04_9,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_9,False,,3,no,,1,idle,,13,surprise,,2,S_30,1.0,,,
d_ex_hospital_04_10,d_ex_hospital_04,Monologue,jackal,,Locale_SuddenStory:d_ex_hospital_04_10,False,,3,no,,1,idle,,13,surprise,,S_30,S_30,1.0,,,
d_ex_hospital_04_11,d_ex_hospital_04,Self,jackal,,Locale_SuddenStory:d_ex_hospital_04_11,False,,3,no,,1,idle,,13,surprise,,S_30,S_30,1.0,,,
d_ex_hospital_04_12,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_12,False,,3,no,,1,idle,,13,surprise,,S_30,S_30,1.0,,,
d_ex_hospital_04_13,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_13,True,,3,no,,1,idle,,13,surprise,,S_30,XS_10,1.0,,,
d_ex_hospital_04_14,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_14,True,,3,no,,1,idle,,13,surprise,,XS_10,XS_10,1.0,,,
