id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound
d_contents_dungeon_run_09_1,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_1,False,DragonCastleIn,black,black,1.0,none,,,,,,,,,,,,,,,
d_contents_dungeon_run_09_2,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_2,False,,black,black,1.0,bgm_story_sceneofmemory,,,,,,,,,,,,,,,
d_contents_dungeon_run_09_3,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_3,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_contents_dungeon_run_09_4,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_4,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_contents_dungeon_run_09_5,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_5,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_contents_dungeon_run_09_6,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_6,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_contents_dungeon_run_09_7,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_7,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_contents_dungeon_run_09_8,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_8,False,,black,black,1.0,none,,,,,,,,,,,,,,,
d_contents_dungeon_run_09_9,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_9,True,,XS_140,XS_140,1.0,bgm_story_empathize,vesti_c,vesti_c,vesti_c,14,angry,,,,,,,,,,
d_contents_dungeon_run_09_10,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_10,False,,XS_140,XS_120,1.0,,guillotine_w_no,vesti_c,,14,angry,guillotine_w_no,12,surprise,,,,,,,
