id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/5/hide_char_id
event_goldencoinrush2_intermission_01_1,40049,event_goldencoinrush2_intermission_01,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_intermission_01_1,True,mustang,9,idle,soda_b,5,serious,alice_b,3,angry,noise,13,idle,aria,15,idle,volume,17,angry,CoinRushMainHall,9,L_90,1.0,event_bgm_goldcoinrush_inst,,,
event_goldencoinrush2_intermission_01_2,40049,event_goldencoinrush2_intermission_01,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_intermission_01_2,True,,9,idle,,5,serious,,3,angry,,13,idle,,15,idle,,17,angry,,L_90,L_90,1.0,,,,
event_goldencoinrush2_intermission_01_3,40049,event_goldencoinrush2_intermission_01,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_intermission_01_3,True,,9,idle,,5,serious,,3,angry,,13,idle,,15,idle,,17,angry,,L_90,L_90,1.0,,,,
event_goldencoinrush2_intermission_01_4,40049,event_goldencoinrush2_intermission_01,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_intermission_01_4,True,,9,idle,,5,serious,,3,angry,,13,idle,,15,idle,,17,angry,,L_90,L_90,1.0,,,,
event_goldencoinrush2_intermission_01_5,40049,event_goldencoinrush2_intermission_01,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_intermission_01_5,True,,9,idle,,5,serious,,3,angry,,13,idle,,15,idle,,17,angry,,L_90,L_90,1.0,,,,
event_goldencoinrush2_intermission_01_6,40049,event_goldencoinrush2_intermission_01,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_intermission_01_6,False,,9,idle,,5,serious,,3,angry,,13,idle,,15,idle,,17,angry,,S_50,S_50,1.0,,,,
event_goldencoinrush2_intermission_01_7,40049,event_goldencoinrush2_intermission_01,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_intermission_01_7,False,,9,idle,,5,serious,,3,angry,,13,idle,,15,idle,,17,angry,,S_170,S_170,1.0,,,,
event_goldencoinrush2_intermission_01_8,40049,event_goldencoinrush2_intermission_01,Self,volume,,Locale_MainScenario:event_goldencoinrush2_intermission_01_8,False,,9,idle,,5,serious,,3,angry,,13,idle,,15,idle,,17,angry,,L_90,L_90,1.0,,,,
event_goldencoinrush2_intermission_01_9,40049,event_goldencoinrush2_intermission_01,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_intermission_01_9,True,,9,delight,,5,serious,,3,angry,,13,idle,,15,idle,,17,angry,,L_90,L_900,0.6,,,,
event_goldencoinrush2_intermission_01_10,40049,event_goldencoinrush2_intermission_01,Speech,audience01,audience01,Locale_MainScenario:event_goldencoinrush2_intermission_01_10,True,,9,delight,,5,serious,,3,worry,,13,idle,,15,idle,,17,delight,,L_900,L_900,1.0,,sfx_scn_crowdcheer,Low_2,
event_goldencoinrush2_intermission_01_11,40049,event_goldencoinrush2_intermission_01,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_intermission_01_11,True,,9,delight,,5,serious,,3,worry,,13,idle,,15,idle,,17,delight,,S_170,S_170,1.0,,,,
event_goldencoinrush2_intermission_01_12,40049,event_goldencoinrush2_intermission_01,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_intermission_01_12,True,,9,delight,,5,serious,,3,worry,,13,idle,,15,idle,,17,delight,,S_170,S_170,1.0,,,,
event_goldencoinrush2_intermission_01_13,40049,event_goldencoinrush2_intermission_01,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_intermission_01_13,True,,9,delight,,5,sad,,3,worry,,13,idle,,15,idle,,17,delight,,4,4,1.0,,,,
event_goldencoinrush2_intermission_01_14,40049,event_goldencoinrush2_intermission_01,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_intermission_01_14,True,,9,delight,,5,sad,,3,worry,,13,idle,,15,idle,,17,delight,,4,4,1.0,,,,
event_goldencoinrush2_intermission_01_15,40049,event_goldencoinrush2_intermission_01,Self,alice_b,,Locale_MainScenario:event_goldencoinrush2_intermission_01_15,False,,9,delight,,5,sad,,3,worry,,13,idle,,15,idle,,17,delight,,4,4,1.0,,,,
event_goldencoinrush2_intermission_01_16,40049,event_goldencoinrush2_intermission_01,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_intermission_01_16,True,,9,delight,,5,surprise,,3,worry,,13,idle,,15,idle,,17,delight,,4,4,1.0,,,,
