id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_overzone2_intermission_01_1,80304,event_overzone2_intermission_01,Speech,manvoice,Locale_MainScenario:event_overzone2_intermission_01_1,False,RuinIndoor,70,70,1.0,bgm_story_signal,,,,,collectrobot,7,idle,,dorothy,3,think,hongryeon,1,idle,,rapunzel,13,sad,,,,,
event_overzone2_intermission_01_2,80304,event_overzone2_intermission_01,Speech,manvoice,Locale_MainScenario:event_overzone2_intermission_01_2,False,,70,70,1.0,,,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_3,80304,event_overzone2_intermission_01,Speech,manvoice,Locale_MainScenario:event_overzone2_intermission_01_3,False,,70,70,1.0,,,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_4,80304,event_overzone2_intermission_01,Speech,dorothy,Locale_MainScenario:event_overzone2_intermission_01_4,True,,30,30,1.0,,dorothy,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_5,80304,event_overzone2_intermission_01,Speech,manvoice,Locale_MainScenario:event_overzone2_intermission_01_5,False,,70,70,1.0,,,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_6,80304,event_overzone2_intermission_01,Speech,manvoice,Locale_MainScenario:event_overzone2_intermission_01_6,False,,70,70,1.0,,,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_7,80304,event_overzone2_intermission_01,Speech,manvoice,Locale_MainScenario:event_overzone2_intermission_01_7,False,,70,70,1.0,,,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_8,80304,event_overzone2_intermission_01,Speech,manvoice,Locale_MainScenario:event_overzone2_intermission_01_8,False,,70,70,1.0,,,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_9,80304,event_overzone2_intermission_01,Speech,dorothy,Locale_MainScenario:event_overzone2_intermission_01_9,True,,30,30,1.0,,dorothy,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_10,80304,event_overzone2_intermission_01,Speech,dorothy,Locale_MainScenario:event_overzone2_intermission_01_10,True,,30,30,1.0,,dorothy,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
event_overzone2_intermission_01_11,80304,event_overzone2_intermission_01,Speech,manvoice,Locale_MainScenario:event_overzone2_intermission_01_11,False,,70,70,1.0,,,,,,,7,idle,,,3,think,,1,idle,,,13,sad,,,,,
