id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_bluewaterisland1_01_e_1,40020,event_bluewaterisland1_01_e,Narration,Narration,Locale_SubScenario:event_bluewaterisland1_01_e_1,False,CityForest_03_d,black,black,1.0,sfx_scn_autodooropen,none,,,,rapi,6,idle,,anis,4,idle,,neon,2,idle,,yan,12,idle,,mary,14,idle,,pepper,16,idle,,,,,,,,
event_bluewaterisland1_01_e_2,40020,event_bluewaterisland1_01_e,Speech,yan,Locale_SubScenario:event_bluewaterisland1_01_e_2,True,,12,12,1.0,,bgm_story_sundayintheark,yan,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
event_bluewaterisland1_01_e_3,40020,event_bluewaterisland1_01_e,Speech,yan,Locale_SubScenario:event_bluewaterisland1_01_e_3,True,,12,12,1.0,,,yan,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
event_bluewaterisland1_01_e_4,40020,event_bluewaterisland1_01_e,Self,Self,Locale_SubScenario:event_bluewaterisland1_01_e_4,False,,12,12,1.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
event_bluewaterisland1_01_e_5,40020,event_bluewaterisland1_01_e,Self,Self,Locale_SubScenario:event_bluewaterisland1_01_e_5,False,,12,12,1.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
event_bluewaterisland1_01_e_6,40020,event_bluewaterisland1_01_e,Speech,yan,Locale_SubScenario:event_bluewaterisland1_01_e_6,True,,12,12,1.0,,,yan,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
event_bluewaterisland1_01_e_7,40020,event_bluewaterisland1_01_e,Speech,yan,Locale_SubScenario:event_bluewaterisland1_01_e_7,True,,12,12,1.0,,,yan,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
event_bluewaterisland1_01_e_8,40020,event_bluewaterisland1_01_e,Speech,yan,Locale_SubScenario:event_bluewaterisland1_01_e_8,True,,12,1,1.0,,,yan,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
event_bluewaterisland1_01_e_9,40020,event_bluewaterisland1_01_e,Speech,neon,Locale_SubScenario:event_bluewaterisland1_01_e_9,False,,1,1,1.0,,,neon,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
event_bluewaterisland1_01_e_10,40020,event_bluewaterisland1_01_e,Speech,neon,Locale_SubScenario:event_bluewaterisland1_01_e_10,True,,1,1,1.0,,,neon,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,
