id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_filter_01,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_absolute2_04_s_1,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_1,False,RuinTechIndoor,black,black,1.0,sfx_scn_explosions,bgm_story_ambush,,,,,,eunhwa_t,1,angry,,emma_t,3,angry,,,,,
event_absolute2_04_s_2,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_2,True,,100,100,1.0,,,eunhwa_t,eunhwa_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_3,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_3,True,,100,10,1.0,,,eunhwa_t,eunhwa_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_4,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_4,True,,10,31,1.0,,,emma_t,emma_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_5,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_5,True,,31,31,1.0,,,eunhwa_t,eunhwa_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_6,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_6,True,,31,31,1.0,,,emma_t,emma_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_7,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_7,True,,31,31,1.0,,,emma_t,emma_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_8,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_8,True,,31,31,1.0,,,emma_t,emma_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_9,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_9,True,,31,31,1.0,,,eunhwa_t,eunhwa_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_10,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_10,True,,31,31,1.0,,,eunhwa_t,eunhwa_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_11,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_11,True,,31,31,1.0,,,eunhwa_t,eunhwa_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_12,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_12,True,,31,31,1.0,,,emma_t,emma_t,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_13,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_13,False,,31,31,1.0,,,emma_t,,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_14,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_14,False,,31,31,1.0,,,emma_t,,,,,,1,angry,,,3,angry,,,,,
event_absolute2_04_s_15,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_15,False,none,black,black,1.0,,,,,Vignetting,,,,1,angry,eunhwa_t,,3,angry,emma_t,vesti_t,13,rage,
event_absolute2_04_s_16,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_16,False,,black,black,1.0,,,,,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_17,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_17,False,,black,black,1.0,sfx_scn_explosions,,vesti_t,,Vignetting,Low_2,,,,,,,,,,,13,rage,
event_absolute2_04_s_18,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_18,False,,XS_1300,XS_130,1.5,,,vesti_t,,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_19,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_19,False,,XS_130,XS_130,1.0,,,vesti_t,,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_20,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_20,True,,XS_130,XS_130,1.0,,,vesti_t,vesti_t,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_21,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_21,True,,XS_130,XS_130,1.0,,,vesti_t,vesti_t,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_22,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_22,True,,XS_130,XS_1300,0.5,,,vesti_t,vesti_t,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_23,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_23,False,,XS_1300,XS_1300,1.0,sfx_scn_explosions,,vesti_t,,Vignetting,Low_2,,,,,,,,,,,13,rage,
event_absolute2_04_s_24,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_24,False,,XS_1300,XS_1300,1.0,sfx_scn_explosionhuge,,vesti_t,,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_25,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_25,False,,XS_1300,XS_1300,1.0,sfx_scn_firemissiles,,vesti_t,,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_26,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_26,False,,black,black,1.0,,,vesti_t,,Vignetting,,,,,,,,,,,,13,rage,
event_absolute2_04_s_27,40086,event_absolute2_04_s,Narration,Locale_MainScenario:event_absolute2_04_s_27,False,,black,black,1.0,,,vesti_t,,,,,eunhwa_t,1,idle,,,,,,,13,rage,
event_absolute2_04_s_28,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_28,True,EventScene_absolute_02_2,black,black,1.0,,,eunhwa_t,eunhwa_t,,,,,1,idle,,,,,,,13,rage,
event_absolute2_04_s_29,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_29,True,,absolute_17,absolute_17,1.0,,,emma_t,emma_t,Grey,,black,,1,idle,eunhwa_t,,,,,,13,rage,vesti_t
event_absolute2_04_s_30,40086,event_absolute2_04_s,Speech,Locale_MainScenario:event_absolute2_04_s_30,True,,absolute_17,1,1.0,,,emma_t,emma_t,Grey,,,,,,,,,,,,,,
