id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_goldencoinrush1_05_s_1,40048,event_goldencoinrush1_05_s,Narration,Locale_MainScenario:event_goldencoinrush1_05_s_1,False,Hotel,5,1,1.0,bgm_story_backtonormal,Vignetting,Blur_Middle,,,,,,,,
event_goldencoinrush1_05_s_2,40048,event_goldencoinrush1_05_s,Monologue,Locale_MainScenario:event_goldencoinrush1_05_s_2,False,,1,1,1.0,,Vignetting,Blur_Middle,,,,,,,,
event_goldencoinrush1_05_s_3,40048,event_goldencoinrush1_05_s,Monologue,Locale_MainScenario:event_goldencoinrush1_05_s_3,False,,1,1,1.0,,Vignetting,Blur_Middle,,,,,,,,
event_goldencoinrush1_05_s_4,40048,event_goldencoinrush1_05_s,Self,Locale_MainScenario:event_goldencoinrush1_05_s_4,False,,1,1,1.0,,Vignetting,Blur_Middle,,,,,,,,
event_goldencoinrush1_05_s_5,40048,event_goldencoinrush1_05_s,Monologue,Locale_MainScenario:event_goldencoinrush1_05_s_5,False,,1,1,1.0,,Vignetting,,,,,,,,,
event_goldencoinrush1_05_s_6,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_6,True,,1,XS_100,1.0,,,,alice_b,alice_b,alice_b,1,delight,,,
event_goldencoinrush1_05_s_7,40048,event_goldencoinrush1_05_s,Self,Locale_MainScenario:event_goldencoinrush1_05_s_7,False,,XS_100,XS_100,1.0,,,,alice_b,,,1,delight,,,
event_goldencoinrush1_05_s_8,40048,event_goldencoinrush1_05_s,Monologue,Locale_MainScenario:event_goldencoinrush1_05_s_8,False,,XS_100,XS_100,1.0,,,,alice_b,,,1,delight,,,
event_goldencoinrush1_05_s_9,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_9,True,,XS_100,XS_10,1.0,,,,alice_b,alice_b,,1,idle,,,
event_goldencoinrush1_05_s_10,40048,event_goldencoinrush1_05_s,Self,Locale_MainScenario:event_goldencoinrush1_05_s_10,False,,XS_10,XS_10,1.0,,,,alice_b,,,1,idle,,,
event_goldencoinrush1_05_s_11,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_11,True,,XS_10,XS_10,1.0,,,,alice_b,alice_b,,1,idle,,,
event_goldencoinrush1_05_s_12,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_12,True,,XS_10,2,1.0,,,,soda_b,soda_b,,1,idle,soda_b,3,idle
event_goldencoinrush1_05_s_13,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_13,True,,2,2,1.0,,,,soda_b,soda_b,,1,idle,,3,idle
event_goldencoinrush1_05_s_14,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_14,True,,2,2,1.0,,,,alice_b,alice_b,,1,delight,,3,idle
event_goldencoinrush1_05_s_15,40048,event_goldencoinrush1_05_s,Self,Locale_MainScenario:event_goldencoinrush1_05_s_15,False,,2,2,1.0,,,,soda_b,,,1,delight,,3,idle
event_goldencoinrush1_05_s_16,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_16,True,,2,2,1.0,,,,soda_b,soda_b,,1,delight,,3,delight
event_goldencoinrush1_05_s_17,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_17,True,,2,2,1.0,,,,soda_b,soda_b,,1,delight,,3,delight
event_goldencoinrush1_05_s_18,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_18,True,,2,2,1.0,,,,alice_b,alice_b,,1,surprise,,3,delight
event_goldencoinrush1_05_s_19,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_19,True,,2,S_30,1.0,,,,soda_b,soda_b,,1,surprise,,3,idle
event_goldencoinrush1_05_s_20,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_20,True,,S_30,S_30,1.0,,,,soda_b,soda_b,,1,surprise,,3,idle
event_goldencoinrush1_05_s_21,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_21,True,,S_30,XS_10,1.0,,,,alice_b,alice_b,,1,shy,,3,idle
event_goldencoinrush1_05_s_22,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_22,True,,XS_10,XS_10,1.0,,,,alice_b,alice_b,,1,delight,,3,idle
event_goldencoinrush1_05_s_23,40048,event_goldencoinrush1_05_s,Self,Locale_MainScenario:event_goldencoinrush1_05_s_23,False,,XS_10,2,1.0,,,,alice_b,,,1,delight,,3,idle
event_goldencoinrush1_05_s_24,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_24,True,,2,2,1.0,,,,soda_b,soda_b,,1,delight,,3,delight
event_goldencoinrush1_05_s_25,40048,event_goldencoinrush1_05_s,Speech,Locale_MainScenario:event_goldencoinrush1_05_s_25,True,,2,2,1.0,,,,alice_b,alice_b,,1,delight,,3,delight
