id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_miraclesnow1_06_s_1,40003,event_miraclesnow1_06_s,Narration,Locale_SubScenario:event_miraclesnow1_06_s_1,False,Park,black,black,1.0,bgm_story_inwonderland,,,,rupee_w,1,sad,,,,,,,
event_miraclesnow1_06_s_2,40003,event_miraclesnow1_06_s,Speech,Locale_SubScenario:event_miraclesnow1_06_s_2,False,,1,1,1.0,,rupee_w,rupee,,,1,sad,,,,,,,
event_miraclesnow1_06_s_3,40003,event_miraclesnow1_06_s,Speech,Locale_SubScenario:event_miraclesnow1_06_s_3,True,,1,1,1.0,,rupee_w,rupee,,,1,sad,,,,,,,
event_miraclesnow1_06_s_4,40003,event_miraclesnow1_06_s,Self,Locale_SubScenario:event_miraclesnow1_06_s_4,False,,1,1,1.0,,,,,,1,sad,,,,,,,
event_miraclesnow1_06_s_5,40003,event_miraclesnow1_06_s,Speech,Locale_SubScenario:event_miraclesnow1_06_s_5,True,,1,L_10,1.0,,rupee_w,rupee,,,1,sad,,,,,,,
event_miraclesnow1_06_s_6,40003,event_miraclesnow1_06_s,Speech,Locale_SubScenario:event_miraclesnow1_06_s_6,True,,L_10,L_10,1.0,,rupee_w,rupee,,,1,sad,,,,,,,
event_miraclesnow1_06_s_7,40003,event_miraclesnow1_06_s,Speech,Locale_SubScenario:event_miraclesnow1_06_s_7,True,,L_10,XS_30,1.0,,anne,anne,,,1,sad,anne,3,sad,,,,
event_miraclesnow1_06_s_8,40003,event_miraclesnow1_06_s,Speech,Locale_SubScenario:event_miraclesnow1_06_s_8,True,,XS_30,XS_30,1.0,,anne,anne,,,1,sad,,3,sad,,,,
event_miraclesnow1_06_s_9,40003,event_miraclesnow1_06_s,Speech,Locale_SubScenario:event_miraclesnow1_06_s_9,False,,XS_30,31,1.0,,rupee_w,rupee,,,1,surprise,,3,sad,,,,
event_miraclesnow1_06_s_10,40003,event_miraclesnow1_06_s,Speech,Locale_SubScenario:event_miraclesnow1_06_s_10,True,,31,31,1.0,,anne,anne,,,1,surprise,,3,surprise,,,,
