id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_bowwowparadise_06_e_1,40010,event_bowwowparadise_06_e,Narration,Locale_SubScenario:event_bowwowparadise_06_e_1,False,OutpostOut,black,black,1.0,none,,,,,,puppies,5,idle,,max,3,idle,,biscuit,1,idle,,liter,13,idle,
event_bowwowparadise_06_e_2,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_2,True,,13,XS_130,1.0,bgm_story_inwonderland,liter,liter,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_3,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_3,True,,XS_130,XS_130,1.0,,liter,liter,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_4,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_4,True,,XS_130,XS_130,1.0,,liter,liter,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_5,40010,event_bowwowparadise_06_e,Self,Locale_SubScenario:event_bowwowparadise_06_e_5,False,,XS_130,XS_130,1.0,,liter,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_6,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_6,True,,XS_130,12,1.0,,biscuit,biscuit,,,,,5,idle,,,3,idle,,,1,delight,,,13,idle,
event_bowwowparadise_06_e_7,40010,event_bowwowparadise_06_e,Monologue,Locale_SubScenario:event_bowwowparadise_06_e_7,False,,12,12,1.0,,biscuit,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_8,40010,event_bowwowparadise_06_e,Monologue,Locale_SubScenario:event_bowwowparadise_06_e_8,False,,12,12,1.0,,biscuit,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_9,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_9,False,,4,4,1.0,,max,max,sfx_scn_howl,,,,5,delight,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_10,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_10,False,,4,4,1.0,,puppies,puppies,sfx_scn_dogbark,,,,5,delight,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_11,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_11,True,,XS_130,XS_130,1.0,,liter,liter,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_12,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_12,False,,max_30,max_30,1.0,,max,max,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_13,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_13,False,,max_30,XS_50,2.0,,puppies,puppies,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_14,40010,event_bowwowparadise_06_e,Narration,Locale_SubScenario:event_bowwowparadise_06_e_14,False,,XS_50,XS_50,1.0,,puppies,,sfx_scn_dogrun,Low_2,,,5,delight,puppies,,3,idle,max,,1,idle,,,13,idle,
event_bowwowparadise_06_e_15,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_15,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,,,,,,,,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_16,40010,event_bowwowparadise_06_e,Monologue,Locale_SubScenario:event_bowwowparadise_06_e_16,False,,black,black,1.0,,biscuit,,,,,,,,,,,,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_17,40010,event_bowwowparadise_06_e,Monologue,Locale_SubScenario:event_bowwowparadise_06_e_17,False,,black,black,1.0,,biscuit,,,,,,,,,,,,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_18,40010,event_bowwowparadise_06_e,Speech,Locale_SubScenario:event_bowwowparadise_06_e_18,True,,12,12,1.0,,liter,liter,,,,,,,,,,,,,1,idle,,,13,idle,
event_bowwowparadise_06_e_19,40010,event_bowwowparadise_06_e,Self,Locale_SubScenario:event_bowwowparadise_06_e_19,False,,12,12,1.0,,liter,,,,,,,,,,,,,,1,idle,,,13,idle,
