id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_oldtales1_06_s_1,40061,event_oldtales1_06_s,Speech,CGsignaller,CGsignaller,Locale_MainScenario:event_oldtales1_06_s_1,True,Desert_02,1,1,1.0,ambient_scn_war,event_bgm_oldtales_apathwithbrokenheels,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_2,40061,event_oldtales1_06_s,Speech,CGsignaller,CGsignaller,Locale_MainScenario:event_oldtales1_06_s_2,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_3,40061,event_oldtales1_06_s,Speech,CGsignaller,CGsignaller,Locale_MainScenario:event_oldtales1_06_s_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_4,40061,event_oldtales1_06_s,Speech,CGsignaller,CGsignaller,Locale_MainScenario:event_oldtales1_06_s_4,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_5,40061,event_oldtales1_06_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_oldtales1_06_s_5,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_6,40061,event_oldtales1_06_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_oldtales1_06_s_6,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_7,40061,event_oldtales1_06_s,Speech,CGsignaller,CGsignaller,Locale_MainScenario:event_oldtales1_06_s_7,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_8,40061,event_oldtales1_06_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_oldtales1_06_s_8,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_9,40061,event_oldtales1_06_s,Speech,CGsignaller,CGsignaller,Locale_MainScenario:event_oldtales1_06_s_9,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_06_s_10,40061,event_oldtales1_06_s,Speech,CGsignaller,CGsignaller,Locale_MainScenario:event_oldtales1_06_s_10,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
