id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/1/hide_char_id,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/5/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_goldencoinrush2_b02_e_1,40049,event_goldencoinrush2_b02_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_1,True,CoinRushMainHall,black,black,1.0,bgm_story_lastbullet,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_2,40049,event_goldencoinrush2_b02_e,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b02_e_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_3,40049,event_goldencoinrush2_b02_e,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b02_e_3,False,,black,black,1.0,,alice_b,1,worry,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_4,40049,event_goldencoinrush2_b02_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_b02_e_4,False,,XS_10,XS_10,1.0,,,1,worry,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_5,40049,event_goldencoinrush2_b02_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_b02_e_5,True,,XS_10,XS_10,1.0,,,1,worry,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_6,40049,event_goldencoinrush2_b02_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_b02_e_6,True,,XS_10,XS_10,1.0,,,1,worry,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_7,40049,event_goldencoinrush2_b02_e,Self,,,Locale_MainScenario:event_goldencoinrush2_b02_e_7,False,,XS_10,XS_10,1.0,,,1,worry,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_8,40049,event_goldencoinrush2_b02_e,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b02_e_8,False,,black,black,1.0,,,1,worry,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_9,40049,event_goldencoinrush2_b02_e,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b02_e_9,False,,black,black,1.0,,,1,worry,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_10,40049,event_goldencoinrush2_b02_e,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b02_e_10,False,,black,black,1.0,,,1,worry,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_11,40049,event_goldencoinrush2_b02_e,Narration,,,Locale_MainScenario:event_goldencoinrush2_b02_e_11,False,,black,black,1.0,none,,1,worry,mustang,8,idle,sfx_scn_gameover,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_12,40049,event_goldencoinrush2_b02_e,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_e_12,True,,L_80,L_80,1.0,,,1,worry,,8,idle,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_13,40049,event_goldencoinrush2_b02_e,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_e_13,True,,L_80,L_80,1.0,,,1,worry,,8,idle,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_14,40049,event_goldencoinrush2_b02_e,Narration,,,Locale_MainScenario:event_goldencoinrush2_b02_e_14,False,,black,black,1.0,,,1,worry,,15,idle,sfx_scn_stagedown,mustang,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_15,40049,event_goldencoinrush2_b02_e,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b02_e_15,False,EventScene_GoldenCoinRush_04,black,black,1.0,,,1,worry,,,,,,alice_b,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_16,40049,event_goldencoinrush2_b02_e,Narration,,,Locale_MainScenario:event_goldencoinrush2_b02_e_16,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,sfx_scn_down,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_17,40049,event_goldencoinrush2_b02_e,Self,,,Locale_MainScenario:event_goldencoinrush2_b02_e_17,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_18,40049,event_goldencoinrush2_b02_e,Speech,,alice_b,Locale_MainScenario:event_goldencoinrush2_b02_e_18,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_19,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_19,False,,ce_003_03_01,ce_003_03_01,1.0,bgm_story_shapeofhope,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_20,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_20,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_21,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_21,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_22,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_22,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_23,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_23,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_24,40049,event_goldencoinrush2_b02_e,Speech,,alice_b,Locale_MainScenario:event_goldencoinrush2_b02_e_24,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_25,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_25,False,,ce_003_03_01,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_26,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_26,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_27,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_27,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_28,40049,event_goldencoinrush2_b02_e,Self,,,Locale_MainScenario:event_goldencoinrush2_b02_e_28,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_29,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_29,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_30,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_30,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_31,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_31,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_32,40049,event_goldencoinrush2_b02_e,Speech,,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_32,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_33,40049,event_goldencoinrush2_b02_e,Self,,,Locale_MainScenario:event_goldencoinrush2_b02_e_33,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_34,40049,event_goldencoinrush2_b02_e,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b02_e_34,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_35,40049,event_goldencoinrush2_b02_e,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b02_e_35,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_36,40049,event_goldencoinrush2_b02_e,Self,,,Locale_MainScenario:event_goldencoinrush2_b02_e_36,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_37,40049,event_goldencoinrush2_b02_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_37,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_38,40049,event_goldencoinrush2_b02_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b02_e_38,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_39,40049,event_goldencoinrush2_b02_e,Self,,,Locale_MainScenario:event_goldencoinrush2_b02_e_39,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_e_40,40049,event_goldencoinrush2_b02_e,Narration,,,Locale_MainScenario:event_goldencoinrush2_b02_e_40,False,CoinRushMainHall,black,black,1.0,,alice_b,6,worry,volume,1,angry,sfx_scn_gameover,,,noise,13,idle,aria,15,idle,soda_b,8,idle,mustang,17,idle,black,,,
event_goldencoinrush2_b02_e_41,40049,event_goldencoinrush2_b02_e,Speech,volume,mustang,Locale_MainScenario:event_goldencoinrush2_b02_e_41,False,,17,L_170,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,17,idle,,,,
event_goldencoinrush2_b02_e_42,40049,event_goldencoinrush2_b02_e,Speech,volume,mustang,Locale_MainScenario:event_goldencoinrush2_b02_e_42,False,,L_170,L_170,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,17,idle,,,,
event_goldencoinrush2_b02_e_43,40049,event_goldencoinrush2_b02_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_e_43,True,,S_10,S_10,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,17,idle,,mustang,,
event_goldencoinrush2_b02_e_44,40049,event_goldencoinrush2_b02_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_e_44,True,,S_10,S_10,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_45,40049,event_goldencoinrush2_b02_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_e_45,True,,S_10,S_10,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_46,40049,event_goldencoinrush2_b02_e,Speech,noise,noise,Locale_MainScenario:event_goldencoinrush2_b02_e_46,True,,S_10,12,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_47,40049,event_goldencoinrush2_b02_e,Speech,noise,noise,Locale_MainScenario:event_goldencoinrush2_b02_e_47,True,,12,12,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_48,40049,event_goldencoinrush2_b02_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_e_48,True,,12,12,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_49,40049,event_goldencoinrush2_b02_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_e_49,True,,12,12,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_50,40049,event_goldencoinrush2_b02_e,Speech,aria,aria,Locale_MainScenario:event_goldencoinrush2_b02_e_50,True,,12,150,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,think,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_51,40049,event_goldencoinrush2_b02_e,Speech,aria,aria,Locale_MainScenario:event_goldencoinrush2_b02_e_51,True,,150,150,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,think,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_52,40049,event_goldencoinrush2_b02_e,Speech,aria,aria,Locale_MainScenario:event_goldencoinrush2_b02_e_52,True,,150,150,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,think,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_53,40049,event_goldencoinrush2_b02_e,Speech,aria,aria,Locale_MainScenario:event_goldencoinrush2_b02_e_53,True,,150,150,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,think,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_54,40049,event_goldencoinrush2_b02_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_e_54,True,,150,S_10,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,think,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_55,40049,event_goldencoinrush2_b02_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_e_55,True,,S_10,S_10,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,think,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_56,40049,event_goldencoinrush2_b02_e,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_e_56,True,,S_10,S_10,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,think,,8,idle,,,,,,,
event_goldencoinrush2_b02_e_57,40049,event_goldencoinrush2_b02_e,Speech,aria,aria,Locale_MainScenario:event_goldencoinrush2_b02_e_57,True,,S_10,14,1.0,,,6,worry,,1,angry,,,,,13,idle,,15,idle,,8,idle,,,,,,,
