id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,is_exit_scenario,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
snowfall_episode_blanc_05_1,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_1,True,blanc_c,1,think,Trail_d,1,1,1.0,event_bgm_neverland_snowflakes_day,,,,,,
snowfall_episode_blanc_05_2,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_2,True,,1,think,,1,1,1.0,,,,,,,
snowfall_episode_blanc_05_3,80903,snowfall_episode_blanc_05,Monologue,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_3,False,,1,think,,1,1,1.0,,,,,,,
snowfall_episode_blanc_05_4,80903,snowfall_episode_blanc_05,Choice,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_4,False,,1,think,,1,1,1.0,,snowfall_episode_blanc_05_8,,,,,
snowfall_episode_blanc_05_5,80903,snowfall_episode_blanc_05,Choice,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_5,False,,1,think,,1,1,1.0,,snowfall_episode_blanc_05_6,,,,,
snowfall_episode_blanc_05_6,80903,snowfall_episode_blanc_05,Monologue,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_6,False,,1,think,,1,1,1.0,,,,,,,
snowfall_episode_blanc_05_7,80903,snowfall_episode_blanc_05,Monologue,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_7,False,,1,think,,black,black,1.0,,,True,,,,
snowfall_episode_blanc_05_8,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_8,True,,1,idle,,1,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_9,80903,snowfall_episode_blanc_05,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_9,False,,1,idle,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_10,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_10,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_11,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_11,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_12,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_12,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_13,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_13,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_14,80903,snowfall_episode_blanc_05,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_14,False,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_15,80903,snowfall_episode_blanc_05,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_15,False,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_16,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_16,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_17,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_17,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_18,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_18,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_19,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_19,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_20,80903,snowfall_episode_blanc_05,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_20,False,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_21,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_21,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_22,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_22,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_23,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_23,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_24,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_24,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_25,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_25,True,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_26,80903,snowfall_episode_blanc_05,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_26,False,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_27,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_27,False,,1,think,,L_10,L_10,1.0,,,,,,,
snowfall_episode_blanc_05_28,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_28,True,,1,think,,L_10,1,1.0,,,,,,,
snowfall_episode_blanc_05_29,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_29,True,,1,think,,1,1,1.0,,,,,,,
snowfall_episode_blanc_05_30,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_30,True,,1,think,,1,1,1.0,,,,,,,
snowfall_episode_blanc_05_31,80903,snowfall_episode_blanc_05,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_31,False,,1,think,,1,1,1.0,,,,,,,
snowfall_episode_blanc_05_32,80903,snowfall_episode_blanc_05,Monologue,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_32,False,,1,think,WaterFall_d,1,1,1.0,event_bgm_neverland_snowflakes_day,,,black,,,
snowfall_episode_blanc_05_33,80903,snowfall_episode_blanc_05,Monologue,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_05_33,False,,1,think,,1,1,1.0,,,,,,,
snowfall_episode_blanc_05_34,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_34,True,,1,idle,,1,1,1.0,,,,,lumi_01,16,idle
snowfall_episode_blanc_05_35,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_35,True,,1,idle,,1,16,1.0,,,,,,16,idle
snowfall_episode_blanc_05_36,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_36,True,,1,idle,,16,16,1.0,,,,,,16,idle
snowfall_episode_blanc_05_37,80903,snowfall_episode_blanc_05,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_blanc_05_37,False,,1,idle,,16,16,1.0,,,,,,16,idle
snowfall_episode_blanc_05_38,80903,snowfall_episode_blanc_05,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_blanc_05_38,True,,1,idle,,16,16,1.0,,,,,,16,idle
snowfall_episode_blanc_05_39,80903,snowfall_episode_blanc_05,Monologue,,,Locale_SubScenario:snowfall_episode_blanc_05_39,False,,1,idle,,16,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_40,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_40,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_41,80903,snowfall_episode_blanc_05,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_blanc_05_41,False,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_42,80903,snowfall_episode_blanc_05,Monologue,,,Locale_SubScenario:snowfall_episode_blanc_05_42,False,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_43,80903,snowfall_episode_blanc_05,Monologue,,,Locale_SubScenario:snowfall_episode_blanc_05_43,False,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_44,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_44,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_45,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_45,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_46,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_46,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_47,80903,snowfall_episode_blanc_05,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_blanc_05_47,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_48,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_48,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_49,80903,snowfall_episode_blanc_05,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_blanc_05_49,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_50,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_50,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_51,80903,snowfall_episode_blanc_05,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_blanc_05_51,True,,1,idle,,12,12,1.0,,,,,,13,idle
snowfall_episode_blanc_05_52,80903,snowfall_episode_blanc_05,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_05_52,True,,1,delight,,12,12,1.0,,,,,,13,idle
