id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/hide_char_id,set_camera_shake,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_02,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_unbreakablesphere2_intermission_01_1,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_1,False,littlemermaid,1,surprise,TreeOfWater_r,L_100,L_10,1.0,event_bgm_ubsphere_blackspace,,,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_2,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_2,True,,1,surprise,,L_10,L_10,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_3,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_3,True,,1,surprise,,L_10,L_10,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_4,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_4,True,,1,idle,,L_10,L_10,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_5,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_5,True,,1,idle,,L_10,L_10,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_6,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_6,False,,1,idle,,black,black,1.0,,littlemermaid,,sfx_scn_corrosion,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_7,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_7,False,,1,idle,,black,black,1.0,,littlemermaid,,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_8,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_8,False,,1,idle,,black,black,1.0,,littlemermaid,,sfx_scn_mudbubble,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_9,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_9,False,,1,idle,,black,black,1.0,,littlemermaid,,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_10,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_10,False,,1,idle,,black,black,1.0,,littlemermaid,,sfx_scn_mutateimpact_2,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_11,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_11,False,,1,angry,EventScene_unbreakablesphere_06,black,black,1.0,,littlemermaid,,,littlemermaid,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_12,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_12,True,,,,,black,black,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_13,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_13,False,,,,,L_10,L_100,1.0,,littlemermaid,,sfx_scn_bonescrew,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_14,40076,event_unbreakablesphere2_intermission_01,Narration,Locale_MainScenario:event_unbreakablesphere2_intermission_01_14,False,,,,,L_100,L_100,1.0,,littlemermaid,,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_15,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_15,True,,,,,L_100,L_100,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_16,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_16,True,,,,,L_100,L_100,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_17,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_17,True,,,,,L_100,L_100,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_intermission_01_18,40076,event_unbreakablesphere2_intermission_01,Speech,Locale_MainScenario:event_unbreakablesphere2_intermission_01_18,True,,,,,L_100,1,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,,,,,,,,
