id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim
event_ce006_2_05_e_1,40080,event_ce006_2_05_e,Monologue,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_1,False,bunkerofartist,black,black,1.0,none,,,,ce006_npc_01,1,idle,,ce006_01,3,no,,hermin,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_2,40080,event_ce006_2_05_e,Monologue,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_2,False,,black,black,1.0,,,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_3,40080,event_ce006_2_05_e,Monologue,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_3,False,,black,black,1.0,,,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_4,40080,event_ce006_2_05_e,Monologue,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_4,False,,black,black,1.0,,,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_5,40080,event_ce006_2_05_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_5,True,MemorialHall,2,2,1.0,collab_bgm_sb_field_floodedcs_inst,ce006_npc_01,black,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_6,40080,event_ce006_2_05_e,Speech,ce006_01,Locale_MainScenario:event_ce006_2_05_e_6,True,,2,2,1.0,,ce006_01,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_7,40080,event_ce006_2_05_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_7,True,,2,2,1.0,,ce006_npc_01,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_8,40080,event_ce006_2_05_e,Speech,ce006_01,Locale_MainScenario:event_ce006_2_05_e_8,True,,2,2,1.0,,ce006_01,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_9,40080,event_ce006_2_05_e,Speech,hermin,Locale_MainScenario:event_ce006_2_05_e_9,True,,XS_130,XS_130,1.3,,hermin,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_10,40080,event_ce006_2_05_e,Speech,ce006_01,Locale_MainScenario:event_ce006_2_05_e_10,True,,2,2,1.0,,ce006_01,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_11,40080,event_ce006_2_05_e,Speech,ce006_01,Locale_MainScenario:event_ce006_2_05_e_11,False,,2,2,1.0,,hermin,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_12,40080,event_ce006_2_05_e,Speech,ce006_01,Locale_MainScenario:event_ce006_2_05_e_12,True,,2,2,1.0,,ce006_01,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_13,40080,event_ce006_2_05_e,Speech,hermin,Locale_MainScenario:event_ce006_2_05_e_13,True,,2,12,1.3,,hermin,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_14,40080,event_ce006_2_05_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_14,True,,12,12,1.0,,ce006_npc_01,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_15,40080,event_ce006_2_05_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_15,True,,12,12,1.0,,ce006_npc_01,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_16,40080,event_ce006_2_05_e,Speech,hermin,Locale_MainScenario:event_ce006_2_05_e_16,True,,12,12,1.0,,hermin,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_17,40080,event_ce006_2_05_e,Speech,hermin,Locale_MainScenario:event_ce006_2_05_e_17,True,,12,12,1.0,,hermin,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_18,40080,event_ce006_2_05_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_2_05_e_18,True,,12,12,1.0,,ce006_npc_01,,,,1,idle,,,3,no,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_05_e_19,40080,event_ce006_2_05_e,Speech,ce006_01,Locale_MainScenario:event_ce006_2_05_e_19,True,,30,30,1.0,,ce006_01,,,,1,idle,,,3,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,
