id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_lifeagain_04_e_1,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_1,True,SimulationRoom,4,4,1.0,none,,,folkwang,9,idle,,,,,rumani,5,idle,nadia,3,sad,
event_lifeagain_04_e_2,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_2,True,,4,4,1.0,bgm_frostpillar,,,,9,idle,,,,,,5,idle,,3,sad,
event_lifeagain_04_e_3,40060,event_lifeagain_04_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_04_e_3,True,,4,4,1.0,,,,,9,idle,,,,,,5,idle,,3,sad,
event_lifeagain_04_e_4,40060,event_lifeagain_04_e,Speech,folkwang,folkwang,Locale_SubScenario:event_lifeagain_04_e_4,True,,90,90,1.0,,,,,9,idle,,,,,,5,idle,,3,sad,
event_lifeagain_04_e_5,40060,event_lifeagain_04_e,Self,folkwang,Self,Locale_SubScenario:event_lifeagain_04_e_5,False,,4,4,1.0,,,,,9,idle,,,,,,5,idle,,3,sad,
event_lifeagain_04_e_6,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_6,True,,4,4,1.0,,,,,9,idle,,,,,,5,idle,,3,sad,
event_lifeagain_04_e_7,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_7,True,,4,4,1.0,,,,,9,idle,,,,,,5,idle,,3,sad,
event_lifeagain_04_e_8,40060,event_lifeagain_04_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_04_e_8,False,,4,4,1.0,,,,,9,idle,,,,,,5,idle,,3,sad,
event_lifeagain_04_e_9,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_9,True,,4,4,1.0,,,,,9,idle,,,,,,5,think,,3,sad,
event_lifeagain_04_e_10,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_10,True,,4,4,1.0,,,,,9,idle,,,,,,5,worry,,3,sad,
event_lifeagain_04_e_11,40060,event_lifeagain_04_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_04_e_11,True,,4,4,1.0,,,,,9,idle,,,,,,5,worry,,3,angry,
event_lifeagain_04_e_12,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_12,True,,4,L_50,1.0,,,,,9,idle,,,,,,5,think,,3,angry,
event_lifeagain_04_e_13,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_13,True,,L_50,L_50,1.0,,,,,9,idle,,,,,,5,think,,3,angry,
event_lifeagain_04_e_14,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_14,True,,L_50,L_50,1.0,,,,,9,idle,,,,,,5,worry,,3,angry,
event_lifeagain_04_e_15,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_15,True,,L_50,L_50,1.0,,,,,9,idle,,,,,,5,worry,,3,angry,
event_lifeagain_04_e_16,40060,event_lifeagain_04_e,Speech,folkwang,folkwang,Locale_SubScenario:event_lifeagain_04_e_16,True,,90,90,1.0,,,,,9,surprise,,,,,,5,worry,,3,angry,
event_lifeagain_04_e_17,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_17,True,,L_50,L_50,1.0,,,,,9,surprise,,,,,,5,think,,3,angry,
event_lifeagain_04_e_18,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_18,True,,L_50,L_50,1.0,,,,,9,surprise,,,,,,5,think,,3,angry,
event_lifeagain_04_e_19,40060,event_lifeagain_04_e,Speech,folkwang,folkwang,Locale_SubScenario:event_lifeagain_04_e_19,True,,90,90,1.0,,,,,9,surprise,,,,,,5,think,,3,angry,
event_lifeagain_04_e_20,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_20,True,,L_50,L_50,1.0,,,,,9,surprise,,,,,,5,worry,,3,angry,
event_lifeagain_04_e_21,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_21,True,,L_50,L_50,1.0,,,,,9,surprise,,,,,,5,worry,,3,angry,
event_lifeagain_04_e_22,40060,event_lifeagain_04_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_04_e_22,True,,L_50,4,1.0,,,,,9,surprise,,,,,,5,think,,3,angry,
event_lifeagain_04_e_23,40060,event_lifeagain_04_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_04_e_23,True,,4,4,1.0,,,,,9,surprise,,,,,,5,think,,3,angry,
event_lifeagain_04_e_24,40060,event_lifeagain_04_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_04_e_24,True,,4,4,1.0,,,,,9,surprise,,,,,,5,think,,3,angry,
