id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,play_sound,set_camera_shake,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,fade,characters/7/hide_char_id
event_ce_01_05_1,40008,event_ce_01_05,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_05_1,True,neon,7,idle,rapi,5,idle,anis,3,void,c_2,1,sad,c_3,13,idle,c_npc_1,15,idle,c_npc_2,17,idle,GateKeeper,4,4,1.0,bgm_story_prism,,,,,,,,,,,,,,
event_ce_01_05_2,40008,event_ce_01_05,Speech,anis,anis,Locale_SubScenario:event_ce_01_05_2,True,,7,idle,,5,idle,,3,worry,,1,sad,,13,idle,,15,idle,,17,idle,,4,4,1.0,,,,,,,,,,,,,,,
event_ce_01_05_3,40008,event_ce_01_05,Speech,neon,neon,Locale_SubScenario:event_ce_01_05_3,True,,7,idle,,5,idle,,3,worry,,1,sad,,13,idle,,15,idle,,17,idle,,4,6,1.0,,,,,,,,,,,,,,,
event_ce_01_05_4,40008,event_ce_01_05,Monologue,,Monologue,Locale_SubScenario:event_ce_01_05_4,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,1,6001,2.0,,neon,rapi,anis,c_2,c_3,c_npc_1,c_npc_2,,,,,,,
event_ce_01_05_5,40008,event_ce_01_05,Monologue,,Monologue,Locale_SubScenario:event_ce_01_05_5,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,6001,6001,1.0,,,,,,,,,,,,,,,
event_ce_01_05_6,40008,event_ce_01_05,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_05_6,True,neon,7,idle,rapi,5,think,anis,3,void,c_2,1,sad,c_3,13,idle,c_npc_1,15,idle,c_npc_2,17,idle,,6001,5,2.0,,,,,,,,,,,,,,,
event_ce_01_05_7,40008,event_ce_01_05,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_05_7,True,,7,idle,,5,think,,3,void,,1,sad,,13,idle,,15,idle,,17,surprise,,5,5,1.0,,,,,,,,,,,,,,,
event_ce_01_05_8,40008,event_ce_01_05,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_05_8,True,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,surprise,,5,50,2.0,,,,,,,,,,,,,,,
event_ce_01_05_9,40008,event_ce_01_05,Self,,Self,Locale_SubScenario:event_ce_01_05_9,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,,,,,,,,,,,,
event_ce_01_05_10,40008,event_ce_01_05,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_05_10,True,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,,,,,,,,,,,,
event_ce_01_05_11,40008,event_ce_01_05,Narration,,Narration,Locale_SubScenario:event_ce_01_05_11,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,black,black,1.0,,,,,,,,,sfx_scn_gunfire,,,,,,
event_ce_01_05_12,40008,event_ce_01_05,Monologue,,Monologue,Locale_SubScenario:event_ce_01_05_12,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,,,,,,,,,,,,
event_ce_01_05_13,40008,event_ce_01_05,Monologue,,Monologue,Locale_SubScenario:event_ce_01_05_13,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,,,,,,,,,,,,
event_ce_01_05_14,40008,event_ce_01_05,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_05_14,False,,7,idle,,5,no,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,,,,,,,,,,,,
event_ce_01_05_15,40008,event_ce_01_05,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_05_15,True,,7,idle,,5,no,,3,void,,1,smile,,13,idle,,15,idle,,17,idle,,50,10,0.7,,,,,,,,,,,,,,,
event_ce_01_05_16,40008,event_ce_01_05,Narration,,Narration,Locale_SubScenario:event_ce_01_05_16,False,,7,idle,,5,idle,,3,void,,1,smile,,13,idle,,15,idle,,17,idle,,black,black,1.0,,,,,,,,,,,,,,,
event_ce_01_05_17,40008,event_ce_01_05,Monologue,,Monologue,Locale_SubScenario:event_ce_01_05_17,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,,,,,,,,
event_ce_01_05_18,40008,event_ce_01_05,Monologue,,Monologue,Locale_SubScenario:event_ce_01_05_18,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,,,,,,,,
event_ce_01_05_19,40008,event_ce_01_05,Narration,,Narration,Locale_SubScenario:event_ce_01_05_19,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,,sfx_scn_explosions,Low_2,,,,,
event_ce_01_05_20,40008,event_ce_01_05,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_05_20,True,,7,idle,,5,idle,,3,void,,1,no,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,,,,,,,,
event_ce_01_05_21,40008,event_ce_01_05,Speech,anis,anis,Locale_SubScenario:event_ce_01_05_21,True,,7,idle,,5,idle,,3,angry,,1,no,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,,,,,,,,,,,,,
