id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_overthehorizon_06_s_1,40081,event_overthehorizon_06_s,Monologue,sora,Locale_SubScenario:event_overthehorizon_06_s_1,False,OuterRim,100,100,1.0,bgm_frostpillar,,,,sora,1,idle
event_overthehorizon_06_s_2,40081,event_overthehorizon_06_s,Monologue,sora,Locale_SubScenario:event_overthehorizon_06_s_2,False,,100,10,1.0,,,,,,1,idle
event_overthehorizon_06_s_3,40081,event_overthehorizon_06_s,Self,sora,Locale_SubScenario:event_overthehorizon_06_s_3,False,,10,10,1.0,,,,,,1,idle
event_overthehorizon_06_s_4,40081,event_overthehorizon_06_s,Speech,sora,Locale_SubScenario:event_overthehorizon_06_s_4,True,,10,10,1.0,,sora,,,,1,idle
event_overthehorizon_06_s_5,40081,event_overthehorizon_06_s,Speech,sora,Locale_SubScenario:event_overthehorizon_06_s_5,True,,10,10,1.0,,sora,,,,1,idle
event_overthehorizon_06_s_6,40081,event_overthehorizon_06_s,Self,sora,Locale_SubScenario:event_overthehorizon_06_s_6,False,,10,10,1.0,,,,,,1,idle
event_overthehorizon_06_s_7,40081,event_overthehorizon_06_s,Speech,sora,Locale_SubScenario:event_overthehorizon_06_s_7,True,,10,10,1.0,,sora,,,,1,idle
event_overthehorizon_06_s_8,40081,event_overthehorizon_06_s,Speech,sora,Locale_SubScenario:event_overthehorizon_06_s_8,True,,10,10,1.0,,sora,,,,1,idle
event_overthehorizon_06_s_9,40081,event_overthehorizon_06_s,Self,sora,Locale_SubScenario:event_overthehorizon_06_s_9,False,,10,10,1.0,,,,,,1,idle
event_overthehorizon_06_s_10,40081,event_overthehorizon_06_s,Monologue,sora,Locale_SubScenario:event_overthehorizon_06_s_10,False,ElevatorOut,black,black,1.0,,,,,,1,idle
event_overthehorizon_06_s_11,40081,event_overthehorizon_06_s,Monologue,sora,Locale_SubScenario:event_overthehorizon_06_s_11,False,,black,black,1.0,,,,,,1,idle
event_overthehorizon_06_s_12,40081,event_overthehorizon_06_s,Speech,sora,Locale_SubScenario:event_overthehorizon_06_s_12,True,,10,100,0.7,,sora,,,,1,idle
event_overthehorizon_06_s_13,40081,event_overthehorizon_06_s,Monologue,sora,Locale_SubScenario:event_overthehorizon_06_s_13,False,,100,100,1.0,,,,,,1,idle
event_overthehorizon_06_s_14,40081,event_overthehorizon_06_s,Self,sora,Locale_SubScenario:event_overthehorizon_06_s_14,False,,100,100,1.0,,,,,,1,idle
event_overthehorizon_06_s_15,40081,event_overthehorizon_06_s,Speech,sora,Locale_SubScenario:event_overthehorizon_06_s_15,True,,100,100,1.0,,sora,,,,1,idle
event_overthehorizon_06_s_16,40081,event_overthehorizon_06_s,Speech,sora,Locale_SubScenario:event_overthehorizon_06_s_16,True,,100,100,1.0,,sora,,,,1,idle
event_overthehorizon_06_s_17,40081,event_overthehorizon_06_s,Speech,sora,Locale_SubScenario:event_overthehorizon_06_s_17,True,,100,100,1.0,,sora,,,,1,idle
