id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker
event_beautyfullshot1_04_s_1,40051,event_beautyfullshot1_04_s,Narration,Locale_MainScenario:event_beautyfullshot1_04_s_1,False,maiden_s,1,no,guilty_s,3,idle,sakura_s,13,idle,CoralIsland_d,black,black,1.0,sfx_scn_watersplash,bgm_story_summermood,,
event_beautyfullshot1_04_s_2,40051,event_beautyfullshot1_04_s,Narration,Locale_MainScenario:event_beautyfullshot1_04_s_2,False,,1,no,,3,idle,,13,idle,,black,black,1.0,sfx_scn_handwaterhits,,,
event_beautyfullshot1_04_s_3,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_3,True,,1,no,,3,idle,,13,idle,,5,31,1.0,,,maiden_s,maiden_s
event_beautyfullshot1_04_s_4,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_4,True,,1,no,,3,idle,,13,idle,,31,31,1.0,,,guilty_s,guilty_s
event_beautyfullshot1_04_s_5,40051,event_beautyfullshot1_04_s,Self,Locale_MainScenario:event_beautyfullshot1_04_s_5,False,,1,no,,3,idle,,13,idle,,31,31,1.0,,,guilty_s,
event_beautyfullshot1_04_s_6,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_6,True,,1,no,,3,idle,,13,idle,,31,31,1.0,,,maiden_s,maiden_s
event_beautyfullshot1_04_s_7,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_7,True,,1,no,,3,idle,,13,idle,,31,31,1.0,,,guilty_s,guilty_s
event_beautyfullshot1_04_s_8,40051,event_beautyfullshot1_04_s,Self,Locale_MainScenario:event_beautyfullshot1_04_s_8,False,,1,no,,3,idle,,13,idle,,31,31,1.0,,,guilty_s,
event_beautyfullshot1_04_s_9,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_9,True,,1,no,,3,idle,,13,idle,,31,31,1.0,,,maiden_s,maiden_s
event_beautyfullshot1_04_s_10,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_10,True,,1,no,,3,idle,,13,idle,,31,31,1.0,,,maiden_s,maiden_s
event_beautyfullshot1_04_s_11,40051,event_beautyfullshot1_04_s,Self,Locale_MainScenario:event_beautyfullshot1_04_s_11,False,,1,no,,3,idle,,13,idle,,31,31,1.0,,,maiden_s,
event_beautyfullshot1_04_s_12,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_12,True,,1,no,,3,idle,,13,idle,,31,31,1.0,,,maiden_s,maiden_s
event_beautyfullshot1_04_s_13,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_13,False,,1,no,,3,surprise,,13,idle,,31,30,1.0,,,guilty_s,guilty_s
event_beautyfullshot1_04_s_14,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_14,True,,1,no,,3,surprise,,13,idle,,30,30,1.0,,,guilty_s,guilty_s
event_beautyfullshot1_04_s_15,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_15,True,,1,no,,3,surprise,,13,idle,,30,S_10,1.0,,,maiden_s,maiden_s
event_beautyfullshot1_04_s_16,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_16,True,,1,no,,3,surprise,,13,idle,,S_10,S_10,1.0,,,maiden_s,maiden_s
event_beautyfullshot1_04_s_17,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_17,True,,1,no,,3,angry,,13,idle,,S_10,31,1.0,,,guilty_s,guilty_s
event_beautyfullshot1_04_s_18,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_18,True,,1,no,,3,angry,,13,idle,,31,31,1.0,,,guilty_s,guilty_s
event_beautyfullshot1_04_s_19,40051,event_beautyfullshot1_04_s,Speech,Locale_MainScenario:event_beautyfullshot1_04_s_19,True,,1,no,,3,angry,,13,idle,,31,31,1.0,,,maiden_s,maiden_s
