id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_ce004_3_02_s_1,40057,event_ce004_3_02_s,Monologue,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_1,False,Classroom,black,black,1.0,bgm_enemyclose,,,marciana,3,idle,ce004_01_s,1,idle,,ce004_02_s,13,idle,,,,
event_ce004_3_02_s_2,40057,event_ce004_3_02_s,Monologue,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_2,False,,black,black,1.0,,,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_3,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_3,True,,12,12,1.0,,ce004_01_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_4,40057,event_ce004_3_02_s,Self,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_4,False,,12,12,1.0,,,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_5,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_5,True,,12,12,1.0,,ce004_01_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_6,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_6,True,,12,12,1.0,,ce004_01_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_7,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_7,True,,12,12,1.0,,ce004_01_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_8,40057,event_ce004_3_02_s,Self,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_8,False,,12,12,1.0,,,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_9,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_9,True,,30,30,1.0,,marciana,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_10,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_10,True,,30,30,1.0,,marciana,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_11,40057,event_ce004_3_02_s,Speech,ce004_02_s,Locale_SubScenario:event_ce004_3_02_s_11,True,,12,12,1.0,,ce004_02_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_12,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_12,True,,30,30,1.0,,marciana,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_13,40057,event_ce004_3_02_s,Speech,ce004_02_s,Locale_SubScenario:event_ce004_3_02_s_13,True,,12,12,1.0,,ce004_02_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_14,40057,event_ce004_3_02_s,Speech,ce004_02_s,Locale_SubScenario:event_ce004_3_02_s_14,True,,12,12,1.0,,ce004_02_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_15,40057,event_ce004_3_02_s,Speech,ce004_02_s,Locale_SubScenario:event_ce004_3_02_s_15,True,,12,12,1.0,,ce004_02_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_16,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_16,True,,12,12,1.0,,ce004_01_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_17,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_17,True,,12,12,1.0,,ce004_01_s,,,3,idle,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_18,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_18,True,,12,2,1.0,,marciana,,,3,special,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_19,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_19,True,,2,2,1.0,,ce004_01_s,,,3,special,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_20,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_20,True,,2,2,1.0,,ce004_01_s,,,3,special,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_21,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_21,True,,2,2,1.0,,marciana,,,3,think,,1,idle,,,13,idle,,,,
event_ce004_3_02_s_22,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_22,True,,2,2,1.0,,ce004_01_s,,,3,think,,1,surprise,,,13,idle,,,,
event_ce004_3_02_s_23,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_23,True,,2,2,1.0,,marciana,,,3,think,,1,surprise,,,13,idle,,,,
event_ce004_3_02_s_24,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_24,True,,2,2,1.0,,marciana,,,3,think,,1,surprise,,,13,idle,,,,
event_ce004_3_02_s_25,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_25,True,,2,2,1.0,,ce004_01_s,,,3,think,,1,surprise,,,13,idle,,,,
event_ce004_3_02_s_26,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_26,True,,2,2,1.0,,ce004_01_s,,,3,think,,1,surprise,,,13,idle,,,,
event_ce004_3_02_s_27,40057,event_ce004_3_02_s,Speech,ce004_01_s,Locale_SubScenario:event_ce004_3_02_s_27,True,,2,2,1.0,,ce004_01_s,,,3,think,,1,think,,,13,idle,,,,
event_ce004_3_02_s_28,40057,event_ce004_3_02_s,Speech,ce004_02_s,Locale_SubScenario:event_ce004_3_02_s_28,False,,2,12,1.0,,ce004_02_s,,,3,think,,1,think,,,13,think,,,,
event_ce004_3_02_s_29,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_29,True,,30,30,1.0,,marciana,,,3,idle,,1,think,,,13,think,,,,
event_ce004_3_02_s_30,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_30,True,,30,30,1.0,,marciana,,,3,idle,,1,think,,,13,think,,,,
event_ce004_3_02_s_31,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_31,True,,30,30,1.0,,marciana,,,3,idle,,1,think,,,13,think,,,,
event_ce004_3_02_s_32,40057,event_ce004_3_02_s,Speech,ce004_02_s,Locale_SubScenario:event_ce004_3_02_s_32,True,,12,12,1.0,,ce004_02_s,,,3,idle,,1,idle,,,13,idle,,,,
