id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,play_movie,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_icedragonsaga2_06_e_1,40065,event_icedragonsaga2_06_e,Narration,Locale_MainScenario:event_icedragonsaga2_06_e_1,False,IceLand_01,black,black,1.0,sfx_scn_heavymetaldrop,none,Low_2,,,,,,,,,,,,,,,,
event_icedragonsaga2_06_e_2,40065,event_icedragonsaga2_06_e,Narration,Locale_MainScenario:event_icedragonsaga2_06_e_2,False,,black,black,1.0,,,,maiden_w,14,shy,guillotine_w,12,idle,,,,,,,,,,
event_icedragonsaga2_06_e_3,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_3,True,,XS_120,XS_120,1.0,,,,,14,shy,,12,idle,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_4,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_4,True,,XS_120,L_140,0.5,,,,,14,surprise,,12,idle,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_5,40065,event_icedragonsaga2_06_e,Narration,Locale_MainScenario:event_icedragonsaga2_06_e_5,False,,L_140,L_140,1.0,sfx_scn_retromessage,bgm_boss_mba002_whiteice_psid_loop,,,14,surprise,,12,idle,,,,,,,,,,
event_icedragonsaga2_06_e_6,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_6,True,,L_140,L_140,1.0,,,,,14,worry,,12,idle,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_7,40065,event_icedragonsaga2_06_e,Narration,Locale_MainScenario:event_icedragonsaga2_06_e_7,True,,black,black,1.0,,,,,14,worry,,12,idle,,,,,,,,,,
event_icedragonsaga2_06_e_8,40065,event_icedragonsaga2_06_e,Narration,Locale_MainScenario:event_icedragonsaga2_06_e_8,False,,black,black,1.0,,,,,14,worry,,12,idle,,,,,,,,,,
event_icedragonsaga2_06_e_9,40065,event_icedragonsaga2_06_e,Narration,Locale_MainScenario:event_icedragonsaga2_06_e_9,False,,black,black,1.0,,,,,14,worry,,12,idle,,,,,,,,,,
event_icedragonsaga2_06_e_10,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_10,True,,L_140,L_140,1.0,,,,,14,angry,,12,idle,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_11,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_11,True,,L_140,L_140,1.0,,,,,14,angry,,12,idle,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_12,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_12,True,,L_140,13,1.0,,,,,14,angry,,12,idle,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_13,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_13,True,,13,13,1.0,,,,,14,angry,,12,idle,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_14,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_14,True,,13,13,1.0,,,,,14,surprise,,12,idle,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_15,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_15,True,,13,13,1.0,,,,,14,surprise,,12,idle,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_16,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_16,False,,13,13,1.0,,,,,14,surprise,,12,idle,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_17,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_17,True,,13,13,1.0,,,,,14,idle,,12,idle,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_18,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_18,True,,13,13,1.0,,,,,14,idle,,12,idle,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_19,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_19,True,,13,13,1.0,,,,,14,idle,,12,idle,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_20,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_20,True,,13,13,1.0,,,,,14,idle,,12,delight,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_21,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_21,True,,13,13,1.0,,,,,14,idle,,12,delight,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_22,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_22,True,,13,13,1.0,,,,,14,idle,,12,delight,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_23,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_23,True,,13,13,1.0,,,,,14,idle,,12,delight,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_24,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_24,True,,13,XS_1200,0.5,,,,,14,idle,,12,angry,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_25,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_25,True,none,black,black,1.0,,none,,,14,idle,,12,angry,guillotine_w,guillotine_w,maiden_w,guillotine_w,,,,,,
icedragonsaga,40065,event_icedragonsaga2_06_e,,Locale_SubScenario:none,True,,1,1,1.0,,,,,,,,,,,,,,icedragonsaga,,,,,
event_icedragonsaga2_06_e_31,40065,event_icedragonsaga2_06_e,Self,Locale_MainScenario:event_icedragonsaga2_06_e_31,False,SnowTown_d,black,black,1.0,,bgm_frostpillar,,maiden_w,14,shy,guillotine_w,12,idle,guillotine_w,,,,,,,,,
event_icedragonsaga2_06_e_32,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_32,True,,13,13,1.0,,,,,14,shy,,12,delight,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_33,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_33,True,,13,13,1.0,,,,,14,shy,,12,delight,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_34,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_34,True,,13,13,1.0,,,,,14,shy,,12,delight,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_35,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_35,True,,13,13,1.0,,,,,14,shy,,12,delight,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_36,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_36,True,,13,XS_120,1.0,,,,,14,shy,,12,shy,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_37,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_37,True,,XS_120,XS_120,1.0,,,,,14,shy,,12,shy,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_38,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_38,True,,XS_120,XS_120,1.0,,,,,14,shy,,12,shy,guillotine_w,guillotine_w,,,,,,,,
event_icedragonsaga2_06_e_39,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_39,True,,XS_120,L_140,1.0,,,,,14,idle,,12,shy,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_40,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_40,True,,L_140,L_140,1.0,,,,,14,delight,,12,shy,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_41,40065,event_icedragonsaga2_06_e,Self,Locale_MainScenario:event_icedragonsaga2_06_e_41,False,,L_140,L_140,1.0,,,,,14,delight,,12,shy,maiden_w,,,,,,,,,
event_icedragonsaga2_06_e_42,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_42,True,,L_140,L_140,1.0,,,,,14,shy,,12,shy,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_43,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_43,True,,L_140,L_140,1.0,,,,,14,shy,,12,shy,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_44,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_44,True,,L_140,L_140,1.0,,,,,14,shy,,12,shy,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_45,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_45,True,,L_140,L_140,1.0,,,,,14,shy,,12,shy,maiden_w,maiden_w,,,,,,,,
event_icedragonsaga2_06_e_46,40065,event_icedragonsaga2_06_e,Self,Locale_MainScenario:event_icedragonsaga2_06_e_46,False,,L_140,L_140,1.0,,,,,14,shy,,12,shy,maiden_w,,,,,,,,,
event_icedragonsaga2_06_e_47,40065,event_icedragonsaga2_06_e,Narration,Locale_MainScenario:event_icedragonsaga2_06_e_47,False,,black,black,1.0,,,,,14,shy,,12,no,,,,,,,,,,
event_icedragonsaga2_06_e_48,40065,event_icedragonsaga2_06_e,Narration,Locale_MainScenario:event_icedragonsaga2_06_e_48,False,,black,black,1.0,,,,,14,shy,,12,no,,,,,,,,,,
event_icedragonsaga2_06_e_49,40065,event_icedragonsaga2_06_e,Self,Locale_MainScenario:event_icedragonsaga2_06_e_49,False,,L_140,L_140,1.0,,,,,14,shy,,12,no,maiden_w,,,,,,,,,
event_icedragonsaga2_06_e_50,40065,event_icedragonsaga2_06_e,Speech,Locale_MainScenario:event_icedragonsaga2_06_e_50,False,,L_140,L_140,1.0,,,,,14,shy,,12,no,maiden_w,maiden_w,,,,,,,,
