id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,set_filter_01
event_ce003_2_04_s_1,40042,event_ce003_2_04_s,Speech,epicurean,epicurean,Locale_SubScenario:event_ce003_2_04_s_1,True,ce_003_03,1,idle,epicurean,13,idle,BuildingLobby,113,113,1.0,bgm_story_inwonderland,,
event_ce003_2_04_s_2,40042,event_ce003_2_04_s,Speech,epicurean,epicurean,Locale_SubScenario:event_ce003_2_04_s_2,True,,1,idle,,13,idle,,113,113,1.0,,,
event_ce003_2_04_s_3,40042,event_ce003_2_04_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_04_s_3,True,,1,idle,,13,idle,,113,113,1.0,,,
event_ce003_2_04_s_4,40042,event_ce003_2_04_s,Speech,epicurean,epicurean,Locale_SubScenario:event_ce003_2_04_s_4,True,,1,idle,,13,idle,,113,113,1.0,,,
event_ce003_2_04_s_5,40042,event_ce003_2_04_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_04_s_5,True,,1,idle,,13,idle,,113,10,1.0,,,
event_ce003_2_04_s_6,40042,event_ce003_2_04_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_04_s_6,True,,1,idle,,13,idle,,10,10,1.0,,,
event_ce003_2_04_s_7,40042,event_ce003_2_04_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_04_s_7,True,,1,idle,,13,idle,,10,10,1.0,,,
event_ce003_2_04_s_8,40042,event_ce003_2_04_s,Speech,epicurean,epicurean,Locale_SubScenario:event_ce003_2_04_s_8,True,,1,idle,,13,idle,,10,10,1.0,,,
event_ce003_2_04_s_9,40042,event_ce003_2_04_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_04_s_9,True,,1,idle,,13,idle,,10,100,1.0,,,
event_ce003_2_04_s_10,40042,event_ce003_2_04_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_04_s_10,True,,1,idle,,13,idle,,100,100,1.0,,,
event_ce003_2_04_s_11,40042,event_ce003_2_04_s,Speech,epicurean,epicurean,Locale_SubScenario:event_ce003_2_04_s_11,True,,1,idle,,13,idle,,100,L_1300,1.0,,,
event_ce003_2_04_s_12,40042,event_ce003_2_04_s,Speech,epicurean,epicurean,Locale_SubScenario:event_ce003_2_04_s_12,True,,1,idle,,13,idle,,L_1300,L_1300,1.0,,,
