id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target
event_neverland2_Intermission_01_1,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_1,False,mica_w,1,no,ludmilla_w,3,think,blanc_c,13,idle,noir_c,15,idle,IceLand_n,1,S_10,1.0,bgm_story_breakaway,,
event_neverland2_Intermission_01_2,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_2,True,,1,no,,3,think,,13,idle,,15,idle,,S_10,S_10,1.0,,,
event_neverland2_Intermission_01_3,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_3,True,,1,no,,3,think,,13,idle,,15,idle,,S_10,S_10,1.0,,,
event_neverland2_Intermission_01_4,40035,event_neverland2_Intermission_01,Self,,,Locale_MainScenario:event_neverland2_Intermission_01_4,False,,1,no,,3,think,,13,idle,,15,idle,,S_10,S_10,1.0,,,
event_neverland2_Intermission_01_5,40035,event_neverland2_Intermission_01,Speech,blanc_c,blanc_c,Locale_MainScenario:event_neverland2_Intermission_01_5,True,,1,no,,3,think,,13,idle,,15,idle,,S_10,1315,1.0,,,
event_neverland2_Intermission_01_6,40035,event_neverland2_Intermission_01,Speech,noir_c,noir_c,Locale_MainScenario:event_neverland2_Intermission_01_6,True,,1,no,,3,think,,13,idle,,15,idle,,1315,1315,1.0,,,
event_neverland2_Intermission_01_7,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_7,True,,1,no,,3,think,,13,idle,,15,idle,,1315,113,1.0,,,
event_neverland2_Intermission_01_8,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_8,True,,1,no,,3,think,,13,idle,,15,idle,,113,S_10,1.0,,,
event_neverland2_Intermission_01_9,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_9,True,,1,no,,3,think,,13,idle,,15,idle,,S_10,S_10,1.0,,,
event_neverland2_Intermission_01_10,40035,event_neverland2_Intermission_01,Narration,,,Locale_MainScenario:event_neverland2_Intermission_01_10,False,,1,no,,3,think,,13,idle,,15,idle,,black,black,1.0,,sfx_scn_flare,
event_neverland2_Intermission_01_11,40035,event_neverland2_Intermission_01,Monologue,,,Locale_MainScenario:event_neverland2_Intermission_01_11,False,,1,no,,3,think,,13,idle,,15,idle,,black,black,1.0,,,
event_neverland2_Intermission_01_12,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_12,True,,1,no,,3,think,,13,idle,,15,idle,,S_10,S_10,1.0,,,
event_neverland2_Intermission_01_13,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_13,True,,1,no,,3,think,,13,idle,,15,idle,,S_10,S_10,1.0,,,
event_neverland2_Intermission_01_14,40035,event_neverland2_Intermission_01,Narration,,,Locale_MainScenario:event_neverland2_Intermission_01_14,False,,1,no,,3,think,,13,idle,,15,idle,,S_10,S_10,1.0,none,sfx_scn_emptywind,
event_neverland2_Intermission_01_15,40035,event_neverland2_Intermission_01,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_Intermission_01_15,True,,1,no,,3,think,,13,idle,,15,idle,,S_10,31,1.0,,,
event_neverland2_Intermission_01_16,40035,event_neverland2_Intermission_01,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_Intermission_01_16,True,,1,no,,3,think,,13,idle,,15,idle,,31,31,1.0,,,
event_neverland2_Intermission_01_17,40035,event_neverland2_Intermission_01,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_Intermission_01_17,False,,1,no,,3,think,,13,idle,,15,idle,,31,3,1.0,,,
event_neverland2_Intermission_01_18,40035,event_neverland2_Intermission_01,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_Intermission_01_18,True,,1,no,,3,think,,13,idle,,15,idle,,3,3,1.0,bgm_story_fairytalesend_if,,
event_neverland2_Intermission_01_19,40035,event_neverland2_Intermission_01,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_Intermission_01_19,True,,1,no,,3,think,,13,idle,,15,idle,,3,30,1.0,,,
event_neverland2_Intermission_01_20,40035,event_neverland2_Intermission_01,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_Intermission_01_20,True,,1,no,,3,think,,13,idle,,15,idle,,30,30,1.0,,,
event_neverland2_Intermission_01_21,40035,event_neverland2_Intermission_01,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_Intermission_01_21,True,,1,no,,3,think,,13,idle,,15,idle,,30,30,1.0,,,
