id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_wisdomspring_01_s_1,40068,event_wisdomspring_01_s,Narration,anis,Locale_SubScenario:event_wisdomspring_01_s_1,False,CommanderRoom,2,2,1.0,bgm_inark,,,,rapi,3,idle,anis,1,void,neon,13,idle
event_wisdomspring_01_s_2,40068,event_wisdomspring_01_s,Narration,anis,Locale_SubScenario:event_wisdomspring_01_s_2,False,,2,2,1.0,,sfx_scn_phonevibration,,,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_3,40068,event_wisdomspring_01_s,Self,anis,Locale_SubScenario:event_wisdomspring_01_s_3,False,,2,2,1.0,,,m_event_wisdomspring_01_s,,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_4,40068,event_wisdomspring_01_s,Self,anis,Locale_SubScenario:event_wisdomspring_01_s_4,False,,2,2,1.0,,,,,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_5,40068,event_wisdomspring_01_s,Speech,anis,Locale_SubScenario:event_wisdomspring_01_s_5,True,,2,2,1.0,,,,anis,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_6,40068,event_wisdomspring_01_s,Speech,anis,Locale_SubScenario:event_wisdomspring_01_s_6,True,,2,2,1.0,,,,anis,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_7,40068,event_wisdomspring_01_s,Self,anis,Locale_SubScenario:event_wisdomspring_01_s_7,False,,2,2,1.0,,,,,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_8,40068,event_wisdomspring_01_s,Speech,rapi,Locale_SubScenario:event_wisdomspring_01_s_8,True,,2,2,1.0,,,,rapi,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_9,40068,event_wisdomspring_01_s,Self,rapi,Locale_SubScenario:event_wisdomspring_01_s_9,False,,2,2,1.0,,,,,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_10,40068,event_wisdomspring_01_s,Speech,rapi,Locale_SubScenario:event_wisdomspring_01_s_10,True,,2,2,1.0,,,,rapi,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_11,40068,event_wisdomspring_01_s,Speech,anis,Locale_SubScenario:event_wisdomspring_01_s_11,True,,2,2,1.0,,,,anis,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_12,40068,event_wisdomspring_01_s,Self,anis,Locale_SubScenario:event_wisdomspring_01_s_12,False,,2,2,1.0,,,,,,3,idle,,1,void,,13,idle
event_wisdomspring_01_s_13,40068,event_wisdomspring_01_s,Speech,neon,Locale_SubScenario:event_wisdomspring_01_s_13,True,,S_130,S_130,1.0,,,,neon,,3,idle,,1,void,,13,idle
