id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_newflavor_04_s_1,40073,event_newflavor_04_s,Narration,andersen,Locale_SubScenario:event_newflavor_04_s_1,False,Office,black,black,1.0,none,,,,,,,andersen,1,idle,
event_newflavor_04_s_2,40073,event_newflavor_04_s,Speech,andersen,Locale_SubScenario:event_newflavor_04_s_2,True,,L_10,L_10,1.0,bgm_story_fairytalesend_if,andersen,,,,,,,1,idle,
event_newflavor_04_s_3,40073,event_newflavor_04_s,Speech,andersen,Locale_SubScenario:event_newflavor_04_s_3,True,,L_10,L_10,1.0,,andersen,,,,,,,1,idle,
event_newflavor_04_s_4,40073,event_newflavor_04_s,Self,andersen,Locale_SubScenario:event_newflavor_04_s_4,False,,L_10,L_10,1.0,,,,,,,,,1,idle,
event_newflavor_04_s_5,40073,event_newflavor_04_s,Self,andersen,Locale_SubScenario:event_newflavor_04_s_5,False,,L_10,L_10,1.0,,,,,,,,,1,idle,
event_newflavor_04_s_6,40073,event_newflavor_04_s,Speech,andersen,Locale_SubScenario:event_newflavor_04_s_6,True,,L_10,L_10,1.0,,andersen,,,,,,,1,idle,
event_newflavor_04_s_7,40073,event_newflavor_04_s,Speech,andersen,Locale_SubScenario:event_newflavor_04_s_7,True,,L_10,L_10,1.0,,andersen,,,,,,,1,idle,
event_newflavor_04_s_8,40073,event_newflavor_04_s,Speech,andersen,Locale_SubScenario:event_newflavor_04_s_8,True,,L_10,L_10,1.0,,andersen,,,,,,,1,think,
event_newflavor_04_s_9,40073,event_newflavor_04_s,Speech,andersen,Locale_SubScenario:event_newflavor_04_s_9,True,,L_10,L_10,1.0,,andersen,,,,,,,1,idle,
event_newflavor_04_s_10,40073,event_newflavor_04_s,Self,andersen,Locale_SubScenario:event_newflavor_04_s_10,False,,L_10,L_10,1.0,,,,,,,,,1,idle,
event_newflavor_04_s_11,40073,event_newflavor_04_s,Speech,andersen,Locale_SubScenario:event_newflavor_04_s_11,True,,L_10,L_10,1.0,,andersen,,,,,,,1,surprise,
event_newflavor_04_s_12,40073,event_newflavor_04_s,Self,andersen,Locale_SubScenario:event_newflavor_04_s_12,False,,L_10,L_10,1.0,,,,,,,,,1,surprise,
event_newflavor_04_s_13,40073,event_newflavor_04_s,Speech,andersen,Locale_SubScenario:event_newflavor_04_s_13,True,,L_10,L_10,1.0,,andersen,,,,,,,1,idle,
