id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_overthehorizon_02_s_1,40081,event_overthehorizon_02_s,Monologue,Locale_SubScenario:event_overthehorizon_02_s_1,False,MachineRoom,black,black,1.0,none,,,,sora,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_2,40081,event_overthehorizon_02_s,Monologue,Locale_SubScenario:event_overthehorizon_02_s_2,False,,black,black,1.0,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_3,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_3,True,,100,10,1.0,bgm_story_cottoncandy,sora,sora,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_4,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_4,True,,10,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_5,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_5,True,,10,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_6,40081,event_overthehorizon_02_s,Monologue,Locale_SubScenario:event_overthehorizon_02_s_6,False,,10,10,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_7,40081,event_overthehorizon_02_s,Narration,Locale_SubScenario:event_overthehorizon_02_s_7,False,,10,10,1.0,,sora,,sfx_scn_carabiner,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_8,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_8,True,,10,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_9,40081,event_overthehorizon_02_s,Narration,Locale_SubScenario:event_overthehorizon_02_s_9,False,,10,100,0.5,,sora,,sfx_scn_ropebreak,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_10,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_10,True,,100,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_11,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_11,False,,100,100,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_12,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_12,True,,100,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_13,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_13,False,,100,100,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_14,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_14,True,,100,100,1.0,,sora,sora,,,1,delight,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_15,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_15,True,,100,100,1.0,,sora,sora,,,1,delight,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_16,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_16,True,,100,10,1.0,,sora,sora,,,1,delight,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_17,40081,event_overthehorizon_02_s,Monologue,Locale_SubScenario:event_overthehorizon_02_s_17,False,,10,10,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_18,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_18,True,,130,1300,0.5,,anis,anis,,,1,surp2,anis,13,angry,,rapi,17,idle,,neon,15,angry,,,,,,,,,
event_overthehorizon_02_s_19,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_19,True,,1700,1700,1.0,,rapi,rapi,,,1,idle,,13,angry,,,17,idle,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_20,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_20,True,,100,100,1.0,,sora,sora,,,1,idle,,13,angry,,,17,idle,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_21,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_21,True,,100,10,1.0,,sora,sora,,,1,idle,,13,angry,,,17,idle,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_22,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_22,True,,10,113,1.0,,anis,anis,,,1,idle,,13,angry,,,17,idle,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_23,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_23,True,,113,1315,1.0,,neon,neon,,,1,idle,,13,angry,,,17,idle,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_24,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_24,True,,1315,1315,1.0,,neon,neon,,,1,idle,,13,angry,,,17,idle,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_25,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_25,True,,1315,17,1.5,,rapi,rapi,,,1,idle,,13,angry,,,17,worry,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_26,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_26,False,,17,17,1.0,,rapi,,,,1,idle,,13,angry,,,17,worry,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_27,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_27,False,,17,17,1.0,,rapi,,,,1,idle,,13,angry,,,17,worry,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_28,40081,event_overthehorizon_02_s,Monologue,Locale_SubScenario:event_overthehorizon_02_s_28,False,,black,black,1.0,,rapi,,,,1,idle,,13,angry,,,17,worry,,,15,angry,,,,,,,,,
event_overthehorizon_02_s_29,40081,event_overthehorizon_02_s,Narration,Locale_SubScenario:event_overthehorizon_02_s_29,False,,black,black,1.0,,sky_op_r,,sfx_scn_radiocallend,,1,idle,,13,angry,,,17,idle,,,15,idle,,cielo,3,idle,,,,,
event_overthehorizon_02_s_30,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_30,True,,31,31,1.0,,sky_op_r,sky_op_r,,,1,idle,,13,angry,,,17,idle,,,15,idle,,,3,idle,,sky_op_r,OP_rightup,idle,
event_overthehorizon_02_s_31,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_31,True,,31,31,1.0,,cielo,cielo,,,1,idle,,13,angry,,,17,idle,,,15,idle,,,3,no,,,OP_rightup,idle,
event_overthehorizon_02_s_32,40081,event_overthehorizon_02_s,Monologue,Locale_SubScenario:event_overthehorizon_02_s_32,False,,31,1,1.0,,cielo,,,,1,idle,,13,angry,,,17,idle,,,15,idle,,,3,no,,,OP_rightup,idle,
event_overthehorizon_02_s_33,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_33,True,,1,10,1.0,,sora,sora,,,1,delight,,13,angry,,,17,idle,,,15,idle,,,3,no,,,OP_rightup,idle,sky_op_r
