id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_overzone2_04_e_1,80304,event_overzone2_04_e,Narration,Locale_MainScenario:event_overzone2_04_e_1,False,Desert_05,black,black,1.0,none,,,,,dorothy,3,idle,,pinne,1,idle,,rapunzel,13,delight,,hongryeon,15,idle,,,,,,,,,
event_overzone2_04_e_2,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_2,True,,14,14,1.0,bgm_story_thepilgrimacv,rapunzel,rapunzel,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_3,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_3,True,,14,14,1.0,,hongryeon,hongryeon,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_4,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_4,True,,14,14,1.0,,rapunzel,rapunzel,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_5,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_5,True,,2,2,1.0,,pinne,pinne,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_6,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_6,True,,2,2,1.0,,dorothy,dorothy,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_7,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_7,True,,2,130,1.4,,rapunzel,rapunzel,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_8,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_8,True,,30,30,1.0,,dorothy,dorothy,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_9,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_9,True,,30,130,1.0,,rapunzel,rapunzel,,,,3,idle,,,1,idle,,,13,shy,,,15,idle,,,,,,,,,
event_overzone2_04_e_10,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_10,False,,130,130,1.0,,rapunzel,rapunzel,Low_2,,,3,idle,,,1,idle,,,13,shy,,,15,idle,,,,,,,,,
event_overzone2_04_e_11,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_11,True,,130,130,1.0,,rapunzel,rapunzel,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,
event_overzone2_04_e_12,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_12,True,,130,14,1.0,,hongryeon,hongryeon,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,
event_overzone2_04_e_13,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_13,True,,14,14,1.0,,rapunzel,rapunzel,,,,3,idle,,,1,idle,,,13,shy,,,15,idle,,,,,,,,,
event_overzone2_04_e_14,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_14,True,,14,14,1.0,,hongryeon,hongryeon,,,,3,idle,,,1,idle,,,13,shy,,,15,idle,,,,,,,,,
event_overzone2_04_e_15,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_15,False,,14,130,1.0,,rapunzel,rapunzel,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_16,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_16,True,,130,1300,0.6,,rapunzel,rapunzel,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,
event_overzone2_04_e_17,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_17,True,,150,150,1.0,,hongryeon,hongryeon,,,,3,idle,,,1,idle,,,13,delight,,,15,no,,,,,,,,,
event_overzone2_04_e_18,80304,event_overzone2_04_e,Narration,Locale_MainScenario:event_overzone2_04_e_18,False,RuinIndoor,black,black,1.0,,,,,,,3,idle,,,1,worry,,,13,idle,,,15,idle,,snowwhite,17,special,,collectrobot,5,idle,
event_overzone2_04_e_19,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_19,True,,4,4,1.0,,dorothy,dorothy,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_20,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_20,True,,4,4,1.0,,dorothy,dorothy,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_21,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_21,True,,4,4,1.0,,manvoice,manvoice,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_22,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_22,True,,4,4,1.0,,dorothy,dorothy,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_23,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_23,True,,4,4,1.0,,manvoice,manvoice,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_24,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_24,True,,4,4,1.0,,manvoice,manvoice,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_25,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_25,True,,4,30,1.0,,dorothy,dorothy,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_26,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_26,True,,150,150,1.0,,hongryeon,hongryeon,,,,3,think,,,1,worry,,,13,idle,,,15,pain,,,17,special,,,5,idle,
event_overzone2_04_e_27,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_27,True,,150,L_170,1.0,,snowwhite,snowwhite,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_28,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_28,True,,L_170,L_170,1.0,,rapunzel,rapunzel,,,,3,think,,,1,worry,,,13,sad,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_29,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_29,True,,2,2,1.0,,dorothy,dorothy,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_30,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_30,True,,2,2,1.0,,pinne,pinne,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_31,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_31,True,,2,2,1.0,,dorothy,dorothy,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_32,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_32,True,,2,4,1.0,,manvoice,manvoice,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_33,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_33,True,,4,4,1.0,,manvoice,manvoice,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_34,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_34,False,,4,50,1.0,,manvoice,manvoice,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_35,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_35,True,,10,10,1.0,,pinne,pinne,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_36,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_36,True,,50,50,1.0,,manvoice,manvoice,,,,3,worry,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_37,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_37,False,,30,30,1.0,,dorothy,dorothy,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_38,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_38,True,,30,2,1.0,,pinne,pinne,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_39,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_39,True,,2,2,1.0,,dorothy,dorothy,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_40,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_40,False,,L_170,L_1700,0.6,,snowwhite,snowwhite,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
event_overzone2_04_e_41,80304,event_overzone2_04_e,Speech,Locale_MainScenario:event_overzone2_04_e_41,True,,L_1700,L_1700,1.0,,snowwhite,snowwhite,,,,3,think,,,1,worry,,,13,idle,,,15,idle,,,17,special,,,5,idle,
