id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade
event_doutsiders_01_e_1,40006,event_doutsiders_01_e,Narration,Narration,Locale_SubScenario:event_doutsiders_01_e_1,False,OuterRim,7,3,2.0,bgm_recognition_underworld,,,,,,,,,,,,,,,,
event_doutsiders_01_e_2,40006,event_doutsiders_01_e,Speech,jackal,Locale_SubScenario:event_doutsiders_01_e_2,True,,3,3,1.0,,jackal,jackal,3,shy_01,viper,13,idle,,,,,,,,,
event_doutsiders_01_e_3,40006,event_doutsiders_01_e,Speech,jackal,Locale_SubScenario:event_doutsiders_01_e_3,True,,3,S_30,0.3,,jackal,,3,crazy,,13,idle,,,,,,,,,
event_doutsiders_01_e_4,40006,event_doutsiders_01_e,Speech,viper,Locale_SubScenario:event_doutsiders_01_e_4,True,,130,130,1.0,,viper,,3,crazy,,13,delight,,,,,,,,,
event_doutsiders_01_e_5,40006,event_doutsiders_01_e,Speech,viper,Locale_SubScenario:event_doutsiders_01_e_5,True,,130,130,1.0,,viper,,3,idle,,13,idle,,,,,,,,,
event_doutsiders_01_e_6,40006,event_doutsiders_01_e,Speech,viper,Locale_SubScenario:event_doutsiders_01_e_6,True,,130,130,1.0,,viper,,3,idle,,13,idle,,,,,,,,,
event_doutsiders_01_e_7,40006,event_doutsiders_01_e,Choice,,Locale_SubScenario:event_doutsiders_01_e_7,False,,130,130,1.0,,viper,,3,idle,,13,idle,event_doutsiders_01_e_9,,,,,,,,
event_doutsiders_01_e_8,40006,event_doutsiders_01_e,Choice,,Locale_SubScenario:event_doutsiders_01_e_8,False,,130,130,1.0,,viper,,3,idle,,13,idle,event_doutsiders_01_e_9,,,,,,,,
event_doutsiders_01_e_9,40006,event_doutsiders_01_e,Speech,crow,Locale_SubScenario:event_doutsiders_01_e_9,True,,130,10,2.0,,crow,,3,idle,,13,idle,,crow,1,smile,,,,,
event_doutsiders_01_e_10,40006,event_doutsiders_01_e,Speech,crow,Locale_SubScenario:event_doutsiders_01_e_10,True,,10,10,1.0,,crow,,3,idle,,13,idle,,,1,smile,,,,,
event_doutsiders_01_e_11,40006,event_doutsiders_01_e,Speech,crow,Locale_SubScenario:event_doutsiders_01_e_11,True,,10,10,1.0,,crow,,3,idle,,13,idle,,,1,smile,,,,,
event_doutsiders_01_e_12,40006,event_doutsiders_01_e,Speech,crow,Locale_SubScenario:event_doutsiders_01_e_12,True,,10,1,1.5,,crow,,3,idle,,13,idle,,,1,idle,,,,,
event_doutsiders_01_e_13,40006,event_doutsiders_01_e,Speech,crow,Locale_SubScenario:event_doutsiders_01_e_13,True,,1,1,1.0,,crow,,3,idle,,13,idle,,,1,idle,,,,,
event_doutsiders_01_e_14,40006,event_doutsiders_01_e,Monologue,Monologue,Locale_SubScenario:event_doutsiders_01_e_14,False,Bar,12,12,1.0,none,,,3,idle,,13,idle,,,1,idle,jackal,crow,viper,sfx_scn_chimebell,black
event_doutsiders_01_e_15,40006,event_doutsiders_01_e,Speech,viper,Locale_SubScenario:event_doutsiders_01_e_15,True,,12,12,1.0,bgm_story_fairytalesend_if,viper,jackal,3,idle,viper,13,idle,,crow,1,idle,,,,,
event_doutsiders_01_e_16,40006,event_doutsiders_01_e,Speech,viper,Locale_SubScenario:event_doutsiders_01_e_16,True,,12,12,1.0,,viper,,3,idle,,13,idle,,,1,idle,,,,,
event_doutsiders_01_e_17,40006,event_doutsiders_01_e,Speech,viper,Locale_SubScenario:event_doutsiders_01_e_17,True,,12,12,1.0,,viper,,3,idle,,13,idle,,,1,idle,,,,,
