id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_lastkingdom1_02_s_1,40045,event_lastkingdom1_02_s,Narration,Locale_MainScenario:event_lastkingdom1_02_s_1,False,CrownCastleDiningRoom_d,black,black,1.0,event_bgm_lastkingdom_morningstar,,,,,marian_q,3,idle,,kilo,1,idle,chime,13,idle,,,,crown,15,idle
event_lastkingdom1_02_s_2,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_2,True,,150,150,1.0,,crown,crown,,,,3,idle,,,1,idle,,13,idle,,,,,15,idle
event_lastkingdom1_02_s_3,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_3,True,,S_10,S_10,1.0,,kilo,kilo,,,,3,idle,,,1,idle,,13,idle,,,,,15,idle
event_lastkingdom1_02_s_4,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_4,True,,150,150,1.0,,crown,crown,,,,3,idle,,,1,idle,,13,idle,,,,,15,idle
event_lastkingdom1_02_s_5,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_5,True,,S_10,S_10,1.0,,kilo,kilo,,,,3,idle,,,1,smile,,13,idle,,,,,15,idle
event_lastkingdom1_02_s_6,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_6,True,,S_10,S_10,1.0,,kilo,kilo,,,,3,idle,,,1,smile,,13,idle,,,,,15,idle
event_lastkingdom1_02_s_7,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_7,True,,S_10,XXS_130,1.0,,chime,chime,,,,3,idle,,,1,smile,,13,special,,,,,15,idle
event_lastkingdom1_02_s_8,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_8,True,,XXS_130,XXS_1300,1.0,,chime,chime,,,,3,idle,,,1,smile,,13,special,,,,,15,idle
event_lastkingdom1_02_s_9,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_9,True,,XXS_1300,1315,1.0,,crown,crown,,,,3,idle,,,1,smile,,13,special,,,,,15,delight
event_lastkingdom1_02_s_10,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_10,True,,1315,1315,1.0,,chime,chime,,,,3,idle,,,1,idle,,13,delight,,,,,15,delight
event_lastkingdom1_02_s_11,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_11,True,,1315,1315,1.0,,crown,crown,,,,3,idle,,,1,idle,,13,delight,,,,,15,idle
event_lastkingdom1_02_s_12,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_12,True,,30,30,1.0,,marian_q,marian_q,,,,3,idle,,,1,idle,,13,idle,,,,,15,idle
event_lastkingdom1_02_s_13,40045,event_lastkingdom1_02_s,Speech,Locale_MainScenario:event_lastkingdom1_02_s_13,True,,XXS_130,XXS_130,1.0,,chime,chime,,,,3,idle,,,1,idle,,13,idle,,,,,15,idle
