id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,set_filter_02,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
event_jinxplayer_04_s_1,40058,event_jinxplayer_04_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_04_s_1,False,NikkeRoom,black,black,1.0,none,,,,,,,,,,,,,,,,
event_jinxplayer_04_s_2,40058,event_jinxplayer_04_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_04_s_2,False,,1,1,1.0,bgm_story_orangepop,sfx_scn_autodooropen,,,,,,,,,,,,,,,
event_jinxplayer_04_s_3,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_3,True,,1,1,1.0,,,rouge,rouge,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_4,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_4,False,,1,1,1.0,,,,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_5,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_5,False,,1,1,1.0,,,,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_6,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_6,True,,1,10,1.0,,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_7,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_7,False,,10,10,1.0,none,,,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_8,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_8,True,,10,10,1.0,bgm_story_marrybad,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_9,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_9,True,,10,10,1.0,,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_10,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_10,True,,10,10,1.0,,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_11,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_11,True,CoinRushGameZone,10,17,1.0,,,rouge,,1,sad,Vignetting,Grey,,,,,,,,,
event_jinxplayer_04_s_12,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_12,True,,17,17,1.0,,,rouge,,1,sad,Vignetting,Grey,,,,,,,,,
event_jinxplayer_04_s_13,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_13,True,,17,17,1.0,,,rouge,,1,sad,Vignetting,Grey,,,,,,,,,
event_jinxplayer_04_s_14,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_14,True,,17,17,1.0,,,rouge,,1,sad,Vignetting,Grey,,,,,,,,,
event_jinxplayer_04_s_15,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_15,True,,17,17,1.0,,,rouge,,1,think,Vignetting,Grey,,,,,,,,,
event_jinxplayer_04_s_16,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_16,True,,17,17,1.0,,,rouge,,1,think,Vignetting,Grey,,,,,,,,,
event_jinxplayer_04_s_17,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_17,True,NikkeRoom,17,10,1.0,,,rouge,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_18,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_18,True,,10,10,1.0,,,rouge,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_19,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_19,True,,10,10,1.0,,,rouge,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_20,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_20,True,,10,10,1.0,,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_21,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_21,True,,10,10,1.0,,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_22,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_22,True,,10,10,1.0,,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_23,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_23,True,,10,10,1.0,,,rouge,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_24,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_24,True,,10,10,1.0,,,rouge,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_25,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_25,True,,10,10,1.0,,,rouge,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_26,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_26,True,,10,10,1.0,,,rouge,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_27,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_27,True,,10,10,1.0,,,rouge,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_28,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_28,False,,10,10,1.0,,,,,1,sad,,,,,,,,,,,
event_jinxplayer_04_s_29,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_29,True,,10,10,1.0,,,rouge,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_30,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_30,False,,10,10,1.0,none,,,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_31,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_31,True,Cafe,1,1,1.0,bgm_story_epicjazzymoods,,rouge,,1,surprise,,,black,,,,,,,,
event_jinxplayer_04_s_32,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_32,True,,1,1,1.0,,,rouge,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_33,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_33,False,,1,1,1.0,,,,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_34,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_34,True,,1,1,1.0,,,rouge,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_35,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_35,True,,1,10,1.0,,,rouge,,1,delight,,,,,,,,,,,
event_jinxplayer_04_s_36,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_36,True,,10,10,1.0,,,rouge,,1,delight,,,,,,,,,,,
event_jinxplayer_04_s_37,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_37,False,,10,10,1.0,,,,,1,delight,,,,,,,,,,,
event_jinxplayer_04_s_38,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_38,True,,10,10,1.0,,,rouge,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_39,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_39,True,,10,10,1.0,,,rouge,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_40,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_40,False,,10,10,1.0,,,,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_41,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_41,True,,10,10,1.0,,,rouge,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_42,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_42,False,,10,10,1.0,,,,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_43,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_43,False,,10,10,1.0,,,,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_44,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_44,True,,10,10,1.0,,,rouge,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_45,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_45,True,,10,10,1.0,,,rouge,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_46,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_46,True,,10,10,1.0,,,rouge,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_47,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_47,True,,10,10,1.0,,,rouge,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_48,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_48,True,,10,10,1.0,,,rouge,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_49,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_49,False,,10,17,1.0,,,,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_50,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_50,False,,17,17,1.0,,,,,1,idle,,,,,,,,,,,
event_jinxplayer_04_s_51,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_51,True,,17,10,1.0,,,rouge,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_52,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_52,False,,10,10,1.0,,,,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_53,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_53,True,,10,10,1.0,,,rouge,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_54,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_54,False,,10,10,1.0,,,,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_55,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_55,False,,10,10,1.0,,,,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_56,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_56,True,,10,10,1.0,,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_57,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_57,True,,10,10,1.0,,,rouge,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_58,40058,event_jinxplayer_04_s,Self,Self,Locale_SubScenario:event_jinxplayer_04_s_58,False,,10,10,1.0,,,,,1,think,,,,,,,,,,,
event_jinxplayer_04_s_59,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_59,True,,10,1,1.0,,,rouge,,1,think,,,,youngman01,9,idle,,,,,
event_jinxplayer_04_s_60,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_60,False,,1,8,1.0,none,,rouge,,7,think,,,,,9,idle,,,,,
event_jinxplayer_04_s_61,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_61,True,,8,8,1.0,bgm_story_leisuretime,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_62,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_62,True,,8,8,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_63,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_63,True,,8,8,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_64,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_64,True,,8,8,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
