id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_ce006_1_02_s_1,40079,event_ce006_1_02_s,Narration,ce006_01,Locale_MainScenario:event_ce006_1_02_s_1,False,ce006_01,12,idle,rapi,2,idle,anis,4,angry,neon,14,idle,Desert_03,black,black,1.0,sfx_scn_swordcut,collab_bgm_sb_field_floodedcs_inst,,,,,
event_ce006_1_02_s_2,40079,event_ce006_1_02_s,Monologue,ce006_01,Locale_MainScenario:event_ce006_1_02_s_2,False,,12,idle,,2,idle,,4,angry,,14,idle,,black,black,1.0,,,,,,,
event_ce006_1_02_s_3,40079,event_ce006_1_02_s,Monologue,ce006_01,Locale_MainScenario:event_ce006_1_02_s_3,False,,12,idle,,2,idle,,4,angry,,14,idle,,1200,120,1.3,,,,,,,
event_ce006_1_02_s_4,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_4,True,,12,idle,,2,idle,,4,angry,,14,idle,,120,120,1.0,,,ce006_01,,,,
event_ce006_1_02_s_5,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_5,True,,12,idle,,2,idle,,4,angry,,14,idle,,3,3,1.0,,,rapi,,,,
event_ce006_1_02_s_6,40079,event_ce006_1_02_s,Speech,anis,Locale_MainScenario:event_ce006_1_02_s_6,True,,12,idle,,2,idle,,4,angry,,14,idle,,3,3,1.0,,,anis,,,,
event_ce006_1_02_s_7,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_7,True,,12,idle,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,neon,,,,
event_ce006_1_02_s_8,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_8,True,,12,idle,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,neon,,,,
event_ce006_1_02_s_9,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_9,True,,12,idle,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,neon,,,,
event_ce006_1_02_s_10,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_10,True,,12,no,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,ce006_01,,,,
event_ce006_1_02_s_11,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_11,True,,12,no,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,neon,,,,
event_ce006_1_02_s_12,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_12,True,,12,idle,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,ce006_01,,,,
event_ce006_1_02_s_13,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_13,True,,12,idle,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,neon,,,,
event_ce006_1_02_s_14,40079,event_ce006_1_02_s,Speech,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_14,True,,12,idle,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,soundonly_a,soundonly_l,OP_rightup,idle,
event_ce006_1_02_s_15,40079,event_ce006_1_02_s,Speech,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_15,True,,12,idle,,2,idle,,4,angry,,14,idle,,13,13,1.0,,,soundonly_l,,OP_rightup,idle,
event_ce006_1_02_s_16,40079,event_ce006_1_02_s,Speech,anis,Locale_MainScenario:event_ce006_1_02_s_16,True,,12,idle,,2,idle,,4,angry,,14,idle,,13,3,1.5,,,anis,,OP_rightup,idle,
event_ce006_1_02_s_17,40079,event_ce006_1_02_s,Speech,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_17,True,,12,idle,,2,idle,,4,angry,,14,idle,,3,3,1.0,,,soundonly_l,,OP_rightup,idle,
event_ce006_1_02_s_18,40079,event_ce006_1_02_s,Speech,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_18,True,,12,idle,,2,idle,,4,angry,,14,idle,,3,3,1.0,,,soundonly_l,,OP_rightup,idle,
event_ce006_1_02_s_19,40079,event_ce006_1_02_s,Monologue,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_19,False,,12,idle,,2,idle,,4,angry,,14,idle,,3,12,1.5,,,,,OP_rightup,idle,
event_ce006_1_02_s_20,40079,event_ce006_1_02_s,Monologue,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_20,False,,4,idle,,2,idle,,14,angry,,12,idle,,black,black,1.0,sfx_scn_mechatransform,,,,OP_rightup,idle,soundonly_l
event_ce006_1_02_s_21,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_21,True,,4,idle,,2,idle,,14,angry,,12,surprise,,1,1,1.0,,,neon,,,,
event_ce006_1_02_s_22,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_22,True,,4,idle,,2,idle,,14,angry,,12,surprise,,1,1,1.0,,,rapi,,,,
