id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_goldencoinrush2_b02_s_1,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_1,True,CoinRushMainHall,L_10,L_10,1.0,event_bgm_goldcoinrush_inst,,,,mustang,1,think,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_2,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_2,True,,L_10,L_10,1.0,,,,,,1,delight,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_3,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_3,True,,L_10,L_10,1.0,,,,,,1,delight,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_4,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_4,True,,L_10,L_10,1.0,,,,,,1,delight,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_5,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_5,True,,L_10,L_100,1.0,,,,,,1,delight,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_6,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_6,True,,L_100,L_100,1.0,,,,,,1,good,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_7,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_7,True,,L_100,L_100,1.0,,,,,,1,good,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_8,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_8,True,,L_100,L_100,1.0,,,,,,1,good,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_9,40049,event_goldencoinrush2_b02_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b02_s_9,True,,L_100,L_100,1.0,,,,,,1,delight,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_10,40049,event_goldencoinrush2_b02_s,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_s_10,True,,L_100,S_130,1.0,,,,,,1,delight,,volume,13,idle,,,,,,,,,,,,,,,
event_goldencoinrush2_b02_s_11,40049,event_goldencoinrush2_b02_s,Speech,volume,volume,Locale_MainScenario:event_goldencoinrush2_b02_s_11,True,,S_130,S_130,1.0,,,,,,1,idle,,,13,delight,,,,,,,,,,,,,,,
