id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,play_sound
event_colorless_05_e_1,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_1,False,Wasteland_03_n,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,
event_colorless_05_e_2,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_2,False,,1,1,1.0,,,,,,,,,,,
event_colorless_05_e_3,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_3,False,,1,10,1.0,,zwei,zwei,1,pain,,,,,,
event_colorless_05_e_4,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_4,False,,10,10,1.0,,zwei,,1,pain,zwei,,,,,
event_colorless_05_e_5,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_5,True,,30,30,1.0,,ein,,1,pain,ein,ein,3,delight,,
event_colorless_05_e_6,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_6,True,,30,30,1.0,,ein,,1,pain,ein,,3,delight,,
event_colorless_05_e_7,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_7,True,,30,2,1.0,,zwei,,1,surprise,zwei,,3,delight,,
event_colorless_05_e_8,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_8,True,,2,2,1.0,,ein,,1,surprise,ein,,3,delight,,
event_colorless_05_e_9,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_9,True,,2,2,1.0,,ein,,1,surprise,ein,,3,delight,,
event_colorless_05_e_10,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_10,True,,2,2,1.0,,zwei,,1,shy,zwei,,3,delight,,
event_colorless_05_e_11,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_11,True,,2,2,1.0,,ein,,1,shy,ein,,3,delight,,
event_colorless_05_e_12,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_12,True,,2,2,1.0,,ein,,1,shy,ein,,3,delight,,
event_colorless_05_e_13,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_13,True,,2,2,1.0,,ein,,1,shy,ein,,3,delight,,
event_colorless_05_e_14,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_14,True,,2,2,1.0,,ein,,1,shy,ein,,3,delight,,
event_colorless_05_e_15,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_15,True,,2,2,1.0,,zwei,,1,idle,zwei,,3,delight,,
event_colorless_05_e_16,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_16,True,,2,2,1.0,,zwei,,1,idle,zwei,,3,delight,,
event_colorless_05_e_17,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_17,True,,2,2,1.0,,ein,,1,idle,ein,,3,delight,,
event_colorless_05_e_18,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_18,True,,2,2,1.0,,ein,,1,idle,ein,,3,delight,,
event_colorless_05_e_19,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_19,True,,2,2,1.0,,ein,,1,idle,ein,,3,delight,,
event_colorless_05_e_20,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_20,False,,2,300,1.0,,ein,,1,idle,,,3,idle,,
event_colorless_05_e_21,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_21,False,,300,300,1.0,,ein,,1,idle,,,3,idle,,
event_colorless_05_e_22,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_22,False,,300,300,1.0,,ein,,1,idle,,,3,idle,,
event_colorless_05_e_23,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_23,False,,300,300,1.0,,ein,,1,idle,,,3,idle,,
event_colorless_05_e_24,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_24,False,,300,300,1.0,,ein,,1,idle,,,3,idle,,
event_colorless_05_e_25,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_25,False,,300,300,1.0,,ein,,1,idle,,,3,idle,,
event_colorless_05_e_26,40054,event_colorless_05_e,Narration,Locale_SubScenario:event_colorless_05_e_26,False,,300,300,1.0,,ein,,1,idle,,,3,idle,,
event_colorless_05_e_27,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_27,True,,300,300,1.0,none,ein,,1,idle,ein,,3,idle,,
event_colorless_05_e_28,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_28,True,,300,10,1.0,,zwei,,1,shy,zwei,,3,idle,,
event_colorless_05_e_29,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_29,True,,10,10,1.0,,zwei,,1,shy,zwei,,3,idle,,
event_colorless_05_e_30,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_30,False,,10,10,1.0,,zwei,,1,shy,zwei,,3,idle,,
event_colorless_05_e_31,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_31,True,,10,10,1.0,bgm_story_weare,zwei,,1,shy,zwei,,3,idle,,
event_colorless_05_e_32,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_32,True,,10,10,1.0,,zwei,,1,shy,zwei,,3,idle,,
event_colorless_05_e_33,40054,event_colorless_05_e,Speech,Locale_SubScenario:event_colorless_05_e_33,True,,10,10,1.0,,zwei,,1,shy,zwei,,3,idle,,
