id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,is_exit_scenario,highlight,speaker,set_filter_01,set_camera_shake,fade
snowfall_episode_noirblanc_07_1,80903,snowfall_episode_noirblanc_07,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_07_1,False,noir_c,3,idle,blanc_c,1,idle,lumi_01,13,idle,BigHotSpring_s,2,2,1.0,event_bgm_neverland_hugme_sunset,,,,,,,
snowfall_episode_noirblanc_07_2,80903,snowfall_episode_noirblanc_07,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_07_2,False,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,
snowfall_episode_noirblanc_07_3,80903,snowfall_episode_noirblanc_07,Choice,Locale_SubScenario:snowfall_episode_noirblanc_07_3,False,,3,idle,,1,idle,,13,idle,,2,2,1.0,,snowfall_episode_noirblanc_07_5,,,,,,
snowfall_episode_noirblanc_07_4,80903,snowfall_episode_noirblanc_07,Choice,Locale_SubScenario:snowfall_episode_noirblanc_07_4,False,,3,idle,,1,idle,,13,idle,,2,2,1.0,,snowfall_episode_noirblanc_07_6,,,,,,
snowfall_episode_noirblanc_07_5,80903,snowfall_episode_noirblanc_07,Self,Locale_SubScenario:snowfall_episode_noirblanc_07_5,False,,3,idle,,1,idle,,13,idle,,2,2,1.0,,snowfall_episode_noirblanc_07_7,,,,,,
snowfall_episode_noirblanc_07_6,80903,snowfall_episode_noirblanc_07,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_07_6,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,True,,,,,
snowfall_episode_noirblanc_07_7,80903,snowfall_episode_noirblanc_07,Speech,Locale_SubScenario:snowfall_episode_noirblanc_07_7,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_07_8,80903,snowfall_episode_noirblanc_07,Speech,Locale_SubScenario:snowfall_episode_noirblanc_07_8,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_07_9,80903,snowfall_episode_noirblanc_07,Speech,Locale_SubScenario:snowfall_episode_noirblanc_07_9,True,,3,delight,,1,idle,,13,idle,,2,2,1.0,,,,noir_c,noir_c,,,
snowfall_episode_noirblanc_07_10,80903,snowfall_episode_noirblanc_07,Speech,Locale_SubScenario:snowfall_episode_noirblanc_07_10,False,,3,delight,,1,idle,,13,idle,,130,130,1.0,,,,lumi_01,lumi_01,,,
