id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,play_sound
event_goldenship_03_e_1,40023,event_goldenship_03_e,Monologue,Locale_SubScenario:event_goldenship_03_e_1,False,mast,1,surprise,frima_s,13,idle,anchor,3,idle,Desert_03,black,black,1.0,bgm_inark,,,,,
event_goldenship_03_e_2,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_2,True,,1,surprise,,13,idle,,3,idle,,S_10,S_10,1.0,,mast,mast,,,
event_goldenship_03_e_3,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_3,True,,1,surprise,,13,idle,,3,idle,,S_10,S_10,1.0,,mast,mast,,,
event_goldenship_03_e_4,40023,event_goldenship_03_e,Self,Locale_SubScenario:event_goldenship_03_e_4,False,,1,surprise,,13,idle,,3,idle,,S_10,S_10,1.0,,,,,,
event_goldenship_03_e_5,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_5,True,,1,delight,,13,idle,,3,idle,,S_10,S_100,0.5,,mast,mast,,,
event_goldenship_03_e_6,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_6,True,,1,delight,,13,idle,,3,idle,,S_100,S_100,1.0,,mast,mast,,,
event_goldenship_03_e_7,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_7,True,,1,delight,,13,idle,,3,idle,,S_100,S_100,1.0,,mast,mast,,,
event_goldenship_03_e_8,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_8,True,,1,delight,,13,delight,,3,idle,,1300,1300,1.0,,frima_s,frima,,,
event_goldenship_03_e_9,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_9,True,,1,delight,,13,delight,,3,delight,,XS_300,XS_300,1.0,,anchor,anchor,,,
event_goldenship_03_e_10,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_10,True,,1,delight,,13,delight,,3,delight,,XS_300,XS_300,1.0,,anchor,anchor,,,
event_goldenship_03_e_11,40023,event_goldenship_03_e,Self,Locale_SubScenario:event_goldenship_03_e_11,False,,1,delight,,13,delight,,3,delight,,XS_300,XS_300,1.0,,,,,,
event_goldenship_03_e_12,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_12,True,,1,delight,,13,idle,,3,idle,,XS_300,S_100,1.0,,mast,mast,,,
event_goldenship_03_e_13,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_13,True,,1,idle2,,13,idle,,3,idle,,S_100,S_100,1.0,,mast,mast,,,
event_goldenship_03_e_14,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_14,True,,1,idle2,,13,idle,,3,idle,,XS_300,XS_300,1.0,,anchor,anchor,,,
event_goldenship_03_e_15,40023,event_goldenship_03_e,Monologue,Locale_SubScenario:event_goldenship_03_e_15,False,,1,idle2,,13,idle,,3,idle,,black,black,1.0,,,,,,
event_goldenship_03_e_16,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_16,True,,1,idle2,,13,idle,,3,idle,,black,black,1.0,,anchor,anchor,,,
event_goldenship_03_e_17,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_17,False,,1,idle2,,13,idle,,3,idle,,XS_30,XS_30,1.0,,anchor,anchor,,,
event_goldenship_03_e_18,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_18,True,,1,idle2,,13,idle,,3,idle,,XS_30,XS_30,1.0,none,anchor,anchor,,,
event_goldenship_03_e_19,40023,event_goldenship_03_e,Self,Locale_SubScenario:event_goldenship_03_e_19,False,,1,idle2,,13,idle,,3,idle,,XS_30,XS_30,1.0,,,,,,
event_goldenship_03_e_20,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_20,True,,1,idle2,,13,idle,,3,angry,,XS_30,XS_300,1.0,bgm_story_whosdumber,anchor,anchor,,,
event_goldenship_03_e_21,40023,event_goldenship_03_e,Self,Locale_SubScenario:event_goldenship_03_e_21,False,,1,idle2,,13,idle,,3,angry,,XS_300,XS_300,1.0,,,,,,
event_goldenship_03_e_22,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_22,True,,1,idle2,,13,idle,,3,angry,,XS_300,XS_300,1.0,,anchor,anchor,,,
event_goldenship_03_e_23,40023,event_goldenship_03_e,Speech,Locale_SubScenario:event_goldenship_03_e_23,True,,1,idle2,,13,idle,,3,angry,,XS_300,XS_300,1.0,,anchor,anchor,,,
